,dual_momentum_topn,cta_trend_long_only,composite_equal_weight,composite_regime_conditioned,taa_10m_sma,composite_breadth_filtered,cash::BIL
2016-07-15,0.10249721658314885,0.062466303521317774,0.11562481623458583,0.12970151298832433,0.10866108860547104,0.1310490620671522,0.35
2016-07-22,0.10249721658314885,0.062466303521317774,0.11562481623458583,0.12970151298832433,0.10866108860547104,0.1310490620671522,0.35
2016-07-29,0.15759072638072244,0.0962853920048492,0.17774830292761998,0.19951468966100389,0.16716552302833537,0.20169536599746912,0.0
2016-08-05,0.15759072638072244,0.0962853920048492,0.17774830292761998,0.19951468966100389,0.16716552302833537,0.20169536599746912,0.0
2016-08-12,0.15759072638072244,0.0962853920048492,0.17774830292761998,0.19951468966100389,0.16716552302833537,0.20169536599746912,0.0
2016-08-19,0.15759072638072244,0.0962853920048492,0.17774830292761998,0.19951468966100389,0.16716552302833537,0.20169536599746912,0.0
2016-08-26,0.15749104311034404,0.09646413311571486,0.17760605779675684,0.19950111937943774,0.1671686166868733,0.2017690299108733,0.0
2016-09-02,0.15749104311034404,0.09646413311571486,0.17760605779675684,0.19950111937943774,0.1671686166868733,0.2017690299108733,0.0
2016-09-09,0.15749104311034404,0.09646413311571486,0.17760605779675684,0.19950111937943774,0.1671686166868733,0.2017690299108733,0.0
2016-09-16,0.15749104311034404,0.09646413311571486,0.17760605779675684,0.19950111937943774,0.1671686166868733,0.2017690299108733,0.0
2016-09-23,0.15749104311034404,0.09646413311571486,0.17760605779675684,0.19950111937943774,0.1671686166868733,0.2017690299108733,0.0
2016-09-30,0.15739346264286752,0.09667878374690375,0.17744715135660138,0.19947091291825952,0.16719175417540272,0.20181793515996516,0.0
2016-10-07,0.15739346264286752,0.09667878374690375,0.17744715135660138,0.19947091291825952,0.16719175417540272,0.20181793515996516,0.0
2016-10-14,0.15739346264286752,0.09667878374690375,0.17744715135660138,0.19947091291825952,0.16719175417540272,0.20181793515996516,0.0
2016-10-21,0.15739346264286752,0.09667878374690375,0.17744715135660138,0.19947091291825952,0.16719175417540272,0.20181793515996516,0.0
2016-10-28,0.1572915715464865,0.09689474719552117,0.1772872830558138,0.19944514290689755,0.1672161622275047,0.2018650930677764,0.0
2016-11-04,0.1572915715464865,0.09689474719552117,0.1772872830558138,0.19944514290689755,0.1672161622275047,0.2018650930677764,0.0
2016-11-11,0.1572915715464865,0.09689474719552117,0.1772872830558138,0.19944514290689755,0.1672161622275047,0.2018650930677764,0.0
2016-11-18,0.1572915715464865,0.09689474719552117,0.1772872830558138,0.19944514290689755,0.1672161622275047,0.2018650930677764,0.0
2016-11-25,0.1021619045132052,0.06316335370572423,0.11512336705905007,0.12961424766921475,0.10871772759284591,0.13121939945995992,0.34999999999999987
2016-12-02,0.1021619045132052,0.06316335370572423,0.11512336705905007,0.12961424766921475,0.10871772759284591,0.13121939945995992,0.34999999999999987
2016-12-09,0.1021619045132052,0.06316335370572423,0.11512336705905007,0.12961424766921475,0.10871772759284591,0.13121939945995992,0.34999999999999987
2016-12-16,0.1021619045132052,0.06316335370572423,0.11512336705905007,0.12961424766921475,0.10871772759284591,0.13121939945995992,0.34999999999999987
2016-12-23,0.1021619045132052,0.06316335370572423,0.11512336705905007,0.12961424766921475,0.10871772759284591,0.13121939945995992,0.34999999999999987
2016-12-30,0.15706060925261123,0.09744629486707207,0.17694140075209427,0.19936664857389597,0.167292462821725,0.20189258373260155,0.0
2017-01-06,0.15706060925261123,0.09744629486707207,0.17694140075209427,0.19936664857389597,0.167292462821725,0.20189258373260155,0.0
2017-01-13,0.15706060925261123,0.09744629486707207,0.17694140075209427,0.19936664857389597,0.167292462821725,0.20189258373260155,0.0
2017-01-20,0.15706060925261123,0.09744629486707207,0.17694140075209427,0.19936664857389597,0.167292462821725,0.20189258373260155,0.0
2017-01-27,0.1569533840521696,0.09771438431485552,0.17677404336656252,0.19932063155692836,0.1673353775506549,0.20190217915882921,0.0
2017-02-03,0.1569533840521696,0.09771438431485552,0.17677404336656252,0.19932063155692836,0.1673353775506549,0.20190217915882921,0.0
2017-02-10,0.1569533840521696,0.09771438431485552,0.17677404336656252,0.19932063155692836,0.1673353775506549,0.20190217915882921,0.0
2017-02-17,0.1569533840521696,0.09771438431485552,0.17677404336656252,0.19932063155692836,0.1673353775506549,0.20190217915882921,0.0
2017-02-24,0.15684831046878445,0.0979823232627994,0.17661084135078575,0.19926981605342714,0.1673802793340921,0.20190842953011123,0.0
2017-03-03,0.15684831046878445,0.0979823232627994,0.17661084135078575,0.19926981605342714,0.1673802793340921,0.20190842953011123,0.0
2017-03-10,0.15684831046878445,0.0979823232627994,0.17661084135078575,0.19926981605342714,0.1673802793340921,0.20190842953011123,0.0
2017-03-17,0.15684831046878445,0.0979823232627994,0.17661084135078575,0.19926981605342714,0.1673802793340921,0.20190842953011123,0.0
2017-03-24,0.15684831046878445,0.0979823232627994,0.17661084135078575,0.19926981605342714,0.1673802793340921,0.20190842953011123,0.0
2017-03-31,0.15675255723104695,0.09826311861042682,0.17644942024804966,0.19921117352970452,0.16741588184538175,0.20190784853539034,0.0
