,BIL,DBA,EEM,EFA,EWJ,GLD,HYG,IAU,IEF,IWM,LQD,MBB,PDBC,QQQ,SHY,SLV,SPY,TIP,TLT,USO,UUP,VEA,VNQ,VTV,VUG,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2010-06-11,0.2663148107441208,0.0,0.0,0.0,0.0,0.05438476513096015,0.08110844730846756,0.0,0.0,0.061089508427746464,0.07123943062311781,0.0,0.0,0.057762818447245026,0.0,0.0,0.14377247270382082,0.0,0.04490535897352574,0.0,0.0,0.0,0.183413981102346,0.0,0.0,0.036008406538649694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-18,0.2663148107441208,0.0,0.0,0.0,0.0,0.05590425304662293,0.08110844730846756,0.0,0.0,0.065514223284082,0.057211080701613765,0.0,0.0,0.06391722263429202,0.0,0.0,0.14955926693495755,0.0,0.03820961609393864,0.0,0.0,0.0,0.18625267271325513,0.0,0.0,0.036008406538649694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-25,0.19999999999999996,0.0,0.0,0.0,0.0,0.20106735952144905,0.07948729994453482,0.0,0.0,0.07507375552610505,0.08167084363169318,0.0,0.0,0.0005492509454612905,0.0,0.0,0.08429925027616376,0.0,0.04092221602089358,0.0,0.0,0.0,0.18935695547799153,0.0,0.0,0.04757306865570773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-02,0.19999999999999996,0.0,0.0,0.0,0.0,0.20081219599611047,0.07961834407950039,0.0,0.0,0.07657870805265882,0.08247059514186425,0.0,0.0,0.003696025247076918,0.0,0.0,0.08429925027616376,0.0,0.03586222995704276,0.0,0.0,0.0,0.18908958259387493,0.0,0.0,0.04757306865570773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-09,0.19999999999999996,0.0,0.0,0.0,0.0,0.19951429556337563,0.07931078511991649,0.0,0.0,0.07275491165566109,0.08963899842858371,0.0,0.0,0.0031589438259860153,0.0,0.0,0.08429925027616376,0.0,0.03680773712170228,0.0,0.0,0.0,0.18694200935290328,0.0,0.0,0.04757306865570773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-16,0.19999999999999996,0.0,0.0,0.0,0.0,0.19693775558340249,0.0792789087645627,0.0,0.0,0.07195425109823028,0.0926521036275215,0.0,0.0,0.0022275442505257643,0.0,0.0,0.08429925027616376,0.0,0.03662419895326379,0.0,0.0,0.0,0.18845291879062198,0.0,0.0,0.04757306865570773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-23,0.19999999999999996,0.0,0.0,0.0,0.0,0.2010903986350754,0.07942569872441269,0.0,0.0,0.0733719384730135,0.0850447169378044,0.0,0.0,0.003237057178606374,0.0,0.0,0.08429925027616376,0.0,0.03715816316106507,0.0,0.0,0.0,0.18879970795815107,0.0,0.0,0.04757306865570773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-30,0.19999999999999996,0.0,0.0,0.0,0.0,0.2007975930953061,0.08221134299075553,0.0,0.0,0.07202412587062397,0.09160804956600993,0.0,0.0,0.000345121932527768,0.0,0.0,0.012136902326511594,0.0,0.1601804101614795,0.0,0.0,0.0,0.12942391345057208,0.0,0.0,0.05127254060621355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-06,0.20000000000000007,0.0,0.0,0.0,0.0,0.2006590642190972,0.08221149843601985,0.0,0.0,0.0707247766831555,0.09229008862777852,0.0,0.0,0.0,0.0,0.0,0.012136902326511594,0.0,0.16255612579153983,0.0,0.0,0.0,0.12785090615018113,0.0,0.0,0.05157063776571636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-13,0.19999999999999996,0.0,0.0,0.0,0.0,0.19932303642500965,0.08494514606271214,0.0,0.0,0.07275365373702766,0.0844073361271832,0.0,0.0,0.0008918574860744304,0.0,0.0,0.012136902326511594,0.0,0.1589105504364502,0.0,0.0,0.0,0.12923332658877856,0.0,0.0,0.05739819081025261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-20,0.19999999999999996,0.005304944509361704,0.0,0.0,0.0,0.1962713870583239,0.08661763158848879,0.0,0.0,0.0707247766831555,0.08837958715631031,0.0,0.0,0.0002630363998183487,0.0,0.0,0.012136902326511594,0.0,0.15991802547903555,0.0,0.0,0.0,0.12746749637245489,0.0,0.0,0.052916212426539454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-27,0.19999999999999996,0.0,0.0,0.0,0.0,0.198488491700624,0.16261066159349802,0.0,0.0,0.0016161942798354097,0.07858695404118252,0.0,0.0,0.0015096979241844982,0.0,0.0,0.0,0.0,0.1581985037649507,0.0,0.0,0.0,0.13444438246838508,0.0,0.0,0.06454511422733981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-03,0.19999999999999996,0.0,0.0,0.0,0.0,0.19376474895780738,0.1593064866274222,0.0,0.0,0.0031094361010905766,0.08882484296535634,0.0,0.0,0.0013146448637712223,0.0,0.0,0.0,0.0,0.15657677395264724,0.0,0.0,0.0,0.1334091590272926,0.0,0.0,0.06369390750461248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-10,0.19999999999999996,0.0,0.0,0.005406815855066241,0.0,0.19260090240268524,0.16001312064351053,0.0,0.0,0.0,0.08089744595419784,0.0,0.0,0.0009045557129820682,0.0,0.0,0.0,0.0,0.1568212095119927,0.0,0.0,0.0042052063632321505,0.13434520520183613,0.0,0.0,0.06480553835449719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-17,0.19999999999999996,0.0070280811859604895,0.0,0.0,0.0,0.19902178031558604,0.15559652892269576,0.0,0.0,0.0,0.0878655029091435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15874732505312344,0.0,0.0,0.0,0.1326547076100844,0.0,0.0,0.059086074003406444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-24,0.044557639941846805,0.011630929747685764,0.0,0.013877379571709487,0.0,0.23170690142927008,0.17249781677867077,0.0,0.0,0.0,0.10273653670449244,0.0,0.0,0.0,0.0,0.0,0.013877379571709487,0.0,0.23493394819524288,0.0,0.0,0.0,0.1558387523222655,0.0,0.0,0.018342715737106736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,0.044557639941846805,0.009600812286797654,0.0,0.013877379571709487,0.0,0.2342082936743195,0.17018631059243725,0.0,0.0,0.0,0.10228373134689242,0.0,0.0,0.0,0.0,0.0,0.013877379571709487,0.0,0.2379768130064695,0.0,0.0,0.0,0.1567209925583494,0.0,0.0,0.016710647449468485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-08,0.044557639941846805,0.011822222940773936,0.0,0.013877379571709487,0.0,0.24101091783511108,0.16579542518951174,0.0,0.0,0.0,0.0876183079239879,0.0,0.0,0.00044469081738813436,0.0,0.0,0.013877379571709487,0.0,0.23932797211938706,0.0,0.0,0.0,0.1621931938448284,0.0,0.0,0.01947487024374596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-15,0.044557639941846805,0.010223520093980013,0.0,0.013877379571709487,0.0,0.23675025230369195,0.17097314354949242,0.0,0.0,0.0,0.09725975324766975,0.0,0.0,0.0,0.0,0.0,0.013877379571709487,0.0,0.23700562587973606,0.0,0.0,0.0,0.15987997641731092,0.0,0.0,0.01559532942285306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
