,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,cash::BIL
2011-04-08,0.192537982130379,0.12453400916136305,0.22809553561817242,0.2750048583170704,0.12125618620158661,0.0585714285714285
2011-04-15,0.192537982130379,0.12453400916136305,0.22809553561817242,0.2750048583170704,0.12125618620158661,0.0585714285714285
2011-04-22,0.192537982130379,0.12453400916136305,0.22809553561817242,0.2750048583170704,0.12125618620158661,0.0585714285714285
2011-04-29,0.22893734291659315,0.1229062877698355,0.2346032732584729,0.2871739571913412,0.12637913886375718,0.0
2011-05-06,0.22893734291659315,0.1229062877698355,0.2346032732584729,0.2871739571913412,0.12637913886375718,0.0
2011-05-13,0.22893734291659315,0.1229062877698355,0.2346032732584729,0.2871739571913412,0.12637913886375718,0.0
2011-05-20,0.22893734291659315,0.1229062877698355,0.2346032732584729,0.2871739571913412,0.12637913886375718,0.0
2011-05-27,0.22841991367451034,0.12207795460316753,0.23483840289415697,0.28833973654546,0.1263239922827052,0.0
2011-06-03,0.22841991367451034,0.12207795460316753,0.23483840289415697,0.28833973654546,0.1263239922827052,0.0
2011-06-10,0.22841991367451034,0.12207795460316753,0.23483840289415697,0.28833973654546,0.1263239922827052,0.0
2011-06-17,0.22841991367451034,0.12207795460316753,0.23483840289415697,0.28833973654546,0.1263239922827052,0.0
2011-06-24,0.20873082249790628,0.11240150660868249,0.2173583383494741,0.27956777861220916,0.1233701253602994,0.0585714285714285
2011-07-01,0.20873082249790628,0.11240150660868249,0.2173583383494741,0.27956777861220916,0.1233701253602994,0.0585714285714285
2011-07-08,0.20873082249790628,0.11240150660868249,0.2173583383494741,0.27956777861220916,0.1233701253602994,0.0585714285714285
2011-07-15,0.20873082249790628,0.11240150660868249,0.2173583383494741,0.27956777861220916,0.1233701253602994,0.0585714285714285
2011-07-22,0.20873082249790628,0.11240150660868249,0.2173583383494741,0.27956777861220916,0.1233701253602994,0.0585714285714285
2011-07-29,0.20767658383382784,0.12112476209435942,0.2279570243353965,0.2696235278861375,0.13469890979348478,0.03891919205679395
2011-08-05,0.20767658383382784,0.12112476209435942,0.2279570243353965,0.2696235278861375,0.13469890979348478,0.03891919205679395
2011-08-12,0.20767658383382784,0.12112476209435942,0.2279570243353965,0.2696235278861375,0.13469890979348478,0.03891919205679395
2011-08-19,0.20767658383382784,0.12112476209435942,0.2279570243353965,0.2696235278861375,0.13469890979348478,0.03891919205679395
2011-08-26,0.08195829924628771,0.04773451757896817,0.08989258017526719,0.11987366075481393,0.06054094224466305,0.5999999999999999
2011-09-02,0.08195829924628771,0.04773451757896817,0.08989258017526719,0.11987366075481393,0.06054094224466305,0.5999999999999999
2011-09-09,0.08195829924628771,0.04773451757896817,0.08989258017526719,0.11987366075481393,0.06054094224466305,0.5999999999999999
2011-09-16,0.08195829924628771,0.04773451757896817,0.08989258017526719,0.11987366075481393,0.06054094224466305,0.5999999999999999
2011-09-23,0.08195829924628771,0.04773451757896817,0.08989258017526719,0.11987366075481393,0.06054094224466305,0.5999999999999999
2011-09-30,0.06406629250488738,0.06208009032124127,0.10901011066194995,0.10086344770393166,0.06398005880798979,0.5999999999999999
2011-10-07,0.06406629250488738,0.06208009032124127,0.10901011066194995,0.10086344770393166,0.06398005880798979,0.5999999999999999
2011-10-14,0.06406629250488738,0.06208009032124127,0.10901011066194995,0.10086344770393166,0.06398005880798979,0.5999999999999999
2011-10-21,0.06406629250488738,0.06208009032124127,0.10901011066194995,0.10086344770393166,0.06398005880798979,0.5999999999999999
2011-10-28,0.052754933364831495,0.06992637530904709,0.11917030396105305,0.08860639550601002,0.0695419918590584,0.6
2011-11-04,0.052754933364831495,0.06992637530904709,0.11917030396105305,0.08860639550601002,0.0695419918590584,0.6
2011-11-11,0.052754933364831495,0.06992637530904709,0.11917030396105305,0.08860639550601002,0.0695419918590584,0.6
2011-11-18,0.052754933364831495,0.06992637530904709,0.11917030396105305,0.08860639550601002,0.0695419918590584,0.6
2011-11-25,0.09381710255967171,0.14465362442594829,0.24474175946609222,0.16424799183417946,0.1525395217141083,0.19999999999999996
2011-12-02,0.09381710255967171,0.14465362442594829,0.24474175946609222,0.16424799183417946,0.1525395217141083,0.19999999999999996
2011-12-09,0.09381710255967171,0.14465362442594829,0.24474175946609222,0.16424799183417946,0.1525395217141083,0.19999999999999996
2011-12-16,0.09381710255967171,0.14465362442594829,0.24474175946609222,0.16424799183417946,0.1525395217141083,0.19999999999999996
2011-12-23,0.09381710255967171,0.14465362442594829,0.24474175946609222,0.16424799183417946,0.1525395217141083,0.19999999999999996
2011-12-30,0.11940569234189786,0.13189030858779205,0.2835123674047289,0.20088813285300652,0.13573207024114617,0.12857142857142845
2012-01-06,0.11940569234189786,0.13189030858779205,0.2835123674047289,0.20088813285300652,0.13573207024114617,0.12857142857142845
2012-01-13,0.11940569234189786,0.13189030858779205,0.2835123674047289,0.20088813285300652,0.13573207024114617,0.12857142857142845
2012-01-20,0.11940569234189786,0.13189030858779205,0.2835123674047289,0.20088813285300652,0.13573207024114617,0.12857142857142845
2012-01-27,0.10293039439340168,0.2009045158260467,0.23501955620256038,0.23588024138987115,0.18526529218812005,0.040000000000000036
2012-02-03,0.10293039439340168,0.2009045158260467,0.23501955620256038,0.23588024138987115,0.18526529218812005,0.040000000000000036
2012-02-10,0.10293039439340168,0.2009045158260467,0.23501955620256038,0.23588024138987115,0.18526529218812005,0.040000000000000036
2012-02-17,0.10293039439340168,0.2009045158260467,0.23501955620256038,0.23588024138987115,0.18526529218812005,0.040000000000000036
2012-02-24,0.0851374614720716,0.21970738489812344,0.20090256652495886,0.2240082688421334,0.19024431826271276,0.07999999999999985
2012-03-02,0.0851374614720716,0.21970738489812344,0.20090256652495886,0.2240082688421334,0.19024431826271276,0.07999999999999985
2012-03-09,0.0851374614720716,0.21970738489812344,0.20090256652495886,0.2240082688421334,0.19024431826271276,0.07999999999999985
2012-03-16,0.0851374614720716,0.21970738489812344,0.20090256652495886,0.2240082688421334,0.19024431826271276,0.07999999999999985
2012-03-23,0.0851374614720716,0.21970738489812344,0.20090256652495886,0.2240082688421334,0.19024431826271276,0.07999999999999985
2012-03-30,0.11139863257700532,0.17519508735363662,0.25923700836998237,0.2345181755080246,0.16107966761992246,0.05857142857142872
2012-04-06,0.11139863257700532,0.17519508735363662,0.25923700836998237,0.2345181755080246,0.16107966761992246,0.05857142857142872
2012-04-13,0.11139863257700532,0.17519508735363662,0.25923700836998237,0.2345181755080246,0.16107966761992246,0.05857142857142872
