version_name,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,turnover,upside_capture,downside_capture,avg_bil,avg_spy,avg_offense,avg_defense,avg_cash,recovery_capture,raw_target_composite,fixed_rank_composite,raw_composite_position,fixed_rank_position
improved_phase2b_regime_confidence_boost,0.06898764270531332,0.0779655632262312,0.8848476154162215,-0.139754039463866,0.4936361265117519,-0.026181041847003924,0.05622922283196537,0.3242761947018239,0.23926047289403068,0.2832721765003782,0.07087552324409127,0.5526525607268249,0.16407526277279644,0.2832721765003782,0.30405155503753983,0.47765656401468903,0.40545454545454546,11,10
improved_phase2b_combo_abc,0.06864775722774241,0.07765096149244667,0.8840554696083187,-0.13674121541523376,0.5020268177321953,-0.026085048036177054,0.05657147975333692,0.32308029171469926,0.23859636092923678,0.28490827076414216,0.0708203105855739,0.5515600740130213,0.1635316552228361,0.28490827076414216,0.2963307916540929,0.48028410940090954,0.38181818181818183,10,11
improved_phaseh_refined_state_allocator,0.0758135807525182,0.08740053795814531,0.8674269349328729,-0.14974673878593092,0.5062786766989084,-0.028448459881775082,0.09899048297197395,0.388986311771133,0.3047244304819749,0.13360580795991894,0.11070572216380346,0.642699238958991,0.22369495308108944,0.13360580795991894,0.37694290611103354,0.5475590636962016,0.44727272727272727,3,8
improved_phasen_distributional_tail_allocator,0.07099348250689697,0.07670902393436704,0.9254906250357149,-0.12711776234063188,0.5584859361877285,-0.02488701265150025,0.09676874584141817,0.3385002052362306,0.25343209407651346,0.21072672431367706,0.10055066684930906,0.5785054581988754,0.21076781748744694,0.21072672431367706,0.30162536687667196,0.5665860837665976,0.7072727272727272,1,2
improved_phasel_tail_turnover_learning_allocator,0.07685742691696595,0.08614904929505011,0.8921448065403313,-0.15068362364266863,0.5100582602076638,-0.02812116772292365,0.10715102448792699,0.36999566766079023,0.27797647172919016,0.12408055443394013,0.11155779765398724,0.6337578977358146,0.2421615478302447,0.12408055443394013,0.31419453977287276,0.5221378380858914,0.4745454545454546,8,7
improved_phaseh_refined_panel_blend,0.07528914821610733,0.08653590588347655,0.8700336287862594,-0.15274075113174834,0.4929211599278164,-0.028193158323929164,0.08348465664077072,0.3748924819726551,0.28773464005928834,0.13207907524296159,0.10612215608261771,0.6303420686602671,0.2375788560967707,0.13207907524296159,0.35383337824219435,0.5199538514731846,0.4236363636363636,9,9
improved_phaseo_uncertainty_shrunk_allocator,0.07226356089505837,0.07890285991522301,0.9158547734860533,-0.14061185790453157,0.513922239361361,-0.02543273896433724,0.09986808298198671,0.3514884212549265,0.2666270615730542,0.2030303781310613,0.10176696852496543,0.5900613970153559,0.2069082248535822,0.2030303781310613,0.3087688880471442,0.540612720137785,0.62,7,4
improved_phaseo_turnover_gated_allocator,0.07404989842936338,0.0814464024443451,0.9091856264610829,-0.14468329878156327,0.5118068156654403,-0.02631474327329214,0.10093387589411261,0.36286890527891785,0.2765577618924508,0.17919910165201056,0.10778457191016406,0.6094357023717808,0.21136519597620795,0.17919910165201056,0.32424969048523866,0.5457124173970438,0.5927272727272728,4,5
improved_phaseo_tail_priority_allocator,0.07078424973817943,0.07567915211513024,0.9353203327449516,-0.1259830582980065,0.5618553057407362,-0.02450585242954992,0.09189909222137156,0.331426610734887,0.24495237596334585,0.22363464743690012,0.09623724058683149,0.5623234970724044,0.2140418554906949,0.22363464743690012,0.297484599344253,0.5658095975451795,0.750909090909091,2,1
improved_phaseo_production_proximity_allocator,0.07498514663774603,0.08268929853285996,0.9068301215295426,-0.1468462090228866,0.5106372655902836,-0.026703175910163784,0.10093782159626592,0.36754513906725916,0.28014522520682783,0.17061933180355632,0.10787383055544153,0.6163320057398504,0.2130486624565929,0.17061933180355632,0.3253847201189852,0.5442918951805692,0.5363636363636364,5,6
improved_phaseo_combo_decision_allocator,0.07249785573769896,0.07981531087290256,0.9083201574337552,-0.13919365477326695,0.5208416709496635,-0.02586662504366984,0.09620124953536,0.3524988024738985,0.2672430200066239,0.1908262272146691,0.10148050969759516,0.5970861146705315,0.21208765811479882,0.1908262272146691,0.31248392010089304,0.5428950794174616,0.6599999999999999,6,3
