,dual_momentum_topn,cta_trend_long_only,composite_equal_weight,composite_regime_conditioned,taa_10m_sma,composite_breadth_filtered,cash::BIL
2011-11-04,0.08570121295272935,0.040201605764647,0.03892443781153864,0.05884426030493304,0.01957309607480363,0.05675538709134832,0.7
2011-11-11,0.08570121295272935,0.040201605764647,0.03892443781153864,0.05884426030493304,0.01957309607480363,0.05675538709134832,0.7
2011-11-18,0.08570121295272935,0.040201605764647,0.03892443781153864,0.05884426030493304,0.01957309607480363,0.05675538709134832,0.7
2011-11-25,0.10930287949288608,0.07319807986809425,0.07473104940395515,0.08217891490581701,0.03256481805651033,0.07487278196538066,0.5531514763073565
2011-12-02,0.10930287949288608,0.07319807986809425,0.07473104940395515,0.08217891490581701,0.03256481805651033,0.07487278196538066,0.5531514763073565
2011-12-09,0.10930287949288608,0.07319807986809425,0.07473104940395515,0.08217891490581701,0.03256481805651033,0.07487278196538066,0.5531514763073565
2011-12-16,0.10930287949288608,0.07319807986809425,0.07473104940395515,0.08217891490581701,0.03256481805651033,0.07487278196538066,0.5531514763073565
2011-12-23,0.10930287949288608,0.07319807986809425,0.07473104940395515,0.08217891490581701,0.03256481805651033,0.07487278196538066,0.5531514763073565
2011-12-30,0.11689856084595718,0.08304974819966326,0.07716426226648307,0.08503465390261618,0.019644129150217602,0.06746393779165843,0.5507447078434042
2012-01-06,0.11689856084595718,0.08304974819966326,0.07716426226648307,0.08503465390261618,0.019644129150217602,0.06746393779165843,0.5507447078434042
2012-01-13,0.11689856084595718,0.08304974819966326,0.07716426226648307,0.08503465390261618,0.019644129150217602,0.06746393779165843,0.5507447078434042
2012-01-20,0.11689856084595718,0.08304974819966326,0.07716426226648307,0.08503465390261618,0.019644129150217602,0.06746393779165843,0.5507447078434042
2012-01-27,0.11272675152205096,0.10467714345841134,0.09162232647512361,0.10039563589365573,0.012771801905596857,0.06461841850712603,0.5131879222380356
2012-02-03,0.11272675152205096,0.10467714345841134,0.09162232647512361,0.10039563589365573,0.012771801905596857,0.06461841850712603,0.5131879222380356
2012-02-10,0.11272675152205096,0.10467714345841134,0.09162232647512361,0.10039563589365573,0.012771801905596857,0.06461841850712603,0.5131879222380356
2012-02-17,0.11272675152205096,0.10467714345841134,0.09162232647512361,0.10039563589365573,0.012771801905596857,0.06461841850712603,0.5131879222380356
2012-02-24,0.13380349469222722,0.09843591341037707,0.1195230152701798,0.12574133793523692,0.008851967308166528,0.0759826463734231,0.4376616250103894
2012-03-02,0.13380349469222722,0.09843591341037707,0.1195230152701798,0.12574133793523692,0.008851967308166528,0.0759826463734231,0.4376616250103894
2012-03-09,0.13380349469222722,0.09843591341037707,0.1195230152701798,0.12574133793523692,0.008851967308166528,0.0759826463734231,0.4376616250103894
2012-03-16,0.13380349469222722,0.09843591341037707,0.1195230152701798,0.12574133793523692,0.008851967308166528,0.0759826463734231,0.4376616250103894
2012-03-23,0.13380349469222722,0.09843591341037707,0.1195230152701798,0.12574133793523692,0.008851967308166528,0.0759826463734231,0.4376616250103894
2012-03-30,0.17626696108978446,0.08584380159389543,0.1524681542172651,0.1420507839560247,0.006139127976547443,0.08723117116648295,0.35
2012-04-06,0.17626696108978446,0.08584380159389543,0.1524681542172651,0.1420507839560247,0.006139127976547443,0.08723117116648295,0.35
2012-04-13,0.17626696108978446,0.08584380159389543,0.1524681542172651,0.1420507839560247,0.006139127976547443,0.08723117116648295,0.35
2012-04-20,0.17626696108978446,0.08584380159389543,0.1524681542172651,0.1420507839560247,0.006139127976547443,0.08723117116648295,0.35
2012-04-27,0.17091667106019057,0.07039142192258036,0.16672493275249636,0.14966444932727602,0.0036834767859284666,0.08861904815152827,0.34999999999999987
