,gross_return,net_return,turnover,cost,wealth,drawdown
2018-11-02,0.002708613985958196,0.0026961684172132736,0.012445568744922341,1.2445568744922342e-05,2.2516861670995487,-0.06035191338562429
2018-11-09,-0.0035960698298362153,-0.003605138088999125,0.00906825916290965,9.06825916290965e-06,2.2435685275340655,-0.06373947449293305
2018-11-16,-0.009508419490073857,-0.009521195087854683,0.012775597780826028,1.2775597780826028e-05,2.2222070738904427,-0.07265379360934321
2018-11-23,0.006658056410068154,0.00665281189264446,0.005244517423693679,5.244517423693679e-06,2.23699099953954,-0.06648433373886853
2018-11-30,0.0020781958471966337,0.0019796542959553617,0.09854155124127205,9.854155124127205e-05,2.241419468381792,-0.06463629543981309
2018-12-07,-0.0023933281219499494,-0.0024043141108819432,0.010985988931993975,1.0985988931993975e-05,2.2360303919255564,-0.06688520359349381
2018-12-14,-0.013614201669934791,-0.013623134974247946,0.008933304313154627,8.933304313154627e-06,2.205568648089834,-0.07959715241140752
2018-12-21,0.001402694570160198,0.0013888215855211664,0.013872984639031681,1.3872984639031681e-05,2.20863178943665,-0.0783188770693014
2018-12-28,0.0034989991998489824,0.003374765691837504,0.1242335080114785,0.00012423350801147852,2.2160854042255425,-0.07520841923682053
2019-01-04,0.004171753113832108,0.004153986419389124,0.01776669444298348,1.776669444298348e-05,2.225290992898902,-0.0713668475695649
2019-01-11,0.0008858215267658106,0.0008650212663719083,0.02080026039390233,2.080026039390233e-05,2.2272159169316255,-0.07056356014405452
2019-01-18,0.0022516204919896714,0.0022465331463778423,0.005087345611829103,5.087345611829103e-06,2.232219431313153,-0.06847555037446662
2019-01-25,0.0049229174170008425,0.0048205061654910805,0.10241125150976174,0.00010241125150976174,2.242979858844527,-0.06398513102174097
2019-02-01,0.002843524904036489,0.0028398175790649636,0.003707324971525472,3.7073249715254723e-06,2.2493495124771625,-0.061327019542550265
2019-02-08,0.0014843876764337582,0.0014819561955390166,0.002431480894741612,2.4314808947416124e-06,2.252682949923111,-0.05993594730357621
2019-02-15,0.0005103835290204193,0.000505584269870482,0.0047992591499373405,4.799259149937341e-06,2.2538218709875975,-0.05946066570586228
2019-02-22,-0.008012416905951704,-0.008399004695084672,0.3865877891329688,0.0003865877891329688,2.234892010511288,-0.06736025999051054
2019-03-01,0.0041070180536689534,0.004102789273190674,0.0042287804782797575,4.228780478279758e-06,2.2440613014787534,-0.06353383566944826
2019-03-08,0.00680056883809919,0.006794498947076572,0.00606989102261777,6.06989102261777e-06,2.259308573628826,-0.057171017301931415
