version_name,window_name,window_type,weeks_to_offensive_50,weeks_to_offensive_60,weeks_to_cash_below_35,weeks_to_cash_below_25,avg_dynamic_speed
baseline_hrp_default,recovery_2009_2010,recovery,33.0,33.0,33.0,33.0,0.4000000000000001
baseline_hrp_default,recovery_2020_2021,recovery,47.0,51.0,51.0,60.0,0.4000000000000001
baseline_hrp_default,recovery_2023_2024,recovery,18.0,25.0,20.0,25.0,0.4000000000000001
improved_hrp_selective,recovery_2009_2010,recovery,20.0,33.0,6.0,15.0,0.5999999999999999
improved_hrp_selective,recovery_2020_2021,recovery,43.0,47.0,17.0,21.0,0.5999999999999999
improved_hrp_selective,recovery_2023_2024,recovery,12.0,16.0,7.0,20.0,0.6
improved_hrp_recovery_tilt,recovery_2009_2010,recovery,17.0,28.0,6.0,15.0,0.8285714285714285
improved_hrp_recovery_tilt,recovery_2020_2021,recovery,43.0,43.0,17.0,17.0,0.7428571428571429
improved_hrp_recovery_tilt,recovery_2023_2024,recovery,0.0,12.0,3.0,16.0,0.725
improved_hrp_recovery_concentrated,recovery_2009_2010,recovery,15.0,20.0,6.0,15.0,0.8285714285714285
improved_hrp_recovery_concentrated,recovery_2020_2021,recovery,43.0,43.0,17.0,17.0,0.7428571428571429
improved_hrp_recovery_concentrated,recovery_2023_2024,recovery,3.0,12.0,3.0,16.0,0.725
baseline_max_div_default,recovery_2009_2010,recovery,33.0,33.0,33.0,33.0,0.4000000000000001
baseline_max_div_default,recovery_2020_2021,recovery,47.0,51.0,51.0,60.0,0.4000000000000001
baseline_max_div_default,recovery_2023_2024,recovery,18.0,25.0,20.0,25.0,0.4000000000000001
improved_max_div_selective,recovery_2009_2010,recovery,20.0,33.0,6.0,15.0,0.5999999999999999
improved_max_div_selective,recovery_2020_2021,recovery,43.0,47.0,17.0,21.0,0.5999999999999999
improved_max_div_selective,recovery_2023_2024,recovery,0.0,16.0,7.0,16.0,0.6
improved_max_div_recovery_tilt,recovery_2009_2010,recovery,20.0,28.0,6.0,15.0,0.8285714285714285
improved_max_div_recovery_tilt,recovery_2020_2021,recovery,43.0,43.0,17.0,17.0,0.7428571428571429
improved_max_div_recovery_tilt,recovery_2023_2024,recovery,0.0,12.0,3.0,16.0,0.725
improved_inverse_vol_recovery_tilt,recovery_2009_2010,recovery,16.0,28.0,6.0,15.0,0.8285714285714285
improved_inverse_vol_recovery_tilt,recovery_2020_2021,recovery,37.0,43.0,17.0,17.0,0.7428571428571429
improved_inverse_vol_recovery_tilt,recovery_2023_2024,recovery,0.0,12.0,3.0,16.0,0.725
improved_herc_recovery_tilt,recovery_2009_2010,recovery,15.0,20.0,6.0,15.0,0.8285714285714285
improved_herc_recovery_tilt,recovery_2020_2021,recovery,43.0,47.0,17.0,17.0,0.7428571428571429
improved_herc_recovery_tilt,recovery_2023_2024,recovery,0.0,12.0,0.0,16.0,0.725
