,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,cash::BIL
2011-04-22,0.1965761966995993,0.12651982983662016,0.22039201574214012,0.2786472212829432,0.1372287160441711,0.04063602039452607
2011-04-29,0.2275691777737513,0.10198306146528525,0.2460052971835602,0.2909128198856162,0.1335296436917871,0.0
2011-05-06,0.2275691777737513,0.10198306146528525,0.2460052971835602,0.2909128198856162,0.1335296436917871,0.0
2011-05-13,0.2275691777737513,0.10198306146528525,0.2460052971835602,0.2909128198856162,0.1335296436917871,0.0
2011-05-20,0.2275691777737513,0.10198306146528525,0.2460052971835602,0.2909128198856162,0.1335296436917871,0.0
2011-05-27,0.21554185193849865,0.10175979358821388,0.24737997392229938,0.2934248993573395,0.1418934811936487,0.0
2011-06-03,0.21554185193849865,0.10175979358821388,0.24737997392229938,0.2934248993573395,0.1418934811936487,0.0
2011-06-10,0.21554185193849865,0.10175979358821388,0.24737997392229938,0.2934248993573395,0.1418934811936487,0.0
2011-06-17,0.21554185193849865,0.10175979358821388,0.24737997392229938,0.2934248993573395,0.1418934811936487,0.0
2011-06-24,0.21719641054553268,0.10103023889691892,0.24693696877246252,0.2897706108613809,0.139293415508029,0.005772355415676
2011-07-01,0.21719641054553268,0.10103023889691892,0.24693696877246252,0.2897706108613809,0.139293415508029,0.005772355415676
2011-07-08,0.21719641054553268,0.10103023889691892,0.24693696877246252,0.2897706108613809,0.139293415508029,0.005772355415676
2011-07-15,0.21719641054553268,0.10103023889691892,0.24693696877246252,0.2897706108613809,0.139293415508029,0.005772355415676
2011-07-22,0.21719641054553268,0.10103023889691892,0.24693696877246252,0.2897706108613809,0.139293415508029,0.005772355415676
2011-07-29,0.2088350006902754,0.10838777824813482,0.2418390690640141,0.25851351042612347,0.143989051431768,0.03843559013968423
2011-08-05,0.2088350006902754,0.10838777824813482,0.2418390690640141,0.25851351042612347,0.143989051431768,0.03843559013968423
2011-08-12,0.2088350006902754,0.10838777824813482,0.2418390690640141,0.25851351042612347,0.143989051431768,0.03843559013968423
2011-08-19,0.2088350006902754,0.10838777824813482,0.2418390690640141,0.25851351042612347,0.143989051431768,0.03843559013968423
2011-08-26,0.0822803186606984,0.044573800222068485,0.09339208376417728,0.11685938337695628,0.06289441397609961,0.5999999999999999
2011-09-02,0.0822803186606984,0.044573800222068485,0.09339208376417728,0.11685938337695628,0.06289441397609961,0.5999999999999999
2011-09-09,0.0822803186606984,0.044573800222068485,0.09339208376417728,0.11685938337695628,0.06289441397609961,0.5999999999999999
2011-09-16,0.0822803186606984,0.044573800222068485,0.09339208376417728,0.11685938337695628,0.06289441397609961,0.5999999999999999
2011-09-23,0.0822803186606984,0.044573800222068485,0.09339208376417728,0.11685938337695628,0.06289441397609961,0.5999999999999999
2011-09-30,0.06427338474533857,0.060233542307397775,0.11115264198994833,0.0989070346851557,0.06543339627215963,0.6
2011-10-07,0.06427338474533857,0.060233542307397775,0.11115264198994833,0.0989070346851557,0.06543339627215963,0.6
2011-10-14,0.06427338474533857,0.060233542307397775,0.11115264198994833,0.0989070346851557,0.06543339627215963,0.6
2011-10-21,0.06427338474533857,0.060233542307397775,0.11115264198994833,0.0989070346851557,0.06543339627215963,0.6
2011-10-28,0.05289226476878733,0.06886527548741926,0.120494664381804,0.08728915649657225,0.07045863886541716,0.6000000000000001
2011-11-04,0.05289226476878733,0.06886527548741926,0.120494664381804,0.08728915649657225,0.07045863886541716,0.6000000000000001
2011-11-11,0.05289226476878733,0.06886527548741926,0.120494664381804,0.08728915649657225,0.07045863886541716,0.6000000000000001
2011-11-18,0.05289226476878733,0.06886527548741926,0.120494664381804,0.08728915649657225,0.07045863886541716,0.6000000000000001
2011-11-25,0.09401349910180266,0.1434530694618839,0.24645286656464777,0.16238118982537647,0.1536993750462893,0.19999999999999984
2011-12-02,0.09401349910180266,0.1434530694618839,0.24645286656464777,0.16238118982537647,0.1536993750462893,0.19999999999999984
2011-12-09,0.09401349910180266,0.1434530694618839,0.24645286656464777,0.16238118982537647,0.1536993750462893,0.19999999999999984
2011-12-16,0.09401349910180266,0.1434530694618839,0.24645286656464777,0.16238118982537647,0.1536993750462893,0.19999999999999984
2011-12-23,0.09401349910180266,0.1434530694618839,0.24645286656464777,0.16238118982537647,0.1536993750462893,0.19999999999999984
2011-12-30,0.11600669487387331,0.12718583720507745,0.27618481226796954,0.19321763969238562,0.1324050159606942,0.15499999999999992
2012-01-06,0.11600669487387331,0.12718583720507745,0.27618481226796954,0.19321763969238562,0.1324050159606942,0.15499999999999992
2012-01-13,0.11600669487387331,0.12718583720507745,0.27618481226796954,0.19321763969238562,0.1324050159606942,0.15499999999999992
2012-01-20,0.11600669487387331,0.12718583720507745,0.27618481226796954,0.19321763969238562,0.1324050159606942,0.15499999999999992
2012-01-27,0.10404238956737001,0.21026580718353874,0.2294794422953428,0.26982609207282193,0.17984056053164443,0.006545708349282031
2012-02-03,0.10404238956737001,0.21026580718353874,0.2294794422953428,0.26982609207282193,0.17984056053164443,0.006545708349282031
2012-02-10,0.10404238956737001,0.21026580718353874,0.2294794422953428,0.26982609207282193,0.17984056053164443,0.006545708349282031
