role,candidate,state,n_weeks,ann_return,sharpe,vol_wkly,mean_wkly,ann_return_delta_vs_production,sharpe_delta_vs_production,mean_wkly_delta_vs_production
production_candidate_pending_human_review,improved_phaseggg_confirmed_only_robust_offense,calm_trend,295,0.0408505019252354,0.5144977082301727,0.0110293425024087,0.0008310759639948,0.005266983239763198,0.1295701236729449,7.585844771179997e-05
production_candidate_pending_human_review,improved_phaseggg_confirmed_only_robust_offense,neutral_mixed,493,0.1121123390576188,1.463045163640111,0.0106373859597562,0.0021020788048155,0.0016798117531160034,-0.0006329119681052209,3.086400088520014e-05
production_candidate_pending_human_review,improved_phaseggg_confirmed_only_robust_offense,recovery_confirmed,44,0.0257045151173664,0.3482473696428566,0.0103540917651656,0.0005406752181963,-0.0004427420923268019,-0.040876497621906704,7.166854418999601e-07
production_candidate_pending_human_review,improved_phaseggg_confirmed_only_robust_offense,recovery_fragile,49,0.0666705276141002,1.153957085358164,0.0080950583484224,0.0012741338339297,-0.003064554244373602,-0.1765293345035226,-4.9521721929799865e-05
production_candidate_pending_human_review,improved_phaseggg_confirmed_only_robust_offense,stressed_panic,229,0.0358028058347223,0.4817400470559708,0.0103288734960377,0.0007300081704646,0.002109606001311,-0.016075010338960527,4.831852176369995e-05
current_production_and_rollback,improved_phase2b_regime_confidence_boost,calm_trend,295,0.0355835186854722,0.3849275845572278,0.012841197562773,0.000755217516283,0.0,0.0,0.0
current_production_and_rollback,improved_phase2b_regime_confidence_boost,neutral_mixed,493,0.1104325273045028,1.4636780756082162,0.0104734721007397,0.0020712148039303,0.0,0.0,0.0
current_production_and_rollback,improved_phase2b_regime_confidence_boost,recovery_confirmed,44,0.0261472572096932,0.3891238672647633,0.009426027624973,0.0005399585327544,0.0,0.0,0.0
current_production_and_rollback,improved_phase2b_regime_confidence_boost,recovery_fragile,49,0.0697350818584738,1.3304864198616866,0.0073437286006115,0.0013236555558595,0.0,0.0,0.0
current_production_and_rollback,improved_phase2b_regime_confidence_boost,stressed_panic,229,0.0336931998334113,0.4978150573949313,0.0094063877021474,0.0006816896487009,0.0,0.0,0.0
official_shadow,improved_phase2b_combo_abc,calm_trend,295,0.035658624830249,0.3860974751140002,0.0128293100224235,0.0007564612432948,7.510614477680005e-05,0.0011698905567724127,1.2437270117999924e-06
official_shadow,improved_phase2b_combo_abc,neutral_mixed,493,0.1095359888643723,1.4563928514466833,0.0104404094521035,0.0020553112308033,-0.0008965384401305038,-0.007285224161532877,-1.5903573127000123e-05
official_shadow,improved_phase2b_combo_abc,recovery_confirmed,44,0.0255942423778254,0.3790626155518737,0.0094715653944664,0.0005300110141975,-0.0005530148318678013,-0.010061251712889574,-9.947518556900061e-06
official_shadow,improved_phase2b_combo_abc,recovery_fragile,49,0.0676959357047137,1.2979088403931742,0.0073079262262112,0.0012866644732256,-0.0020391461537600936,-0.03257757946851236,-3.699108263389983e-05
official_shadow,improved_phase2b_combo_abc,stressed_panic,229,0.0343314562519758,0.5151054563510021,0.0092628519154454,0.0006922047381164,0.0006382564185644993,0.017290398956070818,1.0515089415499964e-05
