best_candidate,rationale,name,ann_imp_pp_vs_prod,sharpe_imp_vs_prod,sharpe_vs_zz2,mdd_imp_pp_vs_prod,cvar_imp_pp_vs_prod,turnover_ratio_vs_prod,spy_inc_pp_vs_prod,bil_inc_pp_vs_prod,stressed_panic_ann_delta_pp,recovery_confirmed_ann_delta_pp_vs_prod,recovery_fragile_ann_delta_pp_vs_prod,recovery_confirmed_ann_delta_pp_vs_zz2,recovery_fragile_ann_delta_pp_vs_zz2,decomposition_intact,passes_strict_gates,passes_challenger_track,passes_shadow_track,fail_reasons_strict
improved_phaseaaa_confirmed_offense_mix_tilt,Selected improved_phaseaaa_confirmed_offense_mix_tilt (strict gates passed; just below challenger threshold).,,,,,,,,,,,,,,,,,,,
,,improved_phaseaaa_confirmed_offense_escalation,0.22233151721222644,0.05030025353115963,0.0004582385788729493,2.226259505273276,0.09157881852105074,1.086682802354365,-0.9740119401008891,-1.6970852963277328,0.20053301803391044,-1.0715390033436023,-0.24201305462709932,-0.1636788495711361,0.11666178036664476,True,False,False,False,recovery_confirmed did not improve vs ZZ2 (-0.16pp ann)
,,improved_phaseaaa_confirmed_offense_mix_tilt,0.21418662489107732,0.05119937298315269,0.0013573580308660071,2.2262595052732648,0.09761016997182625,1.0813984687230858,-0.9749183254348613,-1.8414589741563125,0.20219731712540767,-0.723033900720349,-0.2729037654280342,0.1848262530521172,0.0857710695657099,True,True,False,True,none
,,improved_phaseaaa_confirmed_defense_composition_repair,0.1861106277384561,0.04905055684188442,-0.0007914581104022655,2.226259505273276,0.10081179918125724,1.0710107872845778,-0.9318003754333017,-1.8555060361619746,0.19923946002879944,-0.7699062510099441,-0.3026717503014087,0.13795390276252206,0.05600308469233539,True,True,False,True,none
,,improved_phaseaaa_confirmed_only_combined_repair,0.20450711804258503,0.050082188000022176,0.00024017304773549242,2.226259505273276,0.09724442340738014,1.0773890263425108,-0.9428319074767717,-1.822527142840391,0.19924845871959196,-0.7433393196314642,-0.27677166949355847,0.16452083414100205,0.08190316550018562,True,True,False,True,none
