,BIL,DBA,EEM,EFA,EWJ,GLD,HYG,IAU,IEF,IWM,LQD,MBB,PDBC,QQQ,SHY,SLV,SPY,TIP,TLT,USO,UUP,VEA,VNQ,VTV,VUG,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2010-01-15,2.220446049250313e-16,0.0,0.0,0.02213212724936756,0.0,0.23657659476237655,0.21159222443676676,0.0,0.0,0.0,0.0,0.0,0.0,0.15127488637840542,0.0,0.0,0.020229098019937122,0.0,0.0,0.0,0.0,0.03236451500612516,0.05994288327806497,0.0,0.0,0.2658876708689563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-22,2.220446049250313e-16,0.0,0.0,0.022403429710338936,0.0,0.23548419014819405,0.21159222443676676,0.0,0.0,0.001009961690641867,0.0,0.0,0.0,0.15272236293600386,0.0,0.0,0.026030309297960658,0.0,0.0,0.0,0.0,0.02500107668554864,0.06236161999754646,0.0,0.0,0.26339482509699863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-29,0.11250000000000027,0.0,0.0,0.1040506314814803,0.0,0.10464881348703423,0.020273813487034227,0.0,0.0,0.018542315996591813,0.0,0.0,0.0,0.1270895634823035,0.0,0.0,0.02164371861377504,0.0,0.0,0.0,0.0,0.028727546715269607,0.22644165482452122,0.0,0.0,0.23608194191198986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-05,0.11250000000000016,0.0,0.0,0.1049542508842708,0.0,0.10464881348703423,0.020273813487034227,0.0,0.0,0.011325562331609158,0.0,0.0,0.0,0.1286166599896671,0.0,0.0,0.027749178457056413,0.0,0.0,0.0,0.0,0.032390534391010625,0.22577150177988836,0.0,0.0,0.23176968519242894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-12,0.11250000000000027,0.0,0.0,0.10697934849306584,0.0,0.10464881348703423,0.020273813487034227,0.0,0.0,0.013380511161325808,0.0,0.0,0.0,0.12334511775947582,0.0,0.0,0.025884900599045045,0.0,0.0,0.0,0.0,0.03279100829765725,0.22722600810564808,0.0,0.0,0.2329704786097135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-19,0.11250000000000016,0.0,0.0,0.11407362223177464,0.0,0.10464881348703423,0.020273813487034227,0.0,0.0,0.01638225380566988,0.0,0.0,0.0,0.11483697925646477,0.0,0.0,0.02578143796595664,0.0,0.0,0.0,0.0,0.03450180252471583,0.2266406079915106,0.0,0.0,0.23036066924983897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-26,0.0,0.0,0.0,0.21957948512064746,0.01111581580148883,0.019775629901793657,0.019775629901793657,0.0,0.0,0.017585641977622166,0.0,0.0,0.0,0.03706738936245819,0.0,0.0,0.03068677034463884,0.0,0.0,0.0,0.0,0.13794459747705173,0.2536747513977723,0.0,0.0,0.2527942887147332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-05,0.0,0.0,0.0,0.21612167364217866,0.0040490019574238,0.019775629901793657,0.040101714340313156,0.0,0.0,0.015856588219223856,0.0,0.0,0.0,0.032475604182364545,0.0,0.0,0.03177331186528298,0.0,0.0,0.0,0.0,0.1363003158711956,0.2534378121631878,0.0,0.0,0.25010834785703595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-12,0.0,0.0,0.0,0.21392423143902964,0.002313443801141255,0.019775629901793657,0.04554488090980161,0.0,0.0,0.015284999966729088,0.0,0.0,0.0,0.033672935804440945,0.0,0.0,0.03484105836160484,0.0,0.0,0.0,0.0,0.1355898715463777,0.25307577805239084,0.0,0.0,0.24597717021669038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-19,0.0,0.0,0.0,0.21392423143902964,0.0,0.027114150630447347,0.019775629901793657,0.0,0.0,0.018843267163861727,0.0,0.0,0.0,0.0399113346988431,0.0,0.0,0.03598814208343286,0.0,0.0,0.0,0.0,0.1355898715463777,0.2580107484453592,0.0,0.0,0.2508426240908548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
