candidate,state,n_weeks,eee_mean_wkly,prod_mean_wkly,delta_mean_wkly,eee_minus_prod_cumulative
improved_phaseeee_smoothed_near_exclude_dual,calm_trend,295,0.0008314999265152938,0.0007552175162830647,7.628241023222915e-05,0.035761244503395684
improved_phaseeee_smoothed_near_exclude_dual,neutral_mixed,493,0.002102084684460976,0.0020712148039303295,3.0869880530646435e-05,0.03897358895555314
improved_phaseeee_smoothed_near_exclude_dual,recovery_confirmed,44,0.0004819025159896776,0.0005399585327544482,-5.8056016764770576e-05,-0.002996181923027752
improved_phaseeee_smoothed_near_exclude_dual,recovery_fragile,49,0.0012743928984585507,0.0013236555558595474,-4.926265740099671e-05,-0.002859302654209195
improved_phaseeee_smoothed_near_exclude_dual,stressed_panic,229,0.0007311512495283885,0.00068168964870096,4.946160082742849e-05,0.010742401234276944
improved_phaseeee_turnover_aware_dual_cap,calm_trend,295,0.0008381932829048918,0.0007552175162830647,8.29757666218271e-05,0.038375436970241594
improved_phaseeee_turnover_aware_dual_cap,neutral_mixed,493,0.0021018906038358285,0.0020712148039303295,3.0675799905499016e-05,0.03852453759699781
improved_phaseeee_turnover_aware_dual_cap,recovery_confirmed,44,0.00047596281716277204,0.0005399585327544482,-6.399571559167615e-05,-0.0032836857517808404
improved_phaseeee_turnover_aware_dual_cap,recovery_fragile,49,0.0012938790715637204,0.0013236555558595474,-2.9776484295826987e-05,-0.001847115430921642
improved_phaseeee_turnover_aware_dual_cap,stressed_panic,229,0.0007304730319607555,0.00068168964870096,4.878338325979548e-05,0.010574122801408903
improved_phaseeee_selective_dual_escalation,calm_trend,295,0.0008421591377616377,0.0007552175162830647,8.694162147857302e-05,0.039904735111059964
improved_phaseeee_selective_dual_escalation,neutral_mixed,493,0.0021012558036974265,0.0020712148039303295,3.0040999767097076e-05,0.03769174360982408
improved_phaseeee_selective_dual_escalation,recovery_confirmed,44,0.00045776129638998303,0.0005399585327544482,-8.219723636446516e-05,-0.004106621638458874
improved_phaseeee_selective_dual_escalation,recovery_fragile,49,0.0012966800317838376,0.0013236555558595474,-2.697552407570974e-05,-0.001700787455945152
improved_phaseeee_selective_dual_escalation,stressed_panic,229,0.0007298659370210469,0.00068168964870096,4.8176288320086916e-05,0.01041262767224227
