date,bucket,prod_share,partner_share,l1_distance_to_production,l1_distance_to_partner,bil_weight
2005-01-14,defense_production,0.9,0.1,0.010239110636524528,0.09215199572872108,0.9948804446817378
2005-01-21,defense_production,0.9,0.1,0.009923915540821261,0.08931523986739134,0.9950380422295894
2005-01-28,defense_production,0.9,0.1,0.009873507516835495,0.08886156765151966,0.9950632462415823
2005-02-04,defense_production,0.9,0.1,0.009845984363249691,0.08861385926924756,0.9950770078183752
2005-02-11,defense_production,0.9,0.1,0.009832316862182127,0.08849085175963935,0.9950838415689089
2005-02-18,defense_production,0.9,0.1,0.009826389532686188,0.08843750579417559,0.9950868052336569
2005-02-25,defense_production,0.9,0.1,0.01667993960248057,0.15011945642232488,0.9916600301987597
2005-03-04,defense_production,0.9,0.1,0.0166792230462034,0.1501130074158308,0.9916603884768983
2005-03-11,defense_production,0.9,0.1,0.016712470359051303,0.1504122332314615,0.9916437648204743
2005-03-18,ambiguous_abstain,0.9,0.1,0.012951034011071505,0.11655930609964431,0.9935244829944643
2005-03-25,ambiguous_abstain,0.9,0.1,0.012647652658733648,0.11382887392860372,0.9936761736706332
2005-04-01,ambiguous_abstain,0.9,0.1,0.032473443961688886,0.29226099565520003,0.9837632780191555
2005-04-08,ambiguous_abstain,0.9,0.1,0.032442817864543144,0.29198536078088966,0.9837785910677285
2005-04-15,ambiguous_abstain,0.9,0.1,0.032367526305032035,0.29130773674528676,0.9838162368474839
2005-04-22,ambiguous_abstain,0.9,0.1,0.03229635928758334,0.2906672335882508,0.9838518203562083
2005-04-29,ambiguous_abstain,0.9,0.1,0.03327326768189834,0.2994594091370859,0.9833633661590508
2005-05-06,ambiguous_abstain,0.9,0.1,0.03324574435910935,0.29921169923198376,0.9833771278204453
2005-05-13,ambiguous_abstain,0.9,0.1,0.033199429011741236,0.29879486110567194,0.9834002854941294
2005-05-20,defense_production,0.9,0.1,0.03307007258602444,0.2976306532742205,0.9834649637069878
2005-05-27,defense_production,0.9,0.1,0.03299594158637029,0.2969634742773309,0.9835020292068147
2005-06-03,defense_production,0.9,0.1,0.013164360294519754,0.11847924265067834,0.9934178198527401
2005-06-10,defense_production,0.9,0.1,0.013046576388032131,0.11741918749228997,0.993476711805984
2005-06-17,defense_production,0.9,0.1,0.012962487447027365,0.11666238702324683,0.9935187562764863
2005-06-24,ambiguous_abstain,0.9,0.1,0.021457660312726962,0.19311894281454253,0.9892711698436365
2005-07-01,ambiguous_abstain,0.9,0.1,0.021496621809835553,0.19346959628852006,0.9892516890950822
2005-07-08,ambiguous_abstain,0.9,0.1,0.04679378623825513,0.4211440761442976,0.9766031068808725
