,gross_return,net_return,turnover,cost,wealth,drawdown
2010-07-23,0.002736431893526213,0.0027361218159042866,0.0003100776219266279,3.1007762192662787e-07,1.2595655153433076,-0.05713021797221518
2010-07-30,0.005315933426440041,0.005159402989179105,0.15653043726093618,0.0001565304372609362,1.2660641214282367,-0.05226557280041455
2010-08-06,-0.005948113369636774,-0.005948209973676713,9.660403993920106e-05,9.660403993920107e-08,1.2585333061938428,-0.05790289617267996
2010-08-13,0.0038076838232292106,0.0038073135175006614,0.00037030572854930256,3.7030572854930256e-07,1.2633249370627395,-0.054316037134479966
2010-08-20,0.0016232634294832478,0.0016229192378638562,0.00034419161939163475,3.4419161939163475e-07,1.2653752114067718,-0.052781268438206186
2010-08-27,0.006310305247516033,0.006095554656780559,0.21475059073547417,0.00021475059073547417,1.273088375169237,-0.04700744488804498
2010-09-03,-0.002095902345299201,-0.002096255541451636,0.00035319615243511895,3.5319615243511895e-07,1.2704196566080308,-0.0490051608126606
2010-09-10,0.005368439395203312,0.0053680597152626075,0.0003796799407046612,3.7967994070466123e-07,1.277239345188146,-0.043900163726996344
2010-09-17,0.00533781357497074,0.005337140876977346,0.0006726979933931962,6.726979933931962e-07,1.2840561515070334,-0.03879732420835247
2010-09-24,0.005328741078612956,0.005293994873264078,0.034746205348877915,3.474620534887792e-05,1.2908539381900948,-0.03370872217054388
2010-10-01,0.005570130755738935,0.005570008100725788,0.0001226550131473019,1.2265501314730192e-07,1.2980440050826674,-0.028326471925373076
2010-10-08,-0.0025344507616988175,-0.002534814467105237,0.0003637054064194863,3.637054064194863e-07,1.2947537043596447,-0.030789484041639836
2010-10-15,2.1677915195084758e-05,2.1395079206246387e-05,0.00028283598883837023,2.8283598883837025e-07,1.294781405717702,-0.030768747705883337
2010-10-22,0.0011380401662068008,0.0011377447680703734,0.000295398136427519,2.95398136427519e-07,1.296254536487852,-0.029666009919535608
2010-10-29,0.017557516361907846,0.017058117889361426,0.49939847254641945,0.0004993984725464195,1.3183661991858813,-0.013113938324688545
2010-11-05,-0.02845655363884451,-0.028457050443652678,0.000496804808166986,4.96804808166986e-07,1.2808493857524421,-0.04119780476392054
2010-11-12,-0.005620304953459308,-0.00562105201990185,0.0007470664425420405,7.470664425420405e-07,1.2736496647254683,-0.0465872817801386
2010-11-19,0.0039069007799822034,0.003906317673080561,0.0005831069016425149,5.83106901642515e-07,1.2786249449200984,-0.04286294882921671
2010-11-26,0.010071685770771374,0.009770393126986025,0.3012926437853498,0.00030129264378534983,1.2911176132939388,-0.033511343562873885
2010-12-03,-0.009032177929282365,-0.009032385730983254,0.0002078017008878448,2.0780170088784481e-07,1.2794557409866014,-0.04224104191243372
2010-12-10,-0.0006393727901621389,-0.0006394769912729078,0.00010420111076888513,1.0420111076888513e-07,1.2786375584788885,-0.042853506729316204
2010-12-17,0.006319714462444607,0.006319425442641258,0.00028901980334852193,2.8901980334852193e-07,1.2867178131978567,-0.03680489082740657
2010-12-24,0.012003669007070384,0.01200347931258022,0.00018969449016398095,1.8969449016398095e-07,1.3021629038497058,-0.02524319826047483
2010-12-31,-0.016424705802886793,-0.016791789024342103,0.3670832214553086,0.0003670832214553086,1.280297259092937,-0.04161110882532737
2011-01-07,0.00381483928272159,0.003814693731247198,0.00014555147439207462,1.4555147439207461e-07,1.2851812010213315,-0.03795514873006656
2011-01-14,-0.004367448330495457,-0.004367802713858749,0.00035438336329149384,3.5438336329149384e-07,1.2795677830837102,-0.0421571708422972
2011-01-21,0.004566489049289382,0.004566271586906512,0.00021746238286918197,2.1746238286918196e-07,1.2854106370951264,-0.037783400346792284
2011-01-28,0.005007722901344809,0.004449361065562044,0.5583618357827647,0.0005583618357827647,1.2911298931370767,-0.03350215127165779
2011-02-04,0.005083869124346856,0.00508380288627132,6.623807553619794e-05,6.623807553619794e-08,1.2976937430143582,-0.028588666718717515
2011-02-11,0.007084076015706142,0.0070838926581557275,0.0001833575504143831,1.833575504143831e-07,1.3068864661930324,-0.021707293106836945
2011-02-18,0.0015077021600538735,0.001507599083409861,0.00010307664401258924,1.0307664401258925e-07,1.3088567270315858,-0.020232419918618127
2011-02-25,0.003032371370035153,0.0029164867975665022,0.11588457246865054,0.00011588457246865054,1.3126739903958795,-0.01737494070662715
2011-03-04,-0.009682770567272049,-0.009682831680162722,6.111289067374546e-05,6.111289067374546e-08,1.2999635890959487,-0.02688953376047487
2011-03-11,-0.003988147779088602,-0.003988175963238362,2.8184149760739152e-05,2.8184149760739154e-08,1.294779105556831,-0.030770469531507083
2011-03-18,0.0051284654534867235,0.005128389054731798,7.639875492593333e-05,7.639875492593333e-08,1.301419236550064,-0.025799883415929648
2011-03-25,0.005826658046276107,0.005467149786888193,0.3595082593879141,0.0003595082593879141,1.308534290451821,-0.02047378545616063
2011-04-01,-0.0012277020989444579,-0.0012277250959722551,2.2997027797335658e-05,2.2997027797335658e-08,1.306927770064493,-0.021676374371918716
2011-04-08,-0.0012254132252028879,-0.0012254352845368674,2.2059333979546113e-05,2.2059333979546113e-08,1.305326214660715,-0.022875246662459325
2011-04-15,0.008341097676389528,0.008341048823807741,4.8852581787540045e-05,4.885258178754005e-08,1.3162140043481962,-0.014725001387919767
2011-04-22,0.009455358847401372,0.009455301844782195,5.700261917741719e-05,5.700261917741719e-08,1.328659205051638,-0.005408928875925145
2011-04-29,-0.02534811240907664,-0.026051105074221457,0.7029926651448175,0.0007029926651448175,1.2940461644930061,-0.03131912537566095
2011-05-06,-0.003273284156793619,-0.0032733534712600424,6.931446642347456e-05,6.931446642347456e-08,1.2898102939884923,-0.03448996027915563
