version_name,upside_capture_positive_weeks,downside_capture_negative_weeks,recovery_week_capture,recovery_fragile_capture,recovery_confirmed_capture,calm_week_capture,stress_downside_capture,avg_offensive_when_benchmark_positive,avg_cash_when_benchmark_positive,avg_regime_multiplier_when_benchmark_positive,avg_target_vol_multiplier_when_benchmark_positive,avg_dynamic_speed_when_benchmark_positive,production_score
baseline_hrp_default,0.2520409339236792,0.19355380062495361,0.21869398875562546,0.16624352927504207,0.42009817826103757,0.30960311824940195,0.23206754006014294,0.4437393303870584,0.43616318046642394,0.6730164862244749,0.9998627652310084,0.3999999999999999,0.33499999999999996
improved_hrp_selective,0.29604103479764116,0.21959390463452358,0.2899159644219982,0.25640462248334106,0.4185959555838014,0.33573348867235114,0.29884174353342513,0.5169215037698116,0.3334890549101346,0.7861324026209507,0.9997854123824421,0.6000000000000001,0.52875
improved_hrp_recovery_tilt,0.31255691670758745,0.2318394386299543,0.2922306221110131,0.26740483147016986,0.38755901946663673,0.4137217788150278,0.3000500518481337,0.5462101072834346,0.296373902480775,0.8268321847036705,0.9997540358697379,0.637062937062937,0.608125
improved_hrp_recovery_concentrated,0.30524137823619946,0.22356782858020235,0.27530547066313343,0.20143249569445057,0.5589698426679004,0.40765262870629015,0.29634294791883514,0.5451360356866689,0.29543277875443635,0.8268321847036705,0.999576500381719,0.637062937062937,0.5700000000000001
baseline_max_div_default,0.25548875783759073,0.19836197722520957,0.23330805730265441,0.18236358506860983,0.428929415851039,0.3416578296128234,0.2247899218143724,0.44851849232330104,0.42882427848592525,0.6730164862244749,0.9996951126431278,0.3999999999999999,0.3275
improved_max_div_selective,0.29697947804426067,0.2207394026849248,0.30497090429854146,0.28184840326504174,0.39375885060269183,0.35632460596653126,0.2710617067687068,0.5254146975645272,0.3222381963399053,0.7861324026209507,0.9998921856047988,0.6000000000000001,0.45875000000000005
improved_max_div_recovery_tilt,0.31301844015229674,0.23204391442001387,0.30049181261661195,0.29446254520151655,0.32364355864656236,0.43419353748278205,0.2804341559470314,0.5547895371422289,0.28450632250191354,0.8268321847036705,0.9998970184375721,0.637062937062937,0.51875
improved_inverse_vol_recovery_tilt,0.32149132252665547,0.24222624667418,0.29033177414351696,0.2720038192576363,0.3607091728476989,0.4211773030874786,0.25028708038488795,0.5532854049602121,0.28708053443084125,0.8268321847036705,0.9970300586631269,0.637062937062937,0.3450000000000001
improved_herc_recovery_tilt,0.32445151902758074,0.24877174051410508,0.2722643235373066,0.2746752017945627,0.26300680727896714,0.40995482815039985,0.24653989853047906,0.5531095219387352,0.2865885940316327,0.8268321847036705,0.99562219359905,0.637062937062937,0.26375
improved_hrp_recovery_split,0.31254224679317466,0.23186317023015438,0.28875492627382343,0.26636185243940913,0.3747419496634784,0.41430848179789803,0.29965131240340515,0.5458742595385391,0.2968279400161531,0.8266923245638104,0.9997540358697379,0.637062937062937,0.5743750000000001
improved_hrp_recovery_split_confirmed_offense,0.3136752412131677,0.2325547489318705,0.2812301901426822,0.26467629905456047,0.34479537242670494,0.4264398240845909,0.2991838471922836,0.5479272187085157,0.2939658951237318,0.8306013286507411,0.9997540358697379,0.637062937062937,0.570625
improved_hrp_recovery_split_confirmed_offense_neutral_ease,0.3179212283457221,0.23545852930113215,0.28641805302808093,0.2675227376017873,0.3589740559033379,0.4272275826794956,0.30093372878670255,0.5556584103868617,0.28403339185445714,0.8414404894899019,0.9997540358697379,0.637062937062937,0.660625
improved_hrp_neutral_ease,0.3168098627935278,0.2347387121941607,0.2976420022314722,0.27046954622802977,0.40198134515506906,0.4144985859459431,0.30180679779152636,0.5539399061285987,0.286451179641677,0.8376713455428315,0.9997540358697379,0.637062937062937,0.7406250000000001
improved_hrp_fragile_participation,0.3129328351649917,0.23222232044871985,0.2941492325848204,0.2706602162517004,0.38434455868301654,0.4132249293220654,0.30095023830355516,0.547432734020327,0.2946717747713896,0.8287202965917824,0.9997540358697379,0.637062937062937,0.6425000000000002
improved_hrp_beta_participation,0.3273830295552156,0.24507200984745026,0.31881758997678367,0.30248005289007523,0.3815519958914015,0.4432051363303685,0.29951585658992314,0.564295481678888,0.2782885280853217,0.8268321847036705,0.9997540358697379,0.637062937062937,0.62125
improved_hrp_neutral_fragile_combo,0.3171889201542692,0.2351222781293803,0.2996140501816925,0.2737689631003064,0.3988564375291349,0.41398396769168827,0.3027101678236493,0.5551611388314588,0.2847534265929668,0.8395594574309433,0.9997540358697379,0.637062937062937,0.7343750000000001
