,BIL,DBA,EEM,EFA,EWJ,GLD,HYG,IAU,IEF,IWM,LQD,MBB,PDBC,QQQ,SHY,SLV,SPY,TIP,TLT,USO,UUP,VEA,VNQ,VTV,VUG,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2016-08-26,0.0,0.0,0.0,0.031112227533346106,0.0,0.21695855294711366,0.031112227533346106,0.0,0.0,0.007023462145840169,0.1432560878281604,0.0,0.031112227533346106,0.0,0.0,0.0,0.03866453857600674,0.0,0.20793771539870634,0.0,0.0,0.0,0.24589619898009318,0.0,0.0,0.046926761524041155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-02,0.0,0.0,0.0,0.031112227533346106,0.0,0.21903202432788815,0.031112227533346106,0.0,0.0,0.0036880982495919087,0.14893225886843298,0.0,0.031112227533346106,0.0,0.0,0.0,0.03803453631360902,0.0,0.2176393928746215,0.0,0.0,0.0,0.23726778112364594,0.0,0.0,0.04206922564217217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-09,0.0,0.0,0.0,0.031112227533346106,0.0,0.22016654215210307,0.031112227533346106,0.0,0.0,0.003966228540940514,0.1432560878281604,0.0,0.031112227533346106,0.0026942996480618688,0.0,0.0,0.04211469351864852,0.0,0.20961851779445984,0.0,0.0,0.0,0.23830464395464482,0.0,0.0,0.046542303962942635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-16,0.0,0.0,0.0,0.031112227533346106,0.0,0.2190471785580971,0.031112227533346106,0.0,0.0,0.0029568857155123757,0.1432560878281604,0.0,0.031112227533346106,0.001445071120500166,0.0,0.0,0.03731997342603272,0.0,0.2148157867991524,0.0,0.0,0.0,0.2375367048224645,0.0,0.0,0.05028562913004203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-23,0.0,0.0,0.0,0.031112227533346106,0.0,0.21845197622362675,0.031112227533346106,0.0,0.0,0.010687234626873154,0.1432560878281604,0.0,0.031112227533346106,0.007344865681887776,0.0,0.0,0.03950360056529314,0.0,0.20723051458136482,0.0,0.0,0.0,0.22953366277437565,0.0,0.0,0.05065537511837997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-30,0.0,0.0,0.0,0.03257113621741118,0.0,0.1973584238688712,0.03856712124419507,0.0,0.0,0.03317816248178805,0.05259813250694283,0.0,0.03257113621741118,0.01819187985473849,0.0,0.0,0.04731525129553752,0.0,0.22898278563621888,0.0,0.0,0.0,0.1782798913196488,0.0,0.0,0.14038607935723665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-07,0.0,0.0,0.0,0.03257113621741119,0.007953548827842718,0.20185064976196765,0.061462601612668546,0.0,0.0,0.035327767915903016,0.05259813250694284,0.0,0.03257113621741119,0.0076151093414860045,0.0,0.0,0.03979377630142213,0.0,0.22115933109245267,0.0,0.0,0.0,0.17197414191695076,0.0,0.0,0.13512266828754133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-14,2.220446049250313e-16,0.0,0.0,0.03257113621741118,0.017789342011440987,0.20069168341647936,0.044962409258736645,0.0,0.0,0.03502787031403701,0.05259813250694283,0.0,0.03257113621741118,0.013418188641876326,0.0,0.0,0.044203238564803515,0.0,0.22115933109245262,0.0,0.0,0.00249488802306885,0.15923178830835885,0.0,0.0,0.14328085542698052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-21,0.0,0.0,0.0,0.03257113621741119,0.0,0.20272855674593254,0.05276805177685126,0.0,0.0,0.03297629220037265,0.05259813250694284,0.0,0.03257113621741119,0.032784310227216173,0.0,0.0,0.0511713371796191,0.0,0.22115933109245267,0.0,0.0,0.0,0.15923178830835888,0.0,0.0,0.1294399275274316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-28,0.06057728145829744,0.0,0.0,0.03150192746778979,0.009677165082105216,0.2019798832989483,0.16234409890224794,0.0,0.0,0.021665106560483087,0.1189142271125943,0.0,0.03150192746778979,0.014986339207338342,0.0,0.0,0.03552590716983611,0.0,0.18843926902227578,0.0,0.0,0.0,0.07709620033078432,0.0,0.0,0.04579066691950957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-04,0.06057728145829755,0.0,0.0,0.03150192746778979,0.012534041420383012,0.19059667739021846,0.17201974470217746,0.0,0.0,0.021143293293978925,0.1189142271125943,0.0,0.03150192746778979,0.014944357627085125,0.0,0.0,0.04009239014943884,0.0,0.18843926902227578,0.0,0.0,0.0,0.07043358616518877,0.0,0.0,0.047301276722782275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
