,selected_config,selection_score
2005-01-14,pp_holdout,
2005-01-21,pp_holdout,
2005-01-28,pp_holdout,
2005-02-04,pp_holdout,
2005-02-11,pp_holdout,
2005-02-18,pp_holdout,
2005-02-25,pp_holdout,
2005-03-04,pp_holdout,
2005-03-11,pp_holdout,
2005-03-18,pp_holdout,
2005-03-25,pp_holdout,
2005-04-01,pp_holdout,
2005-04-08,pp_holdout,
2005-04-15,pp_holdout,
2005-04-22,pp_holdout,
2005-04-29,pp_holdout,
2005-05-06,pp_holdout,
2005-05-13,pp_holdout,
2005-05-20,pp_holdout,
2005-05-27,pp_holdout,
2005-06-03,pp_holdout,
2005-06-10,pp_holdout,
2005-06-17,pp_holdout,
2005-06-24,pp_holdout,
2005-07-01,pp_holdout,
2005-07-08,pp_holdout,
2005-07-15,pp_holdout,
2005-07-22,pp_holdout,
2005-07-29,pp_holdout,
2005-08-05,pp_holdout,
2005-08-12,pp_holdout,
2005-08-19,pp_holdout,
2005-08-26,pp_holdout,
2005-09-02,pp_holdout,
2005-09-09,pp_holdout,
2005-09-16,pp_holdout,
2005-09-23,pp_holdout,
2005-09-30,pp_holdout,
2005-10-07,pp_holdout,
2005-10-14,pp_holdout,
2005-10-21,pp_holdout,
2005-10-28,pp_holdout,
2005-11-04,pp_holdout,
2005-11-11,pp_holdout,
2005-11-18,pp_holdout,
2005-11-25,pp_holdout,
2005-12-02,pp_holdout,
2005-12-09,pp_holdout,
2005-12-16,pp_holdout,
2005-12-23,pp_holdout,
2005-12-30,pp_holdout,
2006-01-06,pp_holdout,
2006-01-13,pp_holdout,
2006-01-20,pp_holdout,
2006-01-27,pp_holdout,
2006-02-03,pp_holdout,
2006-02-10,pp_holdout,
2006-02-17,pp_holdout,
2006-02-24,pp_holdout,
2006-03-03,pp_holdout,
2006-03-10,pp_holdout,
2006-03-17,pp_holdout,
2006-03-24,pp_holdout,
2006-03-31,pp_holdout,
2006-04-07,pp_holdout,
2006-04-14,pp_holdout,
2006-04-21,pp_holdout,
2006-04-28,pp_holdout,
2006-05-05,pp_holdout,
2006-05-12,pp_holdout,
2006-05-19,pp_holdout,
2006-05-26,pp_holdout,
2006-06-02,pp_holdout,
2006-06-09,pp_holdout,
2006-06-16,pp_holdout,
2006-06-23,pp_holdout,
2006-06-30,pp_holdout,
2006-07-07,pp_holdout,
2006-07-14,pp_holdout,
2006-07-21,pp_holdout,
2006-07-28,pp_holdout,
2006-08-04,pp_holdout,
2006-08-11,pp_holdout,
2006-08-18,pp_holdout,
2006-08-25,pp_holdout,
2006-09-01,pp_holdout,
2006-09-08,pp_holdout,
2006-09-15,pp_holdout,
2006-09-22,pp_holdout,
2006-09-29,pp_holdout,
2006-10-06,pp_holdout,
2006-10-13,pp_holdout,
2006-10-20,pp_holdout,
2006-10-27,pp_holdout,
2006-11-03,pp_holdout,
2006-11-10,pp_holdout,
2006-11-17,pp_holdout,
2006-11-24,pp_holdout,
2006-12-01,pp_holdout,
2006-12-08,pp_holdout,
2006-12-15,pp_holdout,
2006-12-22,pp_holdout,
