,learned_confidence,margin_confidence,agreement,risk_guard,signal_top_gap,mu_scale,lambda_turn,lambda_tail
2005-01-14,0.13687488167680864,0.19804597701149423,0.3333333333333333,0.6,0.0733333333333333,0.34961611582150104,1.2828310853820148,0.7365999999999999
2005-01-21,0.13687488167680864,0.19804597701149423,0.3333333333333333,0.6,0.0733333333333333,0.34961611582150104,1.2828310853820148,0.7365999999999999
2005-01-28,0.13687488167680864,0.19804597701149423,0.3333333333333333,0.6,0.0733333333333333,0.34961611582150104,1.2828310853820148,0.7365999999999999
2005-02-04,0.13687488167680864,0.19804597701149423,0.3333333333333333,0.6,0.0733333333333333,0.34961611582150104,1.2828310853820148,0.7365999999999999
2005-02-11,0.13687488167680864,0.19804597701149423,0.3333333333333333,0.6,0.0733333333333333,0.34961611582150104,1.2828310853820148,0.7365999999999999
2005-02-18,0.13687488167680864,0.19804597701149423,0.3333333333333333,0.6,0.0733333333333333,0.34961611582150104,1.2828310853820148,0.7365999999999999
2005-02-25,0.13687488167680864,0.19804597701149423,0.3333333333333333,0.6,0.0733333333333333,0.34961611582150104,1.2828310853820148,0.7365999999999999
2005-03-04,0.13687488167680864,0.19804597701149423,0.3333333333333333,0.6,0.0733333333333333,0.34961611582150104,1.2828310853820148,0.7365999999999999
2005-03-11,0.2832724475997295,0.4302298850574713,0.3333333333333333,0.6,0.21333333333333332,0.5156309555780934,1.1771906018120353,0.7365999999999999
2005-03-18,0.1558083798174442,0.3280890804597701,0.0,0.1,0.14,0.3710867027129817,1.1811686731237323,0.6061
2005-03-25,0.1558083798174442,0.3280890804597701,0.0,0.1,0.14,0.3710867027129817,1.1811686731237323,0.6061
2005-04-01,0.07750107758620689,0.22464080459770114,0.0,0.1,0.006666666666666599,0.28228622198275866,1.237675222413793,0.6061
2005-04-08,0.08396982758620689,0.24339080459770115,0.0,0.1,0.006666666666666599,0.28962178448275866,1.233007372413793,0.6061
2005-04-15,0.08396982758620689,0.24339080459770115,0.0,0.1,0.006666666666666599,0.28962178448275866,1.233007372413793,0.6061
2005-04-22,0.08396982758620689,0.24339080459770115,0.0,0.1,0.006666666666666599,0.28962178448275866,1.233007372413793,0.6061
