name,missing,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,avg_turnover,avg_BIL,avg_SPY,avg_offense,avg_defense,avg_cash,holdout_ann_return,holdout_sharpe,recovery_capture,avg_bucket_offense,avg_bucket_defense,avg_bucket_composite,avg_bucket_cash,ann_return_delta_vs_prod,sharpe_delta_vs_prod,max_drawdown_delta_vs_prod,cvar_5_delta_vs_prod,avg_BIL_delta_vs_prod,avg_SPY_delta_vs_prod,avg_offense_delta_vs_prod,avg_defense_delta_vs_prod,avg_cash_delta_vs_prod,ann_return_delta_vs_shadow,sharpe_delta_vs_shadow,max_drawdown_delta_vs_shadow,cvar_5_delta_vs_shadow,avg_BIL_delta_vs_shadow,avg_SPY_delta_vs_shadow,avg_offense_delta_vs_shadow,avg_defense_delta_vs_shadow,avg_cash_delta_vs_shadow,ann_return_delta_vs_ss1,sharpe_delta_vs_ss1,max_drawdown_delta_vs_ss1,cvar_5_delta_vs_ss1,avg_BIL_delta_vs_ss1,avg_SPY_delta_vs_ss1,avg_offense_delta_vs_ss1,avg_defense_delta_vs_ss1,avg_cash_delta_vs_ss1
improved_phase2b_regime_confidence_boost,False,0.06973726056697613,0.07789583362986176,0.8952630367671166,-0.139754039463866,0.49899996332490265,-0.026181041847003924,0.05617856587445908,0.2839178772422698,0.07081167142134885,0.47498117072743484,0.2411009520302949,0.2839178772422698,0.14583656959170221,2.001626593422079,0.12814863475678015,0.3908031422936725,0.1337725320855525,0.25430484674051596,0.2211194788802588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003427249951112876,0.0007904555681768066,-0.0030128240486322344,-9.599381082687e-05,-0.0016346203049677488,5.5162917383583254e-05,0.0007233880746645438,0.000911232230303205,-0.0016346203049677488,-0.0008477098306897413,-0.0024209782241617628,0.0010211674750345567,0.0002533705710355619,0.002624042830456974,-0.0019729920588943406,-0.004879094612865953,0.0022550517824090066,0.002624042830456974
improved_phase2b_combo_abc,False,0.06939453557186484,0.07758151231293113,0.8944725811989398,-0.13674121541523376,0.5074880705216687,-0.026085048036177054,0.05652051445626184,0.28555249754723755,0.07075650850396527,0.4742577826527703,0.2401897197999917,0.28555249754723755,0.14569998758182207,2.014032143070176,0.1248945639570215,0.38986047647566613,0.13357171387880154,0.25370712668910367,0.2228606829564285,-0.0003427249951112876,-0.0007904555681768066,0.0030128240486322344,9.599381082687e-05,0.0016346203049677488,-5.5162917383583254e-05,-0.0007233880746645438,-0.000911232230303205,0.0016346203049677488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011904348258010289,-0.0032114337923385694,0.004033991523666791,0.0003493643818624319,0.004258663135424723,-0.002028154976277924,-0.005602482687530497,0.0013438195521058016,0.004258663135424723
improved_phasess_recovery_explicit_bucket,False,0.07058497039766587,0.07863008499527716,0.8976840149912784,-0.14077520693890055,0.5014020006257299,-0.026434412418039486,0.05739276743553312,0.2812938344118128,0.07278466348024319,0.4798602653403008,0.2388459002478859,0.2812938344118128,0.14891689384904744,1.9841006127102374,0.14380464256233477,0.3980576549271417,0.13800525297248972,0.24286715274514947,0.22106993935521893,0.0008477098306897413,0.0024209782241617628,-0.0010211674750345567,-0.0002533705710355619,-0.002624042830456974,0.0019729920588943406,0.004879094612865953,-0.0022550517824090066,-0.002624042830456974,0.0011904348258010289,0.0032114337923385694,-0.004033991523666791,-0.0003493643818624319,-0.004258663135424723,0.002028154976277924,0.005602482687530497,-0.0013438195521058016,-0.004258663135424723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
improved_phasett_recovery_two_stage_bucket,False,0.07062080870629821,0.07852935588886853,0.8992918368799284,-0.14077520693890033,0.5016565788956663,-0.02635460969201838,0.05767529753726401,0.28355743834383723,0.07305860925114406,0.47910135385486674,0.23734120780129564,0.28355743834383723,0.1494692549774962,2.0001128773221426,0.14747531682520065,0.3970894749245394,0.1393985290328354,0.23934755249875028,0.2241644435438747,0.0008835481393220795,0.0040288001128118145,-0.0010211674750343347,-0.00017356784501445718,-0.00036043889843256904,0.002246937829795209,0.004120183127431898,-0.0037597442289992733,-0.00036043889843256904,0.0012262731344333672,0.004819255680988621,-0.004033991523666569,-0.0002695616558413272,-0.001995059203400318,0.0023021007471787924,0.004843571202096442,-0.0028485119986960683,-0.001995059203400318,3.583830863233828e-05,0.0016078218886500517,2.220446049250313e-16,7.980272602110469e-05,0.002263603932024405,0.0002739457709008686,-0.0007589114854340551,-0.0015046924465902667,0.002263603932024405
improved_phasett_recovery_neutral_two_stage_bucket,False,0.07135903741244927,0.0795113179987953,0.8974701867415964,-0.14077520693890033,0.5069006039069133,-0.02672510559237623,0.05747780510363936,0.2775642562140553,0.07579709941461751,0.485499537307262,0.23693620647868238,0.2775642562140553,0.14849141960879464,1.8843307701980052,0.1462682682343208,0.4038341851790098,0.1453577953083895,0.2297555171713309,0.2210525023412697,0.0016217768454731413,0.002207149974479794,-0.0010211674750343347,-0.0005440637453723064,-0.006353621028214518,0.004985427993268662,0.010518366579827132,-0.004164745551612531,-0.006353621028214518,0.001964501840584429,0.0029976055426566006,-0.004033991523666569,-0.0006400575561991764,-0.007988241333182267,0.005040590910652246,0.011241754654491676,-0.003253513321309326,-0.007988241333182267,0.0007740670147834,-0.00021382824968196879,2.220446049250313e-16,-0.00029069317433674455,-0.0037295781977575437,0.0030124359343743218,0.005639271966961179,-0.0019096937692035243,-0.0037295781977575437
improved_phasett_ss1_overlay_coordinated,False,0.0702229715682551,0.07831715245951687,0.8966486824780082,-0.14077520693890044,0.49883053341014394,-0.026316786926180686,0.057353712719373576,0.2842364297684864,0.07237216238798415,0.4777391474926603,0.23802442273885305,0.2842364297684864,0.14856260781084718,2.001154392702917,0.14296963904477716,0.39634711495415825,0.13716635493230056,0.2423553347916834,0.22413119532185752,0.0004857110012789767,0.0013856457108916143,-0.0010211674750344457,-0.00013574507917676198,0.0003185525262165978,0.0015604909666352973,0.002757976765225434,-0.003076529291441865,0.0003185525262165978,0.0008284359963902643,0.002176101279068421,-0.00403399152366668,-0.000231738890003632,-0.001316067778751151,0.0016156538840188805,0.0034813648398899777,-0.00216529706113866,-0.001316067778751151,-0.00036199882941076456,-0.0010353325132701485,1.1102230246251565e-16,0.00011762549185879989,0.002942595356673572,-0.0004125010922590433,-0.002121117847640519,-0.0008214775090328585,0.002942595356673572
