Date,version_name,market_state,strong_neutral,bil_weight,overlay_cash_weight,sleeve_bil_weight,sleeve_internal_bil_weight,self_gated_internal_bil_weight,self_gated_overlay_cut_total,self_gated_overlay_cut_risky,non_self_gated_overlay_cut_total,non_self_gated_overlay_cut_risky,regime_multiplier,target_vol_multiplier,gross_multiplier,binding_source
2005-01-07,improved_phasennn_ml_risk_dial_overlay,neutral_mixed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,none
2005-01-14,improved_phasennn_ml_risk_dial_overlay,neutral_mixed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,none
2005-01-21,improved_phasennn_ml_risk_dial_overlay,neutral_mixed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,none
2005-01-28,improved_phasennn_ml_risk_dial_overlay,neutral_mixed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,none
2005-02-04,improved_phasennn_ml_risk_dial_overlay,neutral_mixed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,none
2005-02-11,improved_phasennn_ml_risk_dial_overlay,neutral_mixed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,none
2005-02-18,improved_phasennn_ml_risk_dial_overlay,neutral_mixed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,none
2005-02-25,improved_phasennn_ml_risk_dial_overlay,neutral_mixed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,none
2005-03-04,improved_phasennn_ml_risk_dial_overlay,neutral_mixed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,none
2005-03-11,improved_phasennn_ml_risk_dial_overlay,neutral_mixed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,none
2005-03-18,improved_phasennn_ml_risk_dial_overlay,neutral_mixed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,none
2005-03-25,improved_phasennn_ml_risk_dial_overlay,neutral_mixed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,none
2005-04-01,improved_phasennn_ml_risk_dial_overlay,neutral_mixed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,none
2005-04-08,improved_phasennn_ml_risk_dial_overlay,neutral_mixed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,none
2005-04-15,improved_phasennn_ml_risk_dial_overlay,neutral_mixed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,none
2005-04-22,improved_phasennn_ml_risk_dial_overlay,neutral_mixed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,none
