,BIL,DBA,EEM,EFA,EWJ,GLD,HYG,IAU,IEF,IWM,LQD,MBB,PDBC,QQQ,SHY,SLV,SPY,TIP,TLT,USO,UUP,VEA,VNQ,VTV,VUG,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2009-01-09,0.7370330217224719,0.015655536713745102,0.0,0.0,0.000651477789355696,0.03462567715390615,0.0482799858195712,0.0,0.0,0.0,0.058562235895106354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10519206490584355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-16,0.737033021722472,0.015655536713745102,0.0,0.0,0.0018694621048470235,0.0351420173393258,0.047448352379828376,0.0,0.0,0.0,0.05809295919068316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1047586505490986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-23,0.7370330217224719,0.015655536713745102,0.0,0.0,0.000856604509263064,0.035511105122818624,0.048976718705115656,0.0,0.0,0.0,0.05955814645739249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10240886676919313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-30,0.6695046322461794,0.0016224578187707473,0.0,0.0,0.03437652365261227,0.05021190034196141,0.06687320371798774,0.0,0.0,0.0,0.07459309747896933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10281818474351907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-06,0.6695046322461794,0.0007178259699917218,0.0,0.0,0.03387728623515735,0.05150066179853244,0.06689634334868305,0.0,0.0,0.0,0.07465133947547055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10285191092598549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-13,0.6695046322461794,0.0024843648203976363,0.0,0.0,0.03385601921927092,0.049222500111935075,0.06723107911357457,0.0,0.0,0.0,0.07571308698311793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10198831750552446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-20,0.6695046322461794,0.000763475649995327,0.0,0.0,0.033872979164697,0.049641222744241556,0.06748730506480671,0.0,0.0,0.0,0.07572222339546114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10300816173461887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-27,0.7441889848773015,0.0013221982011157524,0.0,0.0,0.01597028291420003,0.04953420413338758,0.048727279160472134,0.0,0.0,0.0,0.05472256528844803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08553448542507504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-06,0.7441889848773015,0.0007548972972359066,0.0,0.0,0.015953870616346944,0.05105476772469006,0.048442236692247315,0.0,0.0,0.0,0.05502540297201315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08457983982016516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-13,0.7441889848773015,0.001910708358386179,0.0,0.0,0.015715993216948238,0.05199077678993359,0.04796763955120592,0.0,0.0,0.0,0.05389063793722923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08433525926899538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
