,selected_config,selection_score,margin_confidence,agreement,score_top_gap,score_top_median_gap
2005-01-14,balanced,,0.19804597701149423,0.3333333333333333,0.09999999999999998,0.25
2005-01-21,balanced,,0.19804597701149423,0.3333333333333333,0.09999999999999998,0.25
2005-01-28,balanced,,0.19804597701149423,0.3333333333333333,0.09999999999999998,0.25
2005-02-04,balanced,,0.19804597701149423,0.3333333333333333,0.09999999999999998,0.25
2005-02-11,balanced,,0.19804597701149423,0.3333333333333333,0.09999999999999998,0.25
2005-02-18,balanced,,0.19804597701149423,0.3333333333333333,0.09999999999999998,0.25
2005-02-25,balanced,,0.19804597701149423,0.3333333333333333,0.09999999999999998,0.25
2005-03-04,balanced,,0.19804597701149423,0.3333333333333333,0.09999999999999998,0.25
2005-03-11,balanced,,0.4302298850574713,0.3333333333333333,0.34,0.725
2005-03-18,balanced,,0.3280890804597701,0.0,0.24,0.405
2005-03-25,balanced,,0.3280890804597701,0.0,0.24,0.405
2005-04-01,balanced,,0.22464080459770114,0.0,0.040000000000000036,0.30500000000000005
2005-04-08,balanced,,0.24339080459770115,0.0,0.040000000000000036,0.30500000000000005
2005-04-15,balanced,,0.24339080459770115,0.0,0.040000000000000036,0.30500000000000005
2005-04-22,balanced,,0.24339080459770115,0.0,0.040000000000000036,0.30500000000000005
2005-04-29,balanced,,0.24339080459770115,0.0,0.040000000000000036,0.30500000000000005
2005-05-06,balanced,,0.34594622331691294,0.0,0.24,0.405
2005-05-13,balanced,,0.242497947454844,0.0,0.040000000000000036,0.30500000000000005
2005-05-20,balanced,,0.5109195402298851,0.3333333333333333,0.38,0.615
2005-05-27,balanced,,0.5109195402298851,0.3333333333333333,0.38,0.615
2005-06-03,balanced,,0.5109195402298851,0.3333333333333333,0.38,0.615
2005-06-10,balanced,,0.5936781609195403,0.3333333333333333,0.54,0.6
2005-06-17,balanced,,0.5936781609195403,0.3333333333333333,0.54,0.7350000000000001
2005-06-24,balanced,,0.27873563218390807,0.0,0.06,0.305
2005-07-01,balanced,,0.3614942528735632,0.0,0.21999999999999997,0.46
2005-07-08,balanced,,0.3614942528735632,0.0,0.21999999999999997,0.45999999999999996
2005-07-15,balanced,,0.4339080459770115,0.0,0.36,0.45999999999999996
2005-07-22,balanced,,0.4442528735632184,0.0,0.3800000000000001,0.5700000000000001
2005-07-29,balanced,,0.2890804597701149,0.0,0.07999999999999996,0.48
2005-08-05,balanced,,0.4339080459770115,0.0,0.3600000000000001,0.46
2005-08-12,balanced,,0.6247126436781609,0.3333333333333333,0.64,0.7000000000000001
2005-08-19,balanced,,0.34433908045977013,0.0,0.24000000000000005,0.54
2005-08-26,balanced,,0.24089080459770112,0.0,0.03999999999999998,0.26000000000000006
2005-09-02,balanced,,0.25123563218390804,0.0,0.06,0.23000000000000004
2005-09-09,balanced,,0.34433908045977013,0.0,0.24,0.42000000000000004
2005-09-16,balanced,,0.34080459770114946,0.0,0.18000000000000005,0.5800000000000001
2005-09-23,balanced,,0.43850574712643675,0.3333333333333333,0.24,0.77
2005-09-30,balanced,,0.31330459770114943,0.0,0.18000000000000005,0.5
2005-10-07,balanced,,0.2408908045977011,0.0,0.039999999999999925,0.4
2005-10-14,balanced,,0.5686781609195403,0.3333333333333333,0.54,0.67
2005-10-21,balanced,,0.2804597701149425,0.0,0.16000000000000003,0.6300000000000001
2005-10-28,balanced,,0.368105686419723,0.0,0.26,0.51
2005-11-04,balanced,,0.2722296806819686,0.0,0.06000000000000005,0.46
2005-11-11,balanced,,0.2890804597701149,0.0,0.07999999999999996,0.37999999999999995
2005-11-18,balanced,,0.34683908045977013,0.0,0.24000000000000005,0.45000000000000007
2005-11-25,balanced,,0.24339080459770115,0.0,0.040000000000000036,0.6000000000000001
2005-12-02,balanced,,0.4135057471264368,0.3333333333333333,0.24,0.6500000000000001
2005-12-09,balanced,,0.2433908045977011,0.0,0.039999999999999925,0.35
2005-12-16,balanced,,0.24339080459770115,0.0,0.040000000000000036,0.55
2005-12-23,balanced,,0.4135057471264368,0.3333333333333333,0.24,0.7500000000000001
2005-12-30,balanced,,0.31580459770114944,0.0,0.18000000000000005,0.4800000000000001
2006-01-06,balanced,,0.24339080459770115,0.0,0.040000000000000036,0.6000000000000001
2006-01-13,balanced,,0.3033045977011494,0.0,0.18000000000000005,0.53
2006-01-20,balanced,,0.23089080459770114,0.0,0.040000000000000036,0.32000000000000006
2006-01-27,balanced,,0.46522988505747126,0.3333333333333333,0.34,0.79
2006-02-03,balanced,,0.5686781609195403,0.3333333333333333,0.54,0.64
2006-02-10,balanced,,0.5376436781609195,0.3333333333333333,0.4800000000000001,0.65
2006-02-17,balanced,,0.5376436781609195,0.3333333333333333,0.4800000000000001,0.65
2006-02-24,balanced,,0.4135057471264368,0.3333333333333333,0.24,0.7700000000000001
2006-03-03,balanced,,0.5376436781609195,0.3333333333333333,0.4800000000000001,0.65
2006-03-10,balanced,,0.5376436781609195,0.3333333333333333,0.4800000000000001,0.5800000000000001
2006-03-17,balanced,,0.589367816091954,0.3333333333333333,0.5800000000000001,0.6300000000000001
2006-03-24,balanced,,0.48591954022988504,0.3333333333333333,0.38,0.68
2006-03-31,balanced,,0.589367816091954,0.3333333333333333,0.5800000000000001,0.6300000000000001
2006-04-07,balanced,,0.4089080459770115,0.0,0.3600000000000001,0.4600000000000001
2006-04-14,balanced,,0.2997126436781609,0.3333333333333333,0.020000000000000018,0.35000000000000003
2006-04-21,balanced,,0.5169540229885057,0.3333333333333333,0.44,0.64
2006-04-28,balanced,,0.3054597701149425,0.0,0.15999999999999998,0.3500000000000001
2006-05-05,balanced,,0.2997126436781609,0.3333333333333333,0.020000000000000018,0.42000000000000004
2006-05-12,balanced,,0.2997126436781609,0.3333333333333333,0.020000000000000018,0.37
2006-05-19,balanced,,0.24339080459770115,0.0,0.040000000000000036,0.09000000000000008
2006-05-26,balanced,,0.2628304597701149,0.0,0.07999999999999996,0.25
2006-06-02,balanced,,0.24339080459770115,0.0,0.040000000000000036,0.6400000000000001
2006-06-09,balanced,,0.5117508210180624,0.3333333333333333,0.4800000000000001,0.53
2006-06-16,balanced,,0.3120176518883415,0.0,0.24,0.37
2006-06-23,balanced,,0.3869683908045977,0.0,0.32000000000000006,0.3600000000000001
2006-06-30,balanced,,0.242497947454844,0.0,0.040000000000000036,0.7000000000000001
2006-07-07,balanced,,0.2433908045977011,0.0,0.039999999999999925,0.54
2006-07-14,balanced,,0.2183908045977011,0.0,0.03999999999999998,0.25
2006-07-21,balanced,,0.41225574712643676,0.3333333333333333,0.24,0.6000000000000001
2006-07-28,balanced,,0.5583333333333333,0.3333333333333333,0.52,0.66
2006-08-04,balanced,,0.5376436781609195,0.3333333333333333,0.4800000000000001,0.67
2006-08-11,balanced,,0.5376436781609195,0.3333333333333333,0.4800000000000001,0.67
2006-08-18,balanced,,0.24123563218390803,0.0,0.06000000000000005,0.46
2006-08-25,balanced,,0.357183908045977,0.0,0.26,0.6000000000000001
2006-09-01,balanced,,0.4010057471264368,0.3333333333333333,0.24,0.6500000000000001
2006-09-08,balanced,,0.24123563218390803,0.0,0.06000000000000005,0.46
2006-09-15,balanced,,0.357183908045977,0.0,0.26,0.43000000000000005
2006-09-22,balanced,,0.357183908045977,0.0,0.26,0.36000000000000004
2006-09-29,balanced,,0.3468390804597701,0.0,0.24,0.37
2006-10-06,balanced,,0.4135057471264368,0.3333333333333333,0.24,0.6500000000000001
2006-10-13,balanced,,0.24339080459770115,0.0,0.040000000000000036,0.55
2006-10-20,balanced,,0.25373563218390804,0.0,0.06000000000000005,0.46
2006-10-27,balanced,,0.25373563218390804,0.0,0.06000000000000005,0.46
2006-11-03,balanced,,0.34683908045977013,0.0,0.24000000000000005,0.52
2006-11-10,balanced,,0.45225880401252355,0.3333333333333333,0.34,0.6900000000000001
2006-11-17,balanced,,0.44574215514633164,0.3333333333333333,0.34,0.6900000000000001
2006-11-24,balanced,,0.447924998141142,0.3333333333333333,0.34,0.7200000000000001
2006-12-01,balanced,,0.4392466524740687,0.3333333333333333,0.34,0.7200000000000001
2006-12-08,balanced,,0.20923009031198686,0.0,0.040000000000000036,0.6000000000000001
2006-12-15,balanced,,0.27873563218390807,0.0,0.06,0.16000000000000003
2006-12-22,balanced,,0.27873563218390807,0.0,0.06,0.16000000000000003
2006-12-29,balanced,,0.3097701149425287,0.0,0.12,0.25
2007-01-05,balanced,,0.33045977011494254,0.0,0.15999999999999998,0.3500000000000001
2007-01-12,balanced,,0.26839080459770115,0.0,0.040000000000000036,0.09000000000000008
2007-01-19,balanced,,0.27873563218390807,0.0,0.06,0.15500000000000003
2007-01-26,balanced,,0.3247126436781609,0.3333333333333333,0.020000000000000018,0.325
2007-02-02,balanced,,0.3350574712643678,0.3333333333333333,0.03999999999999998,0.23999999999999996
2007-02-09,balanced,,0.30459770114942525,0.0,0.10999999999999999,0.28
2007-02-16,balanced,,0.2658908045977011,0.0,0.03999999999999998,0.21
2007-02-23,balanced,,0.3279597701149425,0.0,0.16000000000000003,0.4000000000000001
2007-03-02,balanced,,0.25554597701149423,0.0,0.01999999999999988,0.05999999999999994
2007-03-09,balanced,,0.26408045977011496,0.0,0.08000000000000007,0.14
2007-03-16,balanced,,0.2847701149425287,0.0,0.12,0.4
2007-03-23,balanced,,0.33649425287356327,0.0,0.22000000000000008,0.35
2007-03-30,balanced,,0.33649425287356327,0.0,0.22000000000000008,0.35
2007-04-06,balanced,,0.26408045977011496,0.0,0.08000000000000007,0.14
2007-04-13,balanced,,0.357183908045977,0.0,0.26,0.53
2007-04-20,balanced,,0.32511347890659537,0.0,0.16000000000000003,0.4000000000000001
2007-04-27,balanced,,0.322993880053724,0.0,0.16000000000000003,0.3500000000000001
2007-05-04,balanced,,0.3230465808737792,0.0,0.16000000000000003,0.3500000000000001
2007-05-11,balanced,,0.33339140845998605,0.0,0.17999999999999994,0.42
2007-05-18,balanced,,0.3325283940954838,0.0,0.17999999999999994,0.27999999999999997
2007-05-25,balanced,,0.2695689440543833,0.0,0.06000000000000005,0.46
2007-06-01,balanced,,0.26864833717627,0.0,0.06000000000000005,0.41000000000000003
2007-06-08,balanced,,0.2789931647624769,0.0,0.07999999999999996,0.2799999999999999
2007-06-15,balanced,,0.2764642212619206,0.0,0.06000000000000005,0.41000000000000003
2007-06-22,balanced,,0.2648882467821113,0.0,0.039999999999999925,0.29999999999999993
2007-06-29,balanced,,0.260998461472163,0.0,0.039999999999999925,0.29999999999999993
2007-07-06,balanced,,0.25807646362956815,0.0,0.039999999999999925,0.29999999999999993
2007-07-13,balanced,,0.2679908380460661,0.0,0.06000000000000005,0.41000000000000003
2007-07-20,balanced,,0.27873563218390807,0.0,0.06000000000000005,0.41000000000000003
