,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,sector_rotation_with_sma_filter,cash::BIL
2011-01-14,0.09664358052324969,0.10607229098693283,0.19049235117923838,0.15402639155675027,0.13388372004710905,0.3188816657067199,0.0
2011-01-21,0.09664358052324969,0.10607229098693283,0.19049235117923838,0.15402639155675027,0.13388372004710905,0.3188816657067199,0.0
2011-01-28,0.09174646490895731,0.09577421917598054,0.23017093756145265,0.14233945038559895,0.09825377889591251,0.29721588259964626,0.04449926647245184
2011-02-04,0.09174646490895731,0.09577421917598054,0.23017093756145265,0.14233945038559895,0.09825377889591251,0.29721588259964626,0.04449926647245184
2011-02-11,0.09174646490895731,0.09577421917598054,0.23017093756145265,0.14233945038559895,0.09825377889591251,0.29721588259964626,0.04449926647245184
2011-02-18,0.09174646490895731,0.09577421917598054,0.23017093756145265,0.14233945038559895,0.09825377889591251,0.29721588259964626,0.04449926647245184
2011-02-25,0.09131081104277268,0.09655946548392515,0.2164687198931045,0.14601819599694393,0.11126279163199285,0.29612002377434526,0.04225999217691556
2011-03-04,0.09131081104277268,0.09655946548392515,0.2164687198931045,0.14601819599694393,0.11126279163199285,0.29612002377434526,0.04225999217691556
2011-03-11,0.09131081104277268,0.09655946548392515,0.2164687198931045,0.14601819599694393,0.11126279163199285,0.29612002377434526,0.04225999217691556
2011-03-18,0.09131081104277268,0.09655946548392515,0.2164687198931045,0.14601819599694393,0.11126279163199285,0.29612002377434526,0.04225999217691556
2011-03-25,0.09714850119318029,0.09321196581531623,0.2195536646424701,0.14405274810976393,0.11749432222980621,0.2865787808184012,0.04196001719106213
2011-04-01,0.09714850119318029,0.09321196581531623,0.2195536646424701,0.14405274810976393,0.11749432222980621,0.2865787808184012,0.04196001719106213
2011-04-08,0.09714850119318029,0.09321196581531623,0.2195536646424701,0.14405274810976393,0.11749432222980621,0.2865787808184012,0.04196001719106213
2011-04-15,0.09714850119318029,0.09321196581531623,0.2195536646424701,0.14405274810976393,0.11749432222980621,0.2865787808184012,0.04196001719106213
2011-04-22,0.09714850119318029,0.09321196581531623,0.2195536646424701,0.14405274810976393,0.11749432222980621,0.2865787808184012,0.04196001719106213
2011-04-29,0.10949913683402343,0.08757109477575366,0.23125276111016296,0.14371622139788778,0.14201209638117668,0.28594868950099556,0.0
2011-05-06,0.10949913683402343,0.08757109477575366,0.23125276111016296,0.14371622139788778,0.14201209638117668,0.28594868950099556,0.0
2011-05-13,0.10949913683402343,0.08757109477575366,0.23125276111016296,0.14371622139788778,0.14201209638117668,0.28594868950099556,0.0
2011-05-20,0.10949913683402343,0.08757109477575366,0.23125276111016296,0.14371622139788778,0.14201209638117668,0.28594868950099556,0.0
2011-05-27,0.11029923254438681,0.09015260412395591,0.23377352300808568,0.14061942067112002,0.13923076798195194,0.28592445167049974,0.0
2011-06-03,0.11029923254438681,0.09015260412395591,0.23377352300808568,0.14061942067112002,0.13923076798195194,0.28592445167049974,0.0
2011-06-10,0.11029923254438681,0.09015260412395591,0.23377352300808568,0.14061942067112002,0.13923076798195194,0.28592445167049974,0.0
2011-06-17,0.11029923254438681,0.09015260412395591,0.23377352300808568,0.14061942067112002,0.13923076798195194,0.28592445167049974,0.0
2011-06-24,0.1128210607274226,0.09038143941482638,0.23944212292593642,0.13966790868097903,0.13989733213719108,0.2777901361136446,0.0
2011-07-01,0.1128210607274226,0.09038143941482638,0.23944212292593642,0.13966790868097903,0.13989733213719108,0.2777901361136446,0.0
2011-07-08,0.1128210607274226,0.09038143941482638,0.23944212292593642,0.13966790868097903,0.13989733213719108,0.2777901361136446,0.0
2011-07-15,0.1128210607274226,0.09038143941482638,0.23944212292593642,0.13966790868097903,0.13989733213719108,0.2777901361136446,0.0
2011-07-22,0.1128210607274226,0.09038143941482638,0.23944212292593642,0.13966790868097903,0.13989733213719108,0.2777901361136446,0.0
2011-07-29,0.1047356630602613,0.1126993333899972,0.24778707796957747,0.14152137607351753,0.15509496477851198,0.23816158472813448,0.0
2011-08-05,0.1047356630602613,0.1126993333899972,0.24778707796957747,0.14152137607351753,0.15509496477851198,0.23816158472813448,0.0
2011-08-12,0.1047356630602613,0.1126993333899972,0.24778707796957747,0.14152137607351753,0.15509496477851198,0.23816158472813448,0.0
2011-08-19,0.1047356630602613,0.1126993333899972,0.24778707796957747,0.14152137607351753,0.15509496477851198,0.23816158472813448,0.0
2011-08-26,0.040508501250401376,0.04314873812058916,0.08982249874567455,0.06080110722030957,0.061993792744934655,0.1037253619180907,0.6
2011-09-02,0.040508501250401376,0.04314873812058916,0.08982249874567455,0.06080110722030957,0.061993792744934655,0.1037253619180907,0.6
2011-09-09,0.040508501250401376,0.04314873812058916,0.08982249874567455,0.06080110722030957,0.061993792744934655,0.1037253619180907,0.6
2011-09-16,0.040508501250401376,0.04314873812058916,0.08982249874567455,0.06080110722030957,0.061993792744934655,0.1037253619180907,0.6
2011-09-23,0.040508501250401376,0.04314873812058916,0.08982249874567455,0.06080110722030957,0.061993792744934655,0.1037253619180907,0.6
2011-09-30,0.03736906544597164,0.04144910606024612,0.1022097318688513,0.06186871156168701,0.05006480662929034,0.10703857843395362,0.6
2011-10-07,0.03736906544597164,0.04144910606024612,0.1022097318688513,0.06186871156168701,0.05006480662929034,0.10703857843395362,0.6
2011-10-14,0.03736906544597164,0.04144910606024612,0.1022097318688513,0.06186871156168701,0.05006480662929034,0.10703857843395362,0.6
2011-10-21,0.03736906544597164,0.04144910606024612,0.1022097318688513,0.06186871156168701,0.05006480662929034,0.10703857843395362,0.6
2011-10-28,0.03513162832584249,0.040293312937209474,0.10906220574769164,0.06206038223418171,0.0447432480611245,0.10870922269395021,0.6
2011-11-04,0.03513162832584249,0.040293312937209474,0.10906220574769164,0.06206038223418171,0.0447432480611245,0.10870922269395021,0.6
