ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,turnover,upside_capture,downside_capture,avg_bil,avg_spy,avg_offense,avg_defense,avg_cash,recovery_capture,calm_capture,raw_target_composite,version_name,fixed_rank_composite,fixed_rank_position,raw_composite_position
0.06898764270531332,0.0779655632262312,0.8848476154162215,-0.139754039463866,0.4936361265117519,-0.026181041847003924,0.05622922283196537,0.3242761947018239,0.23926047289403068,0.2832721765003782,0.07087552324409127,0.5526525607268249,0.16407526277279644,0.2832721765003782,0.30405155503753983,0.43439594265742076,0.47765656401468903,improved_phase2b_regime_confidence_boost,0.442,7,10
0.06864775722774241,0.07765096149244667,0.8840554696083187,-0.13674121541523376,0.5020268177321953,-0.026085048036177054,0.05657147975333692,0.32308029171469926,0.23859636092923678,0.28490827076414216,0.0708203105855739,0.5515600740130213,0.1635316552228361,0.28490827076414216,0.2963307916540929,0.4351113259159557,0.48028410940090954,improved_phase2b_combo_abc,0.4020000000000001,10,9
0.0758135807525182,0.08740053795814531,0.8674269349328729,-0.14974673878593092,0.5062786766989084,-0.028448459881775082,0.09899048297197395,0.388986311771133,0.3047244304819749,0.13360580795991894,0.11070572216380346,0.642699238958991,0.22369495308108944,0.13360580795991894,0.37694290611103354,0.5998509038745305,0.5475590636962016,improved_phaseh_refined_state_allocator,0.42400000000000004,8,5
0.07099348250689697,0.07670902393436704,0.9254906250357149,-0.12711776234063188,0.5584859361877285,-0.02488701265150025,0.09676874584141817,0.3385002052362306,0.25343209407651346,0.21072672431367706,0.10055066684930906,0.5785054581988754,0.21076781748744694,0.21072672431367706,0.30162536687667196,0.5819110130469183,0.5665860837665976,improved_phasen_distributional_tail_allocator,0.6220000000000001,4,2
0.07078424973817943,0.07567915211513024,0.9353203327449516,-0.1259830582980065,0.5618553057407362,-0.02450585242954992,0.09189909222137156,0.331426610734887,0.24495237596334585,0.22363464743690012,0.09623724058683149,0.5623234970724044,0.2140418554906949,0.22363464743690012,0.297484599344253,0.5535402725916876,0.5658095975451795,improved_phaseo_tail_priority_allocator,0.6760000000000002,2,3
0.07039433128517691,0.0750698130086277,0.9377182180683808,-0.1310666577359687,0.5370880169004153,-0.024305792579706432,0.0801322856419611,0.3302944263041086,0.2444252668079199,0.24322905557954458,0.0896747795681929,0.5623233209201918,0.1944476235002626,0.24322905557954458,0.31625692837170594,0.5382799191690959,0.5497846270905362,improved_phasep_regret_aware_meta_allocator,0.6460000000000001,3,4
0.07528914821610733,0.08653590588347655,0.8700336287862594,-0.15274075113174834,0.4929211599278164,-0.028193158323929164,0.08348465664077072,0.3748924819726551,0.28773464005928834,0.13207907524296159,0.10612215608261771,0.6303420686602671,0.2375788560967707,0.13207907524296159,0.35383337824219435,0.5589330779404228,0.5199538514731846,improved_phaseh_refined_panel_blend,0.404,9,8
0.05806853463952644,0.05599009300980418,1.0371215963038016,-0.08159166437013288,0.7116969005081697,-0.017949223793684844,0.07380093936435765,0.24696876255713407,0.17015392672473006,0.30460666197890407,0.08160299481868888,0.40082680078456645,0.2945665372365283,0.30460666197890407,0.23159848217954343,0.44067191577434384,0.6308761463023765,improved_phaseq_abstention_aware_meta_allocator,0.6980000000000001,1,1
0.06824814062859819,0.07152328440290005,0.9542087055754801,-0.13058840359869406,0.522620223142698,-0.023538010768131685,0.07060917265031753,0.3144353630192565,0.23008230399400315,0.28825213674949396,0.08322900907869332,0.5171518414050196,0.19459602184548544,0.28825213674949396,0.2776142325109067,0.5056114715079223,0.5254938773239562,improved_phaseq_regime_bucket_meta_allocator,0.5660000000000001,6,7
0.06747549243835937,0.0699459420579647,0.9646805869372944,-0.12694355418717296,0.5315393354976463,-0.023042484360106346,0.06836843034325647,0.307020158178246,0.22260555344421623,0.29332014064685435,0.08150726493366517,0.505917701105703,0.20076215824744145,0.29332014064685435,0.27701317512650464,0.48896240910460653,0.5367909836265685,improved_phaseq_abstention_regime_regret_meta_allocator,0.6200000000000001,5,6
