,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,cash::BIL
2019-01-18,0.037839078714431006,0.03867942271716706,0.10536861066539127,0.1077016806553685,0.1104112072476422,0.6
2019-01-25,0.032535818054480324,0.033229442660759854,0.1120186967044305,0.1153699986975084,0.10684604388282096,0.6
2019-02-01,0.032535818054480324,0.033229442660759854,0.1120186967044305,0.1153699986975084,0.10684604388282096,0.6
2019-02-08,0.032535818054480324,0.033229442660759854,0.1120186967044305,0.1153699986975084,0.10684604388282096,0.6
2019-02-15,0.032535818054480324,0.033229442660759854,0.1120186967044305,0.1153699986975084,0.10684604388282096,0.6
2019-02-22,0.0622847346376475,0.06391959431558815,0.23088276462802232,0.24705065587718425,0.19586225054155784,0.19999999999999996
2019-03-01,0.0622847346376475,0.06391959431558815,0.23088276462802232,0.24705065587718425,0.19586225054155784,0.19999999999999996
2019-03-08,0.0622847346376475,0.06391959431558815,0.23088276462802232,0.24705065587718425,0.19586225054155784,0.19999999999999996
2019-03-15,0.0622847346376475,0.06391959431558815,0.23088276462802232,0.24705065587718425,0.19586225054155784,0.19999999999999996
2019-03-22,0.0622847346376475,0.06391959431558815,0.23088276462802232,0.24705065587718425,0.19586225054155784,0.19999999999999996
2019-03-29,0.05831644047474757,0.0602523579095283,0.24435908043691512,0.24152132094531994,0.19555080023348914,0.19999999999999996
2019-04-05,0.05831644047474757,0.0602523579095283,0.24435908043691512,0.24152132094531994,0.19555080023348914,0.19999999999999996
2019-04-12,0.05831644047474757,0.0602523579095283,0.24435908043691512,0.24152132094531994,0.19555080023348914,0.19999999999999996
2019-04-19,0.05831644047474757,0.0602523579095283,0.24435908043691512,0.24152132094531994,0.19555080023348914,0.19999999999999996
2019-04-26,0.06399290974294684,0.08376450261133571,0.26747549380987495,0.31413590936645364,0.20864643935048194,0.06198474511890684
2019-05-03,0.06399290974294684,0.08376450261133571,0.26747549380987495,0.31413590936645364,0.20864643935048194,0.06198474511890684
2019-05-10,0.06399290974294684,0.08376450261133571,0.26747549380987495,0.31413590936645364,0.20864643935048194,0.06198474511890684
2019-05-17,0.06399290974294684,0.08376450261133571,0.26747549380987495,0.31413590936645364,0.20864643935048194,0.06198474511890684
2019-05-24,0.06399290974294684,0.08376450261133571,0.26747549380987495,0.31413590936645364,0.20864643935048194,0.06198474511890684
