name,full_ann_return,full_ann_vol,full_sharpe,full_max_drawdown,full_cvar_5,full_calmar,holdout_ann_return,holdout_sharpe,holdout_max_drawdown,avg_BIL,avg_SPY,max_etf_weight,avg_turnover
improved_phasehh_refined_confidence_additive,0.06898415802083391,0.07784196155290311,0.8862078581351107,-0.13738675138402545,-0.026199777747723394,0.5021165237979053,0.12426295807392962,1.6169282332930566,-0.06249642498944852,0.2834596382479634,0.0707663727218998,1.0,0.11223330605317061
improved_phasehh_refined_confidence_smoothing,0.06888479973082506,0.07789674184652466,0.884309126388684,-0.13986705637662034,-0.02617943857904506,0.4925019623301345,0.1242567918064934,1.6240735893972282,-0.06263317926181233,0.2838729879947379,0.07085979071331919,1.0,0.11233179051816812
improved_phase2b_regime_confidence_boost,0.06892339744592735,0.07789583362986176,0.8848149411100881,-0.1397540394638661,-0.026181041847003924,0.49317642416874635,0.12434300579402913,1.624899271571444,-0.06264198894939876,0.2839178772422698,0.07081167142134887,1.0,0.11235713174891823
improved_phase2b_combo_abc,0.06858383853128158,0.07758151231293113,0.8840229648352725,-0.13674121541523376,-0.026085048036177054,0.5015593749332796,0.12357814887332408,1.6276887811347291,-0.0623953152856741,0.28555249754723755,0.07075650850396527,1.0,0.11304102891252374
