name,status,reasons
improved_phaseyy_composite_cash_explicit,REJECT,recovery_fragile worsens materially
improved_phaseyy_composite_offense_defense_split,REJECT,recovery_fragile worsens materially
improved_phaseyy_decomposition_vv_reference,REJECT,recovery_fragile worsens materially
improved_phaseyy_conservative_decomposition,REJECT,recovery_fragile worsens materially
