candidate,state,n_weeks,fff_mean_wkly,prod_mean_wkly,delta_mean_wkly,fff_minus_prod_cumulative
improved_phasefff_recovery_quality_filtered_offense,calm_trend,295,0.0008358022205646819,0.0007552175162830647,8.058470428161726e-05,0.03459242767766324
improved_phasefff_recovery_quality_filtered_offense,neutral_mixed,493,0.0020319000253941747,0.0020712148039303295,-3.9314778536154744e-05,-0.05686724299815138
improved_phasefff_recovery_quality_filtered_offense,recovery_confirmed,44,0.0006011664607107703,0.0005399585327544482,6.12079279563221e-05,0.0022915557620748483
improved_phasefff_recovery_quality_filtered_offense,recovery_fragile,49,0.0012094380541100228,0.0013236555558595474,-0.00011421750174952453,-0.006261053032168062
improved_phasefff_recovery_quality_filtered_offense,stressed_panic,229,0.0008066434481567956,0.00068168964870096,0.00012495379945583565,0.03159636561162982
improved_phasefff_recovery_confirmed_tilted_offense,calm_trend,295,0.0007812348419084042,0.0007552175162830647,2.601732562533955e-05,0.015280249037129101
improved_phasefff_recovery_confirmed_tilted_offense,neutral_mixed,493,0.0019108045430661945,0.0020712148039303295,-0.00016041026086413492,-0.20443692194001262
improved_phasefff_recovery_confirmed_tilted_offense,recovery_confirmed,44,0.0005475261807601873,0.0005399585327544482,7.567648005739119e-06,0.0001818028224724877
improved_phasefff_recovery_confirmed_tilted_offense,recovery_fragile,49,0.0014873774797700327,0.0013236555558595474,0.00016372192391048536,0.008310859460142428
improved_phasefff_recovery_confirmed_tilted_offense,stressed_panic,229,0.0007938547547442557,0.00068168964870096,0.00011216510604329568,0.02790326612541083
improved_phasefff_robust_composite_offense,calm_trend,295,0.0008355626549947972,0.0007552175162830647,8.034513871173253e-05,0.03546001421006406
improved_phasefff_robust_composite_offense,neutral_mixed,493,0.0020452882686186136,0.0020712148039303295,-2.5926535311715862e-05,-0.03784772040750228
improved_phasefff_robust_composite_offense,recovery_confirmed,44,0.000549461094685037,0.0005399585327544482,9.502561930588857e-06,-5.963065333136619e-05
improved_phasefff_robust_composite_offense,recovery_fragile,49,0.0011871099414196204,0.0013236555558595474,-0.00013654561443992696,-0.007447034885465165
improved_phasefff_robust_composite_offense,stressed_panic,229,0.0008065448108899711,0.00068168964870096,0.00012485516218901113,0.031457449918395275
improved_phasefff_conservative_offense_polish,calm_trend,295,0.0007685707796259983,0.0007552175162830647,1.3353263342933634e-05,0.012382911778964445
improved_phasefff_conservative_offense_polish,neutral_mixed,493,0.0020983654796550353,0.0020712148039303295,2.715067572470588e-05,0.034024251306826514
improved_phasefff_conservative_offense_polish,recovery_confirmed,44,0.00047365679964685126,0.0005399585327544482,-6.630173310759693e-05,-0.0033935640239850517
improved_phasefff_conservative_offense_polish,recovery_fragile,49,0.001153408861179806,0.0013236555558595474,-0.00017024669467974145,-0.009228495708554663
improved_phasefff_conservative_offense_polish,stressed_panic,229,0.0007203134669004034,0.00068168964870096,3.862381819944342e-05,0.0074741992298992255
