version_name,margin_bucket,observations,avg_margin_confidence,avg_agreement
improved_phasej_robust_objective_allocator,low,156,0.28473922858688105,0.025641025641025637
improved_phasej_robust_objective_allocator,medium,917,0.445174853361525,0.14431115957833512
improved_phasej_robust_objective_allocator,high,36,0.7539112450535997,0.685185185185185
improved_phasej_margin_confidence_allocator,low,156,0.28473922858688105,0.025641025641025637
improved_phasej_margin_confidence_allocator,medium,917,0.445174853361525,0.14431115957833512
improved_phasej_margin_confidence_allocator,high,36,0.7539112450535997,0.685185185185185
improved_phasej_turnover_tail_allocator,low,156,0.28473922858688105,0.025641025641025637
improved_phasej_turnover_tail_allocator,medium,917,0.445174853361525,0.14431115957833512
improved_phasej_turnover_tail_allocator,high,36,0.7539112450535997,0.685185185185185
improved_phasej_structural_combo_allocator,low,156,0.28473922858688105,0.025641025641025637
improved_phasej_structural_combo_allocator,medium,917,0.445174853361525,0.14431115957833512
improved_phasej_structural_combo_allocator,high,36,0.7539112450535997,0.685185185185185
