,gross_return,net_return,turnover,cost,wealth,drawdown
2019-09-20,-0.0026301300592733393,-0.002634850007062185,0.004719947788845496,4.719947788845496e-06,1.8018313441863205,-0.0032764247626282383
2019-09-27,0.005938509643336415,0.0058602437936850675,0.07826584965134722,7.826584965134723e-05,1.8123905151383555,0.0
2019-10-04,-0.008755624283785918,-0.008808052965097986,0.05242868131206843,5.2428681312068435e-05,1.7964268834875756,-0.008808052965098012
2019-10-11,0.002611588008134248,0.0026067385619550315,0.004849446179216164,4.849446179216164e-06,1.8011096987184954,-0.00622427469446285
2019-10-18,0.0009787540958626562,0.0009634916680232784,0.015262427839377809,1.5262427839377808e-05,1.8028450529064064,-0.005266780063247212
2019-10-25,0.007244078628381407,0.006911558342642085,0.3325202857393225,0.00033252028573932255,1.8153055216723126,0.0
2019-11-01,-0.026837651475751866,-0.026846153455969635,0.00850198021777072,8.501980217770722e-06,1.7665715510680287,-0.026846153455969635
2019-11-08,0.011382757580158135,0.011368855230004787,0.013902350153348278,1.3902350153348277e-05,1.7866554472855662,-0.015782508258088246
2019-11-15,0.0002613508142550714,0.00024227463969448895,0.01907617456058244,1.907617456058244e-05,1.7870883085903153,-0.015544057319895499
2019-11-22,0.006125205250801507,0.006109555745447259,0.015649505354248843,1.5649505354248843e-05,1.7980066242336852,-0.00952946885915451
2019-11-29,-0.002760907502116502,-0.0028140990069151985,0.05319150479869664,5.319150479869664e-05,1.7929468555780022,-0.012316750997216741
2019-12-06,-0.0003901269830110109,-0.00040214689335507154,0.012019910344060643,1.2019910344060643e-05,1.7922258275700809,-0.012713944747421935
2019-12-13,0.00451765205356261,0.0044756019495056434,0.04205010405696621,4.205010405696621e-05,1.8002471169779077,-0.008295245353813874
2019-12-20,0.00845011116302984,0.008429215542354864,0.020895620674974573,2.0895620674974574e-05,1.8154217879564174,0.0
2019-12-27,0.005667909876406843,0.005391781232196647,0.27612864421019645,0.00027612864421019647,1.8252101450812417,0.0
2020-01-03,0.002578536371646355,0.0025584911926319087,0.02004517901444632,2.0045179014446318e-05,1.8298799291621346,0.0
2020-01-10,0.0076248902127887055,0.0076092506264041635,0.01563958638454236,1.563958638454236e-05,1.8438039441593561,0.0
2020-01-17,0.002278125143467385,0.002263204115128547,0.01492102833883785,1.492102833883785e-05,1.8479768488332677,0.0
2020-01-24,-0.0062638778171120214,-0.006279023443747754,0.015145626635732674,1.5145626635732675e-05,1.8363733588759406,-0.0062790234437477555
2020-01-31,0.012954043967886299,0.012720495352312311,0.2335486155739873,0.0002335486155739873,1.8597329376526321,0.0
2020-02-07,0.0056825207930642435,0.005662786291655943,0.01973450140830041,1.973450140830041e-05,1.8702642078381124,0.0
2020-02-14,-0.0015227083360348547,-0.0015400422612713075,0.017333925236452722,1.7333925236452722e-05,1.8673839219182986,-0.0015400422612713571
2020-02-21,-0.042292151103592156,-0.04230957601256414,0.017424908971980842,1.7424908971980842e-05,1.7883756999292562,-0.043784459738719694
2020-02-28,0.011237031946319066,0.010622907641675705,0.6141243046433612,0.0006141243046433612,1.807373449818222,-0.03362667036898903
2020-03-06,-0.059996828076691405,-0.06001398496071375,0.017156884022343815,1.7156884022343816e-05,1.6989057667824379,-0.09162258483989927
2020-03-13,-0.05119550372983706,-0.051208803567530645,0.013299837693581054,1.3299837693581054e-05,1.6119068350915309,-0.13813950545801423
2020-03-20,0.05401646478177549,0.054004779258676805,0.011685523098689834,1.1685523098689835e-05,1.6989575079062014,-0.0915949196985002
2020-03-27,-0.002814017833128464,-0.003169629489742287,0.35561165661382266,0.00035561165661382265,1.6935724420873228,-0.0944742272296556
2020-04-03,0.010779416965383102,0.010750187053447444,0.029229911935657906,2.9229911935657906e-05,1.7117786626283253,-0.08473965579065679
2020-04-10,0.0020009852074575015,0.001998480826960483,0.0025043804970185275,2.5043804970185276e-06,1.715199619465588,-0.08291052554107725
2020-04-17,0.0017874377949181476,0.0017608962264275682,0.026541568490579363,2.6541568490579365e-05,1.718219908003075,-0.08129562614620611
2020-04-24,-0.0018731844216793377,-0.0019537184882344075,0.08053406655506976,8.053406655506976e-05,1.7148629900019567,-0.08309051586662619
2020-05-01,-0.0011160251204433084,-0.0011217205316977718,0.005695411254463335,5.695411254463335e-06,1.712939392977023,-0.08411903206068694
2020-05-08,0.002416054954269854,0.00241513576811169,0.0009191861581641136,9.191861581641137e-07,1.7170763741736093,-0.08190705517568397
2020-05-15,0.0003320843942997668,0.00033035204471658727,0.001732349583179497,1.7323495831794972e-06,1.7176436138647522,-0.08160376129412128
2020-05-22,-0.00027923697975423074,-0.0002815591939437257,0.0023222141894949644,2.3222141894949646e-06,1.7171599955133499,-0.08186234419881233
2020-05-29,-0.003991964365807811,-0.004024709612278285,0.03274524647047427,3.274524647047427e-05,1.7102489251735875,-0.08555758164751004
2020-06-05,0.004052082182072415,0.004051087965355964,0.0009942167164511964,9.942167164511965e-07,1.717177294012121,-0.08185309497151128
2020-06-12,0.0013307491514978952,0.0013292217364829766,0.0015274150149185651,1.5274150149185651e-06,1.7194598033967168,-0.08063267414806297
2020-06-19,0.001501314119817829,0.0014991578730617643,0.0021562467560646828,2.156246756064683e-06,1.7220375450983925,-0.07925439738327611
2020-06-26,0.00224194365409227,0.002200355658465847,0.041587995626422944,4.158799562642295e-05,1.72582664015484,-0.07722842958655107
2020-07-03,0.0034781518266060706,0.0034763594930668712,0.001792333539199404,1.792333539199404e-06,1.7318262339787303,-0.07402054387781187
2020-07-10,0.0013168292789094767,0.0013106691801235075,0.006160098785969313,6.160098785969313e-06,1.7340960852489355,-0.07280689114324501
2020-07-17,0.0046022130844614005,0.004594906157025191,0.007306927436209516,7.3069274362095164e-06,1.742064094027919,-0.06854652581860787
2020-07-24,0.004226436998445876,0.004225519726237357,0.0009172722085193872,9.172722085193872e-07,1.7494252202216038,-0.0646106507893821
2020-07-31,0.0064037948129487795,0.006174157884759642,0.22963692818913764,0.00022963692818913763,1.7602264477388323,-0.058835409263633176
2020-08-07,-0.008925091705338548,-0.008933774894301824,0.008683188963276845,8.683188963276846e-06,1.744500980891737,-0.06724356185575964
2020-08-14,0.004193416289745845,0.004099672116058833,0.09374417368701118,9.374417368701119e-05,1.7516528629195363,-0.06341956629522527
2020-08-21,0.0001371023282696073,0.00013374369927130188,0.0033586289983054077,3.3586289983054078e-06,1.7518871354532621,-0.06329430456335661
2020-08-28,-0.005394858061447294,-0.005561219577294753,0.1663615158474586,0.0001663615158474586,1.7421445064183687,-0.06850353061498227
2020-09-04,-0.0023787542917184925,-0.002384401417560495,0.00564712584200237,5.64712584200237e-06,1.7379905345876696,-0.07072459211703641
2020-09-11,0.001169236273882442,0.0011641019506012696,0.005134323281172387,5.1343232811723875e-06,1.7400137327591096,-0.06964282080207418
2020-09-18,-0.008747618022184177,-0.008759056281468789,0.011438259284611401,1.1438259284611401e-05,1.724772854543344,-0.07779187169653723
2020-09-25,0.0056673692545117105,0.005577931459444907,0.08943779506680338,8.943779506680339e-05,1.7343935193090978,-0.07264785796551765
2020-10-02,0.010367376742890188,0.010354968058925865,0.012408683964322648,1.2408683964322649e-05,1.7523531088031516,-0.0630451561553741
