,dual_momentum_topn,cta_trend_long_only,composite_trend_quality_module,composite_regime_conditioned,taa_10m_sma,cash::BIL
2007-07-13,0.05118609639088188,0.32002305017889077,0.05853479278124029,0.3756156266678883,0.15153607077202091,0.043104363209077845
2007-07-20,0.05118609639088188,0.32002305017889077,0.05853479278124029,0.3756156266678883,0.15153607077202091,0.043104363209077845
2007-07-27,0.04358158249063955,0.24818924348264526,0.04891635138387539,0.33241709990990403,0.12689572273293584,0.19999999999999996
2007-08-03,0.04358158249063955,0.24818924348264526,0.04891635138387539,0.33241709990990403,0.12689572273293584,0.19999999999999996
2007-08-10,0.04358158249063955,0.24818924348264526,0.04891635138387539,0.33241709990990403,0.12689572273293584,0.19999999999999996
2007-08-17,0.04358158249063955,0.24818924348264526,0.04891635138387539,0.33241709990990403,0.12689572273293584,0.19999999999999996
2007-08-24,0.04358158249063955,0.24818924348264526,0.04891635138387539,0.33241709990990403,0.12689572273293584,0.19999999999999996
2007-08-31,0.02186277457707736,0.11475272126261951,0.025095671548913148,0.17172512997297118,0.06656370263841882,0.6
2007-09-07,0.02186277457707736,0.11475272126261951,0.025095671548913148,0.17172512997297118,0.06656370263841882,0.6
2007-09-14,0.02186277457707736,0.11475272126261951,0.025095671548913148,0.17172512997297118,0.06656370263841882,0.6
2007-09-21,0.02186277457707736,0.11475272126261951,0.025095671548913148,0.17172512997297118,0.06656370263841882,0.6
2007-09-28,0.056228975252740274,0.29386172390011656,0.06536675065814007,0.39163047564881764,0.16407944710439853,0.02883262743578685
2007-10-05,0.056228975252740274,0.29386172390011656,0.06536675065814007,0.39163047564881764,0.16407944710439853,0.02883262743578685
2007-10-12,0.056228975252740274,0.29386172390011656,0.06536675065814007,0.39163047564881764,0.16407944710439853,0.02883262743578685
2007-10-19,0.056228975252740274,0.29386172390011656,0.06536675065814007,0.39163047564881764,0.16407944710439853,0.02883262743578685
2007-10-26,0.022433873867332373,0.11195029617200412,0.026370497708390173,0.16878178737362967,0.0704635448786437,0.6
2007-11-02,0.022433873867332373,0.11195029617200412,0.026370497708390173,0.16878178737362967,0.0704635448786437,0.6
2007-11-09,0.022433873867332373,0.11195029617200412,0.026370497708390173,0.16878178737362967,0.0704635448786437,0.6
2007-11-16,0.022433873867332373,0.11195029617200412,0.026370497708390173,0.16878178737362967,0.0704635448786437,0.6
2007-11-23,0.022433873867332373,0.11195029617200412,0.026370497708390173,0.16878178737362967,0.0704635448786437,0.6
2007-11-30,0.022122978584685954,0.1058506705010762,0.026022320997228288,0.1732690724241778,0.07273495749283179,0.6
2007-12-07,0.022122978584685954,0.1058506705010762,0.026022320997228288,0.1732690724241778,0.07273495749283179,0.6
2007-12-14,0.022122978584685954,0.1058506705010762,0.026022320997228288,0.1732690724241778,0.07273495749283179,0.6
2007-12-21,0.022122978584685954,0.1058506705010762,0.026022320997228288,0.1732690724241778,0.07273495749283179,0.6
2007-12-28,0.04498385071807439,0.2084975789969694,0.051012719126703944,0.3519228869090133,0.14358296424923891,0.20000000000000007
2008-01-04,0.04498385071807439,0.2084975789969694,0.051012719126703944,0.3519228869090133,0.14358296424923891,0.20000000000000007
2008-01-11,0.04498385071807439,0.2084975789969694,0.051012719126703944,0.3519228869090133,0.14358296424923891,0.20000000000000007
2008-01-18,0.04498385071807439,0.2084975789969694,0.051012719126703944,0.3519228869090133,0.14358296424923891,0.20000000000000007
2008-01-25,0.022088135913669066,0.10127340747882092,0.025350765350525786,0.177576866072704,0.07371082518428025,0.6
2008-02-01,0.022088135913669066,0.10127340747882092,0.025350765350525786,0.177576866072704,0.07371082518428025,0.6
2008-02-08,0.022088135913669066,0.10127340747882092,0.025350765350525786,0.177576866072704,0.07371082518428025,0.6
2008-02-15,0.022088135913669066,0.10127340747882092,0.025350765350525786,0.177576866072704,0.07371082518428025,0.6
2008-02-22,0.022088135913669066,0.10127340747882092,0.025350765350525786,0.177576866072704,0.07371082518428025,0.6
2008-02-29,0.0218117338646161,0.09931218592500246,0.025395029134890803,0.1785461196436224,0.07493493143186826,0.6
2008-03-07,0.0218117338646161,0.09931218592500246,0.025395029134890803,0.1785461196436224,0.07493493143186826,0.6
2008-03-14,0.0218117338646161,0.09931218592500246,0.025395029134890803,0.1785461196436224,0.07493493143186826,0.6
2008-03-21,0.0218117338646161,0.09931218592500246,0.025395029134890803,0.1785461196436224,0.07493493143186826,0.6
2008-03-28,0.02175932424518239,0.09845578957581547,0.02510147227015205,0.17912767178617345,0.07555574212267668,0.6
2008-04-04,0.02175932424518239,0.09845578957581547,0.02510147227015205,0.17912767178617345,0.07555574212267668,0.6
2008-04-11,0.02175932424518239,0.09845578957581547,0.02510147227015205,0.17912767178617345,0.07555574212267668,0.6
2008-04-18,0.02175932424518239,0.09845578957581547,0.02510147227015205,0.17912767178617345,0.07555574212267668,0.6
2008-04-25,0.021913563660904814,0.09778048039514325,0.02507031244442486,0.17947660307170407,0.07575904042782305,0.5999999999999999
2008-05-02,0.021913563660904814,0.09778048039514325,0.02507031244442486,0.17947660307170407,0.07575904042782305,0.5999999999999999
2008-05-09,0.021913563660904814,0.09778048039514325,0.02507031244442486,0.17947660307170407,0.07575904042782305,0.5999999999999999
2008-05-16,0.021913563660904814,0.09778048039514325,0.02507031244442486,0.17947660307170407,0.07575904042782305,0.5999999999999999
2008-05-23,0.021913563660904814,0.09778048039514325,0.02507031244442486,0.17947660307170407,0.07575904042782305,0.5999999999999999
2008-05-30,0.04512460101272973,0.19900300912825708,0.04962649884675577,0.35937192368604487,0.14687396732621263,0.19999999999999996
2008-06-06,0.04512460101272973,0.19900300912825708,0.04962649884675577,0.35937192368604487,0.14687396732621263,0.19999999999999996
2008-06-13,0.04512460101272973,0.19900300912825708,0.04962649884675577,0.35937192368604487,0.14687396732621263,0.19999999999999996
2008-06-20,0.04512460101272973,0.19900300912825708,0.04962649884675577,0.35937192368604487,0.14687396732621263,0.19999999999999996
