,dual_momentum_topn,cta_trend_long_only,composite_trend_quality_refined,composite_regime_conditioned,taa_10m_sma,composite_confirmation_aware_momentum
2006-06-30,0.5,0.5,0.5,0.5,0.5,0.5
2006-07-07,0.5,0.5,0.5,0.5,0.5,0.5
2006-07-14,0.5,0.5,0.5,0.5,0.5,0.5
2006-07-21,0.5,0.5,0.5,0.5,0.5,0.5
2006-07-28,0.5,0.5,0.5,0.5,0.5,0.5
2006-08-04,0.5,0.5,0.5,0.5,0.5,0.5
2006-08-11,0.5,0.5,0.5,0.5,0.5,0.5
2006-08-18,0.5,0.5,0.5,0.5,0.5,0.5
2006-08-25,0.5,0.5,0.5,0.5,0.5,0.5
2006-09-01,0.5,0.5,0.5,0.5,0.5,0.5
2006-09-08,0.5,0.5,0.5,0.5,0.5,0.5
2006-09-15,0.5,0.5,0.5,0.5,0.5,0.5
2006-09-22,0.5,0.5,0.5,0.5,0.5,0.5
2006-09-29,0.5,0.5,0.5,0.5,0.5,0.5
2006-10-06,0.5,0.5,0.5,0.5,0.5,0.5
2006-10-13,0.5,0.5,0.5,0.5,0.5,0.5
2006-10-20,0.5,0.5,0.5,0.5,0.5,0.5
2006-10-27,0.5,0.5,0.5,0.5,0.5,0.5
2006-11-03,0.5,0.5,0.5,0.5,0.5,0.5
2006-11-10,0.5,0.5,0.5,0.5,0.5,0.5
2006-11-17,0.5,0.5,0.5,0.5,0.5,0.5
2006-11-24,0.5,0.5,0.5,0.5,0.5,0.5
2006-12-01,0.5,0.5,0.5,0.5,0.5,0.5
2006-12-08,0.5,0.5,0.5,0.5,0.5,0.5
2006-12-15,0.5,0.5,0.5,0.5,0.5,0.5
2006-12-22,0.5,0.5,0.5,0.5,0.5,0.5
2006-12-29,0.5,0.5,0.5,0.5,0.5,0.5
2007-01-05,0.5,0.5,0.5,0.5,0.5,0.5
2007-01-12,0.5,0.5,0.5,0.5,0.5,0.5
2007-01-19,0.5,0.5,0.5,0.5,0.5,0.5
2007-01-26,0.5,0.5,0.5,0.5,0.5,0.5
2007-02-02,0.5,0.5,0.5,0.5,0.5,0.5
2007-02-09,0.5,0.5,0.5,0.5,0.5,0.5
2007-02-16,0.5,0.5,0.5,0.5,0.5,0.5
2007-02-23,0.5,0.5,0.5,0.5,0.5,0.5
2007-03-02,0.5,0.5,0.5,0.5,0.5,0.5
2007-03-09,0.5,0.5,0.5,0.5,0.5,0.5
2007-03-16,0.5,0.5,0.5,0.5,0.5,0.5
2007-03-23,0.5,0.5,0.5,0.5,0.5,0.5
2007-03-30,0.5,0.5,0.5,0.5,0.5,0.5
2007-04-06,0.5,0.5,0.5,0.5,0.5,0.5
2007-04-13,0.5,0.5,0.5,0.5,0.5,0.5
2007-04-20,0.5,0.5,0.5,0.5,0.5,0.5
2007-04-27,0.5,0.5,0.5,0.5,0.5,0.5
2007-05-04,0.5,0.5,0.5,0.5,0.5,0.5
2007-05-11,0.5,0.5,0.5,0.5,0.5,0.5
2007-05-18,0.5,0.5,0.5,0.5,0.5,0.5
2007-05-25,0.5,0.5,0.5,0.5,0.5,0.5
2007-06-01,0.5,0.5,0.5,0.5,0.5,0.5
2007-06-08,0.5,0.5,0.5,0.5,0.5,0.5
2007-06-15,0.5,0.5,0.5,0.5,0.5,0.5
2007-06-22,0.5,0.5,0.5,0.5,0.5,0.5
2007-06-29,0.5,0.5,0.5,0.5,0.5,0.5
2007-07-06,0.5,0.5,0.5,0.5,0.5,0.5
2007-07-13,0.5,0.5,0.5,0.5,0.5,0.5
2007-07-20,0.5,0.5,0.5,0.5,0.5,0.5
2007-07-27,0.5,0.5,0.5,0.5,0.5,0.5
2007-08-03,0.5,0.5,0.5,0.5,0.5,0.5
2007-08-10,0.5,0.5,0.5,0.5,0.5,0.5
2007-08-17,0.5,0.5,0.5,0.5,0.5,0.5
2007-08-24,0.5,0.5,0.5,0.5,0.5,0.5
2007-08-31,0.5,0.5,0.5,0.5,0.5,0.5
2007-09-07,0.5,0.5,0.5,0.5,0.5,0.5
2007-09-14,0.5,0.5,0.5,0.5,0.5,0.5
2007-09-21,0.5,0.5,0.5,0.5,0.5,0.5
2007-09-28,0.5,0.5,0.5,0.5,0.5,0.5
2007-10-05,0.5,0.5,0.5,0.5,0.5,0.5
2007-10-12,0.5,0.5,0.5,0.5,0.5,0.5
2007-10-19,0.5,0.5,0.5,0.5,0.5,0.5
2007-10-26,0.5,0.5,0.5,0.5,0.5,0.5
2007-11-02,0.5,0.5,0.5,0.5,0.5,0.5
2007-11-09,0.5,0.5,0.5,0.5,0.5,0.5
2007-11-16,0.5,0.5,0.5,0.5,0.5,0.5
2007-11-23,0.5,0.5,0.5,0.5,0.5,0.5
2007-11-30,0.5,0.5,0.5,0.5,0.5,0.5
2007-12-07,0.5,0.5,0.5,0.5,0.5,0.5
2007-12-14,0.5,0.5,0.5,0.5,0.5,0.5
2007-12-21,0.5,0.5,0.5,0.5,0.5,0.5
2007-12-28,0.5,0.5,0.5,0.5,0.5,0.5
2008-01-04,0.5,0.5,0.5,0.5,0.5,0.5
2008-01-11,0.5,0.5,0.5,0.5,0.5,0.5
2008-01-18,0.5,0.5,0.5,0.5,0.5,0.5
2008-01-25,0.5,0.5,0.5,0.5,0.5,0.5
2008-02-01,0.5,0.5,0.5,0.5,0.5,0.5
2008-02-08,0.5,0.5,0.5,0.5,0.5,0.5
2008-02-15,0.5,0.5,0.5,0.5,0.5,0.5
2008-02-22,0.5,0.5,0.5,0.5,0.5,0.5
2008-02-29,0.5,0.5,0.5,0.5,0.5,0.5
2008-03-07,0.5,0.5,0.5,0.5,0.5,0.5
2008-03-14,0.5,0.5,0.5,0.5,0.5,0.5
2008-03-21,0.5,0.5,0.5,0.5,0.5,0.5
2008-03-28,0.5,0.5,0.5,0.5,0.5,0.5
2008-04-04,0.5,0.5,0.5,0.5,0.5,0.5
2008-04-11,0.5,0.5,0.5,0.5,0.5,0.5
2008-04-18,0.5,0.5,0.5,0.5,0.5,0.5
2008-04-25,0.5,0.5,0.5,0.5,0.5,0.5
2008-05-02,0.5,0.5,0.5,0.5,0.5,0.5
2008-05-09,0.5,0.5,0.5,0.5,0.5,0.5
2008-05-16,0.5,0.5,0.5,0.5,0.5,0.5
2008-05-23,0.5,0.5,0.5,0.5,0.5,0.5
2008-05-30,0.5,0.5,0.5,0.5,0.5,0.5
2008-06-06,0.5,0.5,0.5,0.5,0.5,0.5
2008-06-13,0.5,0.5,0.5,0.5,0.5,0.5
2008-06-20,0.5,0.5,0.5,0.5,0.5,0.5
2008-06-27,0.5,0.5,0.5,0.5,0.5,0.5
2008-07-04,0.5,0.5,0.5,0.5,0.5,0.5
2008-07-11,0.5,0.5,0.5,0.5,0.5,0.5
2008-07-18,0.5,0.5,0.5,0.5,0.5,0.5
2008-07-25,0.5,0.5,0.5,0.5,0.5,0.5
2008-08-01,0.5,0.5,0.5,0.5,0.5,0.5
2008-08-08,0.5,0.5,0.5,0.5,0.5,0.5
2008-08-15,0.5,0.5,0.5,0.5,0.5,0.5
2008-08-22,0.5,0.5,0.5,0.5,0.5,0.5
2008-08-29,0.5,0.5,0.5,0.5,0.5,0.5
2008-09-05,0.5,0.5,0.5,0.5,0.5,0.5
2008-09-12,0.5,0.5,0.5,0.5,0.5,0.5
2008-09-19,0.5,0.5,0.5,0.5,0.5,0.5
2008-09-26,0.5,0.5,0.5,0.5,0.5,0.5
2008-10-03,0.5,0.5,0.5,0.5,0.5,0.5
2008-10-10,0.5,0.5,0.5,0.5,0.5,0.5
2008-10-17,0.5,0.5,0.5,0.5,0.5,0.5
2008-10-24,0.5,0.5,0.5,0.5,0.5,0.5
2008-10-31,0.5,0.5,0.5,0.5,0.5,0.5
2008-11-07,0.5,0.5,0.5,0.5,0.5,0.5
2008-11-14,0.5,0.5,0.5,0.5,0.5,0.5
2008-11-21,0.5,0.5,0.5,0.5,0.5,0.5
2008-11-28,0.5,0.5,0.5,0.5,0.5,0.5
2008-12-05,0.5,0.5,0.5,0.5,0.5,0.5
2008-12-12,0.5,0.5,0.5,0.5,0.5,0.5
2008-12-19,0.5,0.5,0.5,0.5,0.5,0.5
2008-12-26,0.5,0.5,0.5,0.5,0.5,0.5
2009-01-02,0.5,0.5,0.5,0.5,0.5,0.5
2009-01-09,0.5,0.5,0.5,0.5,0.5,0.5
2009-01-16,0.5,0.5,0.5,0.5,0.5,0.5
2009-01-23,0.5,0.5,0.5,0.5,0.5,0.5
2009-01-30,0.5,0.5,0.5,0.5,0.5,0.5
2009-02-06,0.5,0.5,0.5,0.5,0.5,0.5
2009-02-13,0.5,0.5,0.5,0.5,0.5,0.5
2009-02-20,0.5,0.5,0.5,0.5,0.5,0.5
2009-02-27,0.5,0.5,0.5,0.5,0.5,0.5
2009-03-06,0.5,0.5,0.5,0.5,0.5,0.5
2009-03-13,0.5,0.5,0.5,0.5,0.5,0.5
2009-03-20,0.5,0.5,0.5,0.5,0.5,0.5
2009-03-27,0.5,0.5,0.5,0.5,0.5,0.5
2009-04-03,0.5,0.5,0.5,0.5,0.5,0.5
2009-04-10,0.5,0.5,0.5,0.5,0.5,0.5
2009-04-17,0.5,0.5,0.5,0.5,0.5,0.5
2009-04-24,0.5,0.5,0.5,0.5,0.5,0.5
2009-05-01,0.5,0.5,0.5,0.5,0.5,0.5
2009-05-08,0.5,0.5,0.5,0.5,0.5,0.5
2009-05-15,0.5,0.5,0.5,0.5,0.5,0.5
2009-05-22,0.5,0.5,0.5,0.5,0.5,0.5
2009-05-29,0.5,0.5,0.5,0.5,0.5,0.5
2009-06-05,0.5,0.5,0.5,0.5,0.5,0.5
2009-06-12,0.5,0.5,0.5,0.5,0.5,0.5
2009-06-19,0.5,0.5,0.5,0.5,0.5,0.5
2009-06-26,0.5,0.5,0.5,0.5,0.5,0.5
2009-07-03,0.5,0.5,0.5,0.5,0.5,0.5
2009-07-10,0.5,0.5,0.5,0.5,0.5,0.5
2009-07-17,0.28833600327002806,0.2570632223375064,0.39394443499269416,0.2464889717825338,0.29967438671757657,0.3943981824759322
2009-07-24,0.271404686941684,0.2314241988529405,0.3956223832516439,0.2353651110140515,0.28863744047438933,0.35818586141480463
2009-07-31,0.24653169461441674,0.23356349852419278,0.4010713937730613,0.2271096567648021,0.22954427906241498,0.33322454630484316
2009-08-07,0.249100700301502,0.2513968768099232,0.3467729600206786,0.23608779076976427,0.33482737625808134,0.40665376232081113
2009-08-14,0.2630347347763626,0.22832994168772475,0.3523436781511189,0.24093038384751142,0.2950635139412841,0.3596086523139435
2009-08-21,0.27858941337973925,0.22832994168772475,0.25178958605649204,0.2507379922382013,0.2597226409137745,0.35598350333874945
2009-08-28,0.25161055669461935,0.22359952334580618,0.23251393325787403,0.28476978715189444,0.327398960335308,0.43629102703330014
2009-09-04,0.2514801053967122,0.22709342880631878,0.25328485483487334,0.3442556507939258,0.26121376167654436,0.4222496315303716
2009-09-11,0.25161055669461935,0.2839603428936509,0.252769215575704,0.3594937255385818,0.30493970706175383,0.42283570986339414
2009-09-18,0.2596606193086004,0.2870575612674035,0.252769215575704,0.3588657795783288,0.29191614058735,0.42283570986339414
2009-09-25,0.2699595198219699,0.28532780829344256,0.28659498735669786,0.4744188421604606,0.2722779703915277,0.3309236155014363
2009-10-02,0.26170303384151605,0.21874775543567848,0.31105834977153135,0.3949052163302951,0.283502851861198,0.2936197249888414
2009-10-09,0.25747201809638537,0.3219956826227811,0.3962874073216076,0.526192579994615,0.6275260844447749,0.2694358427357121
2009-10-16,0.31625713071681927,0.2818433319328099,0.4396491441409075,0.5934704218632031,0.736457331875257,0.3331069191592609
2009-10-23,0.31625713071681927,0.21429065723999552,0.43055657793582963,0.5934704218632031,0.655381794527702,0.3482743916471221
2009-10-30,0.31632538483242834,0.25539230745234576,0.4306557987023761,0.5274747954826603,0.31459252836727597,0.40272007513655483
2009-11-06,0.37902508884087194,0.4375466789891273,0.387029957760166,0.5575351807626769,0.6845177237220937,0.4374196885240952
2009-11-13,0.48202520133246435,0.42955955927295925,0.2778269010808873,0.5809186629269715,0.7417084879693516,0.6950860245891999
2009-11-20,0.37467086669693583,0.38391824424452153,0.31281852591013193,0.5685637524795313,0.7438186843455016,0.29127800408570165
2009-11-27,0.2917547816812345,0.2048456342125372,0.3946374725314222,0.5642254174903606,0.7438186843455016,0.2048837442559852
2009-12-04,0.3187843853791257,0.2868616505271303,0.29038458363461755,0.5541458026532934,0.7302992105313942,0.5278121298789359
2009-12-11,0.2978711915762299,0.27246086318229,0.3981017462757866,0.5718746224076166,0.7246040838249267,0.3038377221421709
2009-12-18,0.28246995017747145,0.28472636183124034,0.5401492644443241,0.478765203454326,0.7287612695442934,0.3518842846100665
2009-12-25,0.29092587766820316,0.28472636183124034,0.4582637324431038,0.5588230981925549,0.7246040838249267,0.27704895334408197
2010-01-01,0.2711024887866785,0.2551654707752511,0.48842304556220906,0.5951892037653006,0.751076850385019,0.29172592856163804
2010-01-08,0.7324818376900447,0.5566690290025851,0.7643294163795415,0.5288314168695541,0.7068046333386041,0.6242517034502926
2010-01-15,0.701507367425166,0.31958094800434433,0.33661519860633793,0.27925845319543247,0.3711117794471784,0.2809909055931148
2010-01-22,0.40800937058227094,0.328604443955109,0.470118440045965,0.40307579720795583,0.5528999792870773,0.29326810745167775
2010-01-29,0.4216212008199152,0.2882277218493011,0.3139269004776089,0.32553281343428536,0.5697985374783804,0.16602972981053352
2010-02-05,0.4498000426960454,0.2948469168007415,0.3040449487422198,0.31540229973948775,0.3957163358264763,0.19611490099010595
2010-02-12,0.4316344635793698,0.27597265300854035,0.2906097324283609,0.33742586132579855,0.4311897358372233,0.1981733831379459
2010-02-19,0.3710418762287771,0.2539911469055168,0.3677365837091451,0.31390124915454976,0.4370566323204801,0.17950789066899314
2010-02-26,0.38602140734818996,0.2464458824448868,0.41722109091451515,0.384851010298669,0.4690470653541089,0.22795760891384848
2010-03-05,0.4401635870286175,0.5073636446519197,0.46156783703436527,0.5091555102780139,0.45861593922964466,0.18068099721748226
2010-03-12,0.41040200012034245,0.5073636446519197,0.37302781677854896,0.48899294051970066,0.4420748662187754,0.12833283387257274
2010-03-19,0.3971771723043641,0.44840845939244794,0.42054257796201927,0.48899294051970066,0.4222076585254439,0.10806426164602036
2010-03-26,0.40514270896570775,0.5761963854224558,0.42054257796201927,0.48899294051970066,0.3723126083456599,0.14841780056348358
2010-04-02,0.39620544321003787,0.5319448118778473,0.2978087340520952,0.4887348773217309,0.23095950502045332,0.12411646106085358
2010-04-09,0.3284458480644864,0.39173337508429373,0.27293705171457266,0.4194003879583744,0.24709577511631528,0.13293547191621843
2010-04-16,0.3475507051089151,0.24423831360661002,0.36325540061639106,0.18817487168590574,0.28599538625788806,0.5971836137744523
2010-04-23,0.32245667377765713,0.21226712016120317,0.2606814349687527,0.2149861764863506,0.208692197589606,0.42255877001705566
2010-04-30,0.23196308851124833,0.25865897538545396,0.2132192849248089,0.2808713879642085,0.18392467188480424,0.23188422289263502
2010-05-07,0.5482418990591447,0.28693402113289296,0.40603576759396437,0.26064210101001845,0.27445440587753744,0.4517980219504894
2010-05-14,0.39634101937799576,0.3051168659254112,0.42910878016303905,0.24568356972670588,0.21896275288322967,0.39650246269051526
2010-05-21,0.6477550261290895,0.5383962814880142,0.6833136158298176,0.30011256056774693,0.35962704202733187,0.2223506099096315
2010-05-28,0.4027093269921761,0.32492544895112263,0.44750634955388385,0.30011256056774693,0.36321335869309795,0.30603936490437983
2010-06-04,0.36219717710596727,0.321103706970709,0.41168423942549454,0.2513224051918052,0.29692458593030113,0.3011748208327088
2010-06-11,0.3961260400023753,0.3337016247947611,0.42751103001648244,0.3187382741680435,0.35033840438472624,0.2964694551659798
2010-06-18,0.3950939033676911,0.33015121648730894,0.43196238200424414,0.3142410241281387,0.30191556852132434,0.2913237476174987
2010-06-25,0.417763035355386,0.3310189161820321,0.4355813351330146,0.24657646388583968,0.3596705021050263,0.28192687000653877
2010-07-02,0.326976370136657,0.2651128131144736,0.3953576433904004,0.1983922576892757,0.36066170559067584,0.24940240869543198
2010-07-09,0.3494577513066468,0.2729723249359335,0.3630225392495168,0.3074237500038746,0.2962114313373888,0.2420861439434362
2010-07-16,0.30521584820506265,0.3642139760771822,0.2719636913201559,0.24891299950755563,0.4626629671370027,0.1819585514632405
2010-07-23,0.2929215588518499,0.32354499595258157,0.2656185232830071,0.24417357887322713,0.41466779944236387,0.16237807287929273
2010-07-30,0.2988612457475484,0.2803507024730358,0.26855378874824487,0.28495184158508835,0.3162781049075213,0.16909416788921627
2010-08-06,0.4265460526538065,0.3232245262163834,0.34805799672988474,0.4739385141376176,0.2952952875855035,0.2760476743994611
2010-08-13,0.38211894279513936,0.287906371160418,0.36375342508906733,0.389501337191482,0.25047967818198913,0.2890887205260895
2010-08-20,0.3743255139065439,0.2875178508736293,0.46669213976085583,0.389501337191482,0.23486280774695628,0.2982511193570998
2010-08-27,0.37236576544484934,0.28183653768007655,0.46669213976085583,0.389501337191482,0.23318245823381792,0.3036128622934118
2010-09-03,0.3885120934341769,0.30893230254255655,0.4761902828251454,0.3498217945093776,0.24561263767078362,0.3145461641630188
2010-09-10,0.41052332943382935,0.2969828783964739,0.4851435369400069,0.34766223160754733,0.22991217417596502,0.3036128622934118
2010-09-17,0.3912224700718182,0.3162950016766716,0.4851435369400069,0.34766223160754733,0.22697885662914502,0.3104884536348506
2010-09-24,0.3583710249720877,0.3975975126191941,0.4615201862725332,0.39728870145229966,0.2843060598704363,0.29570958267043773
2010-10-01,0.3674780060902824,0.3992050351966456,0.4891658943091206,0.44839602088745956,0.2536316308569424,0.34115882639643136
2010-10-08,0.37934241658337586,0.3975975126191941,0.5392724311980214,0.4445686765942935,0.26746997318510485,0.3486437028703147
2010-10-15,0.5294533028551918,0.37437339226836663,0.4571056774029398,0.38104051331803995,0.3124628337520871,0.3163100332468128
2010-10-22,0.44862000212733394,0.37437339226836663,0.475802409800525,0.3796098276601099,0.3304867881318102,0.3159229768128003
2010-10-29,0.4397291619490136,0.37311121923957435,0.5836067067537963,0.362085673578603,0.413086091864606,0.47142619499510363
2010-11-05,0.41631201680151203,0.3545988992601357,0.5632938199127915,0.33424186695932323,0.4007320444694366,0.4273497325950765
2010-11-12,0.30263338286382263,0.29998112256834836,0.5246899073692091,0.3363957455950174,0.27776492310049794,0.3635541892273136
2010-11-19,0.3471663917259979,0.30181684836888034,0.4213749503156524,0.3346585345189602,0.30548146897404327,0.372943605203912
2010-11-26,0.33877013845422727,0.318827070128217,0.341343395118068,0.3315101928267539,0.3464130319422394,0.3585551035355538
2010-12-03,0.32976674432932734,0.365380624911021,0.3172069811204459,0.32690531660077093,0.3707485691836899,0.3996743239786922
2010-12-10,0.3259830636666789,0.31950756212652154,0.3148464795977694,0.319534086454108,0.38104880846902495,0.3426822164770214
2010-12-17,0.28224205281892145,0.3370994665413255,0.37695245239016456,0.29491938945382545,0.33683614729990474,0.3373337932072227
2010-12-24,0.31236225146190527,0.25197638475948225,0.408790284541098,0.28950305209809124,0.35492909072094875,0.3294413432146525
2010-12-31,0.2899714735912226,0.36048770331523855,0.30907681668657855,0.308731405083315,0.33918473420542233,0.3325540737280031
2011-01-07,0.29664476248901306,0.2608182458333828,0.3918103852299989,0.2916832650973696,0.31604147785087366,0.3434627448508225
2011-01-14,0.23667271080690128,0.2688110053266949,0.48234263231109265,0.24814442815006585,0.31472892031922267,0.36487703018562834
2011-01-21,0.24147629318924768,0.2472404776437432,0.45757564466802236,0.20112738837022515,0.3363911152254933,0.33542829352141956
2011-01-28,0.25203030446345037,0.2845639087733654,0.36832280693822617,0.22724212537974503,0.37548312959352104,0.3759568296168411
2011-02-04,0.2943227155353013,0.35239001896689226,0.39662165232602437,0.23005468817210517,0.40414312991625045,0.39574117755850935
2011-02-11,0.2863776391764395,0.3536189523140987,0.5136161468700756,0.25452200405061026,0.40819829642125793,0.4365759397177655
2011-02-18,0.28805125797494935,0.3372282426754516,0.3581918470282852,0.2576893212714715,0.42030468944262783,0.44073651688130344
2011-02-25,0.27815702555111327,0.3308843940664139,0.45051742439225595,0.28599623495551835,0.34056473364599604,0.41498974430528845
2011-03-04,0.2525714028068352,0.3002572783525643,0.4567184118298617,0.2016912116762848,0.26468097801355955,0.37460920403593334
2011-03-11,0.2845150923600602,0.27714573709142243,0.40993517524409906,0.20546143916927317,0.2694014688685478,0.29288499959413844
2011-03-18,0.255449410934229,0.30660768955223067,0.4232548955135907,0.19887156849753834,0.23409968490298658,0.29217808143193097
2011-03-25,0.24574012236636392,0.29859952740984486,0.3082827338231622,0.19576947132242487,0.22689308917421872,0.2644392624224481
2011-04-01,0.2492397674676556,0.30101797108947903,0.305477698925985,0.19576947132242487,0.22777050725464584,0.2672015005988963
2011-04-08,0.25526492823847385,0.27593463033472876,0.30312048966575356,0.1882949881431542,0.23075615686352155,0.26083886553053687
2011-04-15,0.2796159002822164,0.2566119429700943,0.32062490628389606,0.1731895052234183,0.2608932209888655,0.32683996895045575
2011-04-22,0.2796159002822164,0.26642226683580866,0.34707320531528235,0.2051922506202402,0.2627971891634165,0.3298715592058794
2011-04-29,0.3199034294006907,0.2616425011718169,0.3602275543490658,0.2585740755156337,0.32633496274496443,0.24505013381481097
2011-05-06,0.24754141342318514,0.27331231932007577,0.33846500639628263,0.24372868066276956,0.3292648636529783,0.14737784270232035
2011-05-13,0.22602759031736389,0.268898111382168,0.2291110843080353,0.23820738368423594,0.3285927479993119,0.149048274803146
2011-05-20,0.268340677860967,0.31683494626233194,0.2486377654768283,0.256846657046237,0.3352043616808218,0.15250486530323826
2011-05-27,0.3168722609899444,0.2948810045069533,0.25270286653860724,0.25404999723469013,0.2820462489240179,0.17098921787752436
2011-06-03,0.27527696859868567,0.33652393256102686,0.23976759732341774,0.23685457921491002,0.2638424457528802,0.1805499013457343
2011-06-10,0.2928130552793902,0.3183477803848394,0.22614643626652567,0.22569117957611884,0.26341062134330157,0.1747517606904524
2011-06-17,0.26072893222848514,0.30217302407180047,0.2229324042968504,0.24358306133753516,0.2206755171303778,0.16397303458523094
2011-06-24,0.2928130552793902,0.2973527668436427,0.22614643626652567,0.21984724474677597,0.23931686069490907,0.13568963592952582
2011-07-01,0.291198617150732,0.3563256360462522,0.29511185795125694,0.34761908000627806,0.27136153552441106,0.18718454522796887
2011-07-08,0.35355018460509036,0.38091670642847947,0.30353078872602934,0.28524450465078766,0.25523161066819705,0.20064070257434313
2011-07-15,0.29082262224492533,0.36469440687456345,0.27249690213644334,0.3673527230976514,0.21865805585015244,0.23648338499275595
2011-07-22,0.35333412890960236,0.35285966601234775,0.24807580404088875,0.3746674892038133,0.23115252704894595,0.28385394181390294
2011-07-29,0.26116320231968565,0.3076369440716081,0.2690418991297229,0.3050760227968443,0.2746354617416989,0.19293971871846438
2011-08-05,0.2624192895441062,0.30297459357000195,0.24459838112874627,0.23578747576604253,0.250712913426549,0.1663463976076084
2011-08-12,0.2941529660492543,0.2992134966279293,0.27531501580410844,0.24337465701133146,0.21595808554943013,0.18913961289301745
2011-08-19,0.2885181755180361,0.31524508223626463,0.28716528798805296,0.2655662237644544,0.21070997765700977,0.1817117240880359
2011-08-26,0.29968524391213336,0.2683153483259676,0.268399109747967,0.2533759017923007,0.2369272747958946,0.1968775743943763
2011-09-02,0.3140484475300247,0.27361639027060275,0.26922809797200054,0.28477197494947104,0.21542486384464404,0.19431218622290855
2011-09-09,0.29492876980256993,0.2619671712533928,0.26195754278997097,0.26641453136863097,0.21542486384464404,0.19170273989132847
2011-09-16,0.2859922645694539,0.2591553276787092,0.3033769044622346,0.26641453136863097,0.22666637906159584,0.21659241537601603
2011-09-23,0.3115550249263757,0.2574024006036122,0.2502823291731455,0.23934854885585963,0.1985126892515093,0.2804290114660271
2011-09-30,0.3657299241913941,0.2291355779945111,0.26452083262386233,0.2224513973660392,0.2710280556889076,0.30092767889576777
2011-10-07,0.352043491407959,0.2252029867426078,0.26452083262386233,0.18748128506626738,0.2717629198641052,0.2990244436636177
2011-10-14,0.3804644152569174,0.265977626256641,0.2893568920903095,0.27833800580373647,0.3187239566013808,0.23182907365795294
2011-10-21,0.3525791503145634,0.3044333944553577,0.284327851880323,0.2528145530227402,0.289294539967324,0.2585369677710493
2011-10-28,0.3745730193803705,0.27739537429197364,0.27711390666003316,0.26355248173230533,0.30175862729566616,0.3292155029782319
2011-11-04,0.37340991449763256,0.2680963656094953,0.30369534207409915,0.27816500690715973,0.2694234569462684,0.3207393700378732
2011-11-11,0.37870933585842304,0.27304867050604065,0.34317994911847116,0.271514136471024,0.2782811291815492,0.3314098596769585
2011-11-18,0.37220452304606755,0.2833168025200667,0.3425363965942692,0.3108189219137243,0.2784012908171005,0.3542599252830873
2011-11-25,0.37017307886528095,0.3384018430737013,0.29766095481044486,0.30600160924795644,0.2527578974649426,0.30551611458594563
2011-12-02,0.3681618630727159,0.33330948469331245,0.3023999039153618,0.30600160924795644,0.29870225245596016,0.28459403822095125
2011-12-09,0.3574026746042443,0.32661868875774136,0.26523477966729947,0.2935872572462165,0.2832209822081102,0.2689931596703565
2011-12-16,0.43943408336080875,0.2529721859448298,0.27959534478150183,0.32365167546944357,0.29050131137069013,0.275665731876188
2011-12-23,0.37861236672722787,0.2357849497321432,0.2524580500587468,0.3186439701235071,0.33424795925308104,0.28977659186747323
2011-12-30,0.4111675270818313,0.2391945161721204,0.26831205033209937,0.31578870589444724,0.33476525922665007,0.31571824628069095
2012-01-06,0.37549095727775633,0.2438825103301177,0.26085513978925245,0.3431058873126895,0.41516274597180614,0.29711135627150115
2012-01-13,0.45756257471119205,0.24282999195543647,0.2437413970672612,0.32313277474575,0.2601923742204416,0.2572348855083666
2012-01-20,0.4824193084089612,0.250335887135042,0.25522815401659776,0.3615083719757508,0.3656288981027417,0.29831832368428574
2012-01-27,0.46974780854976517,0.258528579371516,0.25672283112042554,0.35173738648728514,0.2517498760647507,0.2976046609435487
2012-02-03,0.4962373917617666,0.2229404032950553,0.2618286524354265,0.31278345340369607,0.22851402563508402,0.2617139067324727
2012-02-10,0.467553044686987,0.24326122787670965,0.23052682074117878,0.3087990623642134,0.23895407847081274,0.209229407603151
2012-02-17,0.467553044686987,0.2867087934432696,0.2126928072000654,0.25946158676391673,0.2239825182474546,0.20271907200449096
