version_name,market_state,strong_neutral,bil_weight,overlay_cash_weight,sleeve_bil_weight,sleeve_internal_bil_weight,self_gated_internal_bil_weight,self_gated_overlay_cut_total,self_gated_overlay_cut_risky,non_self_gated_overlay_cut_total,non_self_gated_overlay_cut_risky,regime_multiplier,target_vol_multiplier,gross_multiplier
improved_phase2b_combo_abc,calm_trend,0.0,0.06990173480219292,0.03494109752997501,0.034960637272217904,0.03496063727221782,0.0005942207417018224,0.00020116251154488383,0.00020116251154488383,0.00018137888088663804,0.00016715747111606527,0.9988588551789506,0.9994313007185146,0.9982901558974653
improved_phase2b_combo_abc,neutral_mixed,0.0,0.38994495418094766,0.33608967359981934,0.05385528058112836,0.053855280581128324,0.0051047730743979895,0.015563537441580962,0.015359484315907253,0.02178019344656428,0.018911878150309692,0.8132813455592739,1.0,0.8132813455592739
improved_phase2b_combo_abc,neutral_mixed,1.0,0.21322013774046086,0.14938477363412056,0.0638353641063403,0.06383536410634023,0.0012368692218194376,0.0026241174336715596,0.002614800509567824,0.00417541792298248,0.0035496444027130107,0.9526745938414608,0.9999166967779157,0.9650480024649187
improved_phase2b_combo_abc,recovery_confirmed,0.0,0.12590614593470717,0.06373368696666495,0.06217245896804222,0.06217245896804213,0.0,0.005357162642833454,0.005357162642833454,0.010636629819818728,0.009152773887640235,0.9238966069851,1.0,0.9413560943036087
improved_phase2b_combo_abc,recovery_fragile,0.0,0.22878652097135777,0.1346172263856224,0.09416929458573536,0.0941692945857353,0.029698119556747202,0.0035320161511954566,0.003364620205616177,0.0061385773077871734,0.005643764901827638,0.9541251757719941,1.0,0.9661529228935608
improved_phase2b_combo_abc,stressed_panic,0.0,0.6075517876328321,0.5095176183235943,0.09803416930923792,0.09803416930923788,0.01169891142372279,0.049591443042401914,0.045103867100469416,0.07442602420650639,0.04902956279945322,0.43200000000000005,0.9984641011136347,0.43200000000000005
improved_phase2b_regime_confidence_boost,calm_trend,0.0,0.06848068479538146,0.03351642578324362,0.03496425901213783,0.034964259012137754,0.0005977248920936818,6.092931456808486e-05,6.092931456808486e-05,6.630510095069105e-05,6.630510095069105e-05,1.0,0.9994313007185146,0.9994313007185146
improved_phase2b_regime_confidence_boost,neutral_mixed,0.0,0.3859881889121025,0.3316676389889185,0.05432054992318396,0.05432054992318392,0.005121324529359702,0.014861458565731268,0.014673856278763305,0.0205784490422387,0.017897875671299426,0.8228004619601501,1.0,0.8228004619601501
improved_phase2b_regime_confidence_boost,neutral_mixed,1.0,0.21306891728727767,0.1492334006080025,0.06383551667927519,0.06383551667927513,0.0012380460826747208,0.0028446293966729336,0.0028364884351418946,0.004384502071223288,0.0037217790786468656,0.9494468340601415,0.9999166967779157,0.9628397277176562
improved_phase2b_regime_confidence_boost,recovery_confirmed,0.0,0.12567720750750144,0.06383761565651914,0.061839591850982305,0.06183959185098218,0.0,0.005357162642833454,0.005357162642833454,0.010636629819818728,0.009152773887640235,0.9238966069851,1.0,0.9413560943036087
improved_phase2b_regime_confidence_boost,recovery_fragile,0.0,0.2182179003328674,0.12351317074439862,0.09470472958846878,0.0947047295884687,0.029899629693285898,0.002379276758831549,0.0022118806091238363,0.004059903889753122,0.0035851162609942472,0.9694264302424679,1.0,0.9774628677299537
improved_phase2b_regime_confidence_boost,stressed_panic,0.0,0.6074136983844914,0.5093247219202602,0.09808897646423119,0.09808897646423116,0.011699372693254525,0.04961147658447926,0.045123725171894884,0.07440599066442903,0.049017214859960336,0.43200000000000005,0.9984641011136347,0.43200000000000005
