,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,cash::BIL
2015-07-17,0.16238628960235021,0.18300477429057696,0.14957425981246458,0.17960254251724694,0.12543213377736137,0.19999999999999996
2015-07-24,0.16238628960235021,0.18300477429057696,0.14957425981246458,0.17960254251724694,0.12543213377736137,0.19999999999999996
2015-07-31,0.14164616308728856,0.15219614127848768,0.14778034140878185,0.23093363055991847,0.12744372366552353,0.19999999999999996
2015-08-07,0.14164616308728856,0.15219614127848768,0.14778034140878185,0.23093363055991847,0.12744372366552353,0.19999999999999996
2015-08-14,0.14164616308728856,0.15219614127848768,0.14778034140878185,0.23093363055991847,0.12744372366552353,0.19999999999999996
2015-08-21,0.14164616308728856,0.15219614127848768,0.14778034140878185,0.23093363055991847,0.12744372366552353,0.19999999999999996
2015-08-28,0.06331763499720154,0.0643674766996418,0.07228015772818418,0.13545920059705047,0.06457552997792207,0.6
2015-09-04,0.06331763499720154,0.0643674766996418,0.07228015772818418,0.13545920059705047,0.06457552997792207,0.6
2015-09-11,0.06331763499720154,0.0643674766996418,0.07228015772818418,0.13545920059705047,0.06457552997792207,0.6
2015-09-18,0.06331763499720154,0.0643674766996418,0.07228015772818418,0.13545920059705047,0.06457552997792207,0.6
2015-09-25,0.06077707445323989,0.07820956120885343,0.07386161980476291,0.11921492375607186,0.06793682077707192,0.6
2015-10-02,0.06077707445323989,0.07820956120885343,0.07386161980476291,0.11921492375607186,0.06793682077707192,0.6
2015-10-09,0.06077707445323989,0.07820956120885343,0.07386161980476291,0.11921492375607186,0.06793682077707192,0.6
2015-10-16,0.06077707445323989,0.07820956120885343,0.07386161980476291,0.11921492375607186,0.06793682077707192,0.6
2015-10-23,0.06077707445323989,0.07820956120885343,0.07386161980476291,0.11921492375607186,0.06793682077707192,0.6
2015-10-30,0.12147219254489401,0.17809799227927697,0.15267164682822743,0.21204016876478599,0.13571799958281566,0.19999999999999996
2015-11-06,0.12147219254489401,0.17809799227927697,0.15267164682822743,0.21204016876478599,0.13571799958281566,0.19999999999999996
2015-11-13,0.12147219254489401,0.17809799227927697,0.15267164682822743,0.21204016876478599,0.13571799958281566,0.19999999999999996
2015-11-20,0.12147219254489401,0.17809799227927697,0.15267164682822743,0.21204016876478599,0.13571799958281566,0.19999999999999996
2015-11-27,0.12024722789013159,0.14985006182681848,0.1547744940710408,0.195105945015586,0.18002227119642322,0.19999999999999996
2015-12-04,0.12024722789013159,0.14985006182681848,0.1547744940710408,0.195105945015586,0.18002227119642322,0.19999999999999996
2015-12-11,0.12024722789013159,0.14985006182681848,0.1547744940710408,0.195105945015586,0.18002227119642322,0.19999999999999996
2015-12-18,0.12024722789013159,0.14985006182681848,0.1547744940710408,0.195105945015586,0.18002227119642322,0.19999999999999996
2015-12-25,0.05852825246485452,0.06462115235024941,0.0759657530978121,0.09570721475117375,0.10517762733591028,0.5999999999999999
