,dual_momentum_topn,cta_trend_long_only,composite_trend_quality_refined,composite_regime_conditioned,taa_10m_sma,cash::BIL
2022-11-11,0.07933356758450852,0.029270459901779084,0.03703787756742132,0.17993233135519793,0.07442576359109318,0.6
2022-11-18,0.07933356758450852,0.029270459901779084,0.03703787756742132,0.17993233135519793,0.07442576359109318,0.6
2022-11-25,0.07985114898356063,0.029132588217620183,0.037185850126328836,0.1799593988131188,0.0738710138593716,0.5999999999999999
2022-12-02,0.07985114898356063,0.029132588217620183,0.037185850126328836,0.1799593988131188,0.0738710138593716,0.5999999999999999
2022-12-09,0.07985114898356063,0.029132588217620183,0.037185850126328836,0.1799593988131188,0.0738710138593716,0.5999999999999999
2022-12-16,0.07985114898356063,0.029132588217620183,0.037185850126328836,0.1799593988131188,0.0738710138593716,0.5999999999999999
2022-12-23,0.07985114898356063,0.029132588217620183,0.037185850126328836,0.1799593988131188,0.0738710138593716,0.5999999999999999
2022-12-30,0.16045763419963371,0.05802517989008602,0.07466371450977265,0.35995127857574255,0.14690219282476513,0.19999999999999996
2023-01-06,0.16045763419963371,0.05802517989008602,0.07466371450977265,0.35995127857574255,0.14690219282476513,0.19999999999999996
2023-01-13,0.16045763419963371,0.05802517989008602,0.07466371450977265,0.35995127857574255,0.14690219282476513,0.19999999999999996
2023-01-20,0.16045763419963371,0.05802517989008602,0.07466371450977265,0.35995127857574255,0.14690219282476513,0.19999999999999996
2023-01-27,0.19803110626031406,0.0739293602633079,0.09135800806642508,0.43697289456361027,0.17327039155339746,0.026438239292945198
2023-02-03,0.19803110626031406,0.0739293602633079,0.09135800806642508,0.43697289456361027,0.17327039155339746,0.026438239292945198
2023-02-10,0.19803110626031406,0.0739293602633079,0.09135800806642508,0.43697289456361027,0.17327039155339746,0.026438239292945198
2023-02-17,0.19803110626031406,0.0739293602633079,0.09135800806642508,0.43697289456361027,0.17327039155339746,0.026438239292945198
2023-02-24,0.1687174527928919,0.06176667141833224,0.07716887933384678,0.363107616082004,0.1373957690113199,0.1918436113616051
2023-03-03,0.1687174527928919,0.06176667141833224,0.07716887933384678,0.363107616082004,0.1373957690113199,0.1918436113616051
2023-03-10,0.1687174527928919,0.06176667141833224,0.07716887933384678,0.363107616082004,0.1373957690113199,0.1918436113616051
2023-03-17,0.1687174527928919,0.06176667141833224,0.07716887933384678,0.363107616082004,0.1373957690113199,0.1918436113616051
2023-03-24,0.1687174527928919,0.06176667141833224,0.07716887933384678,0.363107616082004,0.1373957690113199,0.1918436113616051
2023-03-31,0.19687023514332544,0.08011905037413264,0.08934865176975786,0.43539778028194914,0.16901172190158878,0.029252560529246185
2023-04-07,0.19687023514332544,0.08011905037413264,0.08934865176975786,0.43539778028194914,0.16901172190158878,0.029252560529246185
2023-04-14,0.19687023514332544,0.08011905037413264,0.08934865176975786,0.43539778028194914,0.16901172190158878,0.029252560529246185
2023-04-21,0.19687023514332544,0.08011905037413264,0.08934865176975786,0.43539778028194914,0.16901172190158878,0.029252560529246185
2023-04-28,0.19107455341967497,0.07882659454805152,0.08744620665567833,0.42755352880563746,0.1712304215928571,0.04386869497810064
2023-05-05,0.19107455341967497,0.07882659454805152,0.08744620665567833,0.42755352880563746,0.1712304215928571,0.04386869497810064
2023-05-12,0.19107455341967497,0.07882659454805152,0.08744620665567833,0.42755352880563746,0.1712304215928571,0.04386869497810064
2023-05-19,0.19107455341967497,0.07882659454805152,0.08744620665567833,0.42755352880563746,0.1712304215928571,0.04386869497810064
