,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,cash::BIL
2010-07-09,0.09276250004473584,0.08914505401096767,0.23831083096502428,0.2919206436345436,0.0878609713447287,0.19999999999999984
2010-07-16,0.09276250004473584,0.08914505401096767,0.23831083096502428,0.2919206436345436,0.0878609713447287,0.19999999999999984
2010-07-23,0.09276250004473584,0.08914505401096767,0.23831083096502428,0.2919206436345436,0.0878609713447287,0.19999999999999984
2010-07-30,0.11534502543049818,0.07987676840128306,0.2421150065816401,0.2929494711103215,0.06971372847625733,0.19999999999999984
2010-08-06,0.11534502543049818,0.07987676840128306,0.2421150065816401,0.2929494711103215,0.06971372847625733,0.19999999999999984
2010-08-13,0.11534502543049818,0.07987676840128306,0.2421150065816401,0.2929494711103215,0.06971372847625733,0.19999999999999984
2010-08-20,0.11534502543049818,0.07987676840128306,0.2421150065816401,0.2929494711103215,0.06971372847625733,0.19999999999999984
2010-08-27,0.12975895800850124,0.07559504787808044,0.24510474847601804,0.29040098222538097,0.05914026341201942,0.19999999999999984
2010-09-03,0.12975895800850124,0.07559504787808044,0.24510474847601804,0.29040098222538097,0.05914026341201942,0.19999999999999984
2010-09-10,0.12975895800850124,0.07559504787808044,0.24510474847601804,0.29040098222538097,0.05914026341201942,0.19999999999999984
2010-09-17,0.12975895800850124,0.07559504787808044,0.24510474847601804,0.29040098222538097,0.05914026341201942,0.19999999999999984
2010-09-24,0.15894792414866177,0.09535146837269382,0.2659603005644682,0.34098369390621225,0.09401869709385034,0.04473791591411369
2010-10-01,0.15894792414866177,0.09535146837269382,0.2659603005644682,0.34098369390621225,0.09401869709385034,0.04473791591411369
2010-10-08,0.15894792414866177,0.09535146837269382,0.2659603005644682,0.34098369390621225,0.09401869709385034,0.04473791591411369
2010-10-15,0.15894792414866177,0.09535146837269382,0.2659603005644682,0.34098369390621225,0.09401869709385034,0.04473791591411369
2010-10-22,0.15894792414866177,0.09535146837269382,0.2659603005644682,0.34098369390621225,0.09401869709385034,0.04473791591411369
