candidate,state,n_weeks,ddd_mean_wkly,prod_mean_wkly,delta_mean_wkly,ddd_minus_prod_cumulative
improved_phaseddd_confirmed_harder_dual_cap,calm_trend,295,0.000844814882835192,0.0007552175162830647,8.959736655212737e-05,0.040947481884066717
improved_phaseddd_confirmed_harder_dual_cap,neutral_mixed,493,0.002100578876721552,0.0020712148039303295,2.936407279122274e-05,0.03669028096523119
improved_phaseddd_confirmed_harder_dual_cap,recovery_confirmed,44,0.00045314156791297804,0.0005399585327544482,-8.681696484147015e-05,-0.004324724503675492
improved_phaseddd_confirmed_harder_dual_cap,recovery_fragile,49,0.001305550741527879,0.0013236555558595474,-1.810481433166841e-05,-0.0012395848638366846
improved_phaseddd_confirmed_harder_dual_cap,stressed_panic,229,0.0007294509413985087,0.00068168964870096,4.776129269754871e-05,0.010302129647296043
improved_phaseddd_confirmed_near_exclude_dual,calm_trend,295,0.0008436026275963874,0.0007552175162830647,8.838511131332278e-05,0.04050011313679347
improved_phaseddd_confirmed_near_exclude_dual,neutral_mixed,493,0.0021002270535767325,0.0020712148039303295,2.9012249646403077e-05,0.03610513259078374
improved_phaseddd_confirmed_near_exclude_dual,recovery_confirmed,44,0.0004684231206588527,0.0005399585327544482,-7.153541209559551e-05,-0.0036448314209585053
improved_phaseddd_confirmed_near_exclude_dual,recovery_fragile,49,0.0013125427506593486,0.0013236555558595474,-1.1112805200198805e-05,-0.0008769062263700445
improved_phaseddd_confirmed_near_exclude_dual,stressed_panic,229,0.0007296814462552235,0.00068168964870096,4.799179755426346e-05,0.010364788055758023
improved_phaseddd_confirmed_dual_hard_css_soft,calm_trend,295,0.0008404613520559645,0.0007552175162830647,8.524383577289982e-05,0.039328335563264094
improved_phaseddd_confirmed_dual_hard_css_soft,neutral_mixed,493,0.0021008402542367567,0.0020712148039303295,2.9625450306427267e-05,0.03681718081444885
improved_phaseddd_confirmed_dual_hard_css_soft,recovery_confirmed,44,0.00043027420711631067,0.0005399585327544482,-0.00010968432563813752,-0.005374240165832989
improved_phaseddd_confirmed_dual_hard_css_soft,recovery_fragile,49,0.0013117410029694712,0.0013236555558595474,-1.1914552890076192e-05,-0.0009189691004398703
improved_phaseddd_confirmed_dual_hard_css_soft,stressed_panic,229,0.0007296435138950346,0.00068168964870096,4.795386519407458e-05,0.01035303094393658
improved_phaseddd_confirmed_defensive_balanced_substitution,calm_trend,295,0.0008458131636796508,0.0007552175162830647,9.059564739658616e-05,0.041323093557926294
improved_phaseddd_confirmed_defensive_balanced_substitution,neutral_mixed,493,0.0020988302852589084,0.0020712148039303295,2.7615481328578922e-05,0.03444716437268314
improved_phaseddd_confirmed_defensive_balanced_substitution,recovery_confirmed,44,0.00044943436274619584,0.0005399585327544482,-9.052417000825235e-05,-0.004477670378139287
improved_phaseddd_confirmed_defensive_balanced_substitution,recovery_fragile,49,0.0013014552127779016,0.0013236555558595474,-2.2200343081645773e-05,-0.0014515703734856444
improved_phaseddd_confirmed_defensive_balanced_substitution,stressed_panic,229,0.0007294428345219501,0.00068168964870096,4.7753185820990094e-05,0.010300581410377596
