candidate,state,n_weeks,jj_mean_wkly,prod_mean_wkly,delta_mean_wkly,jj_minus_prod_cumulative
improved_phasejj_ml_riskdial_25,calm_trend,295,0.0007574076805533809,0.0007552175162830647,2.1901642703162126e-06,0.0007383916003440572
improved_phasejj_ml_riskdial_25,neutral_deteriorating,171,0.0017511837489901966,0.001727673965252361,2.3509783737835598e-05,0.005256236078418297
improved_phasejj_ml_riskdial_25,neutral_healthy,210,0.0031458123152058102,0.003124715384962978,2.109693024283238e-05,0.007795092322224306
improved_phasejj_ml_riskdial_25,neutral_mixed,112,0.0006204144592613703,0.0006204144592613703,0.0,0.0
improved_phasejj_ml_riskdial_25,recovery_confirmed,44,0.000533530148348142,0.0005399585327544482,-6.4283844063062114e-06,-0.00029997341485454854
improved_phasejj_ml_riskdial_25,recovery_fragile,49,0.0013128837932286264,0.0013236555558595474,-1.0771762630921002e-05,-0.0005747465684797781
improved_phasejj_ml_riskdial_25,stressed_panic,229,0.0006728361576720965,0.00068168964870096,-8.853491028863476e-06,-0.0026143907377196296
improved_phasejj_ml_riskdial_50,calm_trend,295,0.0007566947769851445,0.0007552175162830647,1.477260702079878e-06,0.0004193787972284202
improved_phasejj_ml_riskdial_50,neutral_deteriorating,171,0.0017682816854525886,0.001727673965252361,4.060772020022759e-05,0.009032127447345273
improved_phasejj_ml_riskdial_50,neutral_healthy,210,0.00318201725463382,0.003124715384962978,5.730186967084234e-05,0.02169366745401935
improved_phasejj_ml_riskdial_50,neutral_mixed,112,0.0006204144592613703,0.0006204144592613703,0.0,0.0
improved_phasejj_ml_riskdial_50,recovery_confirmed,44,0.0005293329689264104,0.0005399585327544482,-1.0625563828037753e-05,-0.0005198821681129395
improved_phasejj_ml_riskdial_50,recovery_fragile,49,0.0013133918875488123,0.0013236555558595474,-1.0263668310735033e-05,-0.0005611065849018271
improved_phasejj_ml_riskdial_50,stressed_panic,229,0.0006660840981165015,0.00068168964870096,-1.5605550584458475e-05,-0.00481243609876314
