,gross_return,net_return,turnover,cost,wealth,drawdown
2016-02-26,0.004380588274695617,0.004222566373774087,0.15802190092153046,0.00015802190092153046,1.9442500133913025,-0.07715329048351338
2016-03-04,0.001788256321178124,0.00178524142534685,0.003014895831273926,3.014895831273926e-06,1.9477209690564397,-0.07550578630843963
2016-03-11,0.0039687083068199415,0.003964158451933016,0.004549854886925346,4.5498548869253465e-06,1.9554420435979318,-0.07184094475747105
2016-03-18,-0.002763860056826925,-0.0027663792516697413,0.0025191948428163018,2.519194842816302e-06,1.9500325493006798,-0.07440858471014344
2016-03-25,0.006092774084224475,0.005680940371042844,0.4118337131816312,0.0004118337131816312,1.96111056793485,-0.06915035507193246
2016-04-01,0.0033378428914330512,0.0033048487426031877,0.032994148829863346,3.2994148829863347e-05,1.9675917417293955,-0.06607403779333909
2016-04-08,0.0020996298068303733,0.002056957667388592,0.04267213944178101,4.267213944178101e-05,1.9716389946488362,-0.06415299162460497
2016-04-15,-0.004934656803667019,-0.004944297045937896,0.00964024227087656,9.640242270876559e-06,1.961890625791938,-0.06878009722356526
2016-04-22,0.013884469975282815,0.013874819023161268,0.009650952121547303,9.650952121547303e-06,1.9891115031680375,-0.055859589601776505
2016-04-29,0.011948703622042901,0.011582666256400894,0.3660373656420074,0.0003660373656420074,2.012150717856001,-0.04492392632895237
2016-05-06,-0.003973798362210592,-0.004008632570898762,0.03483420868817026,3.4834208688170266e-05,2.004084744950846,-0.04875247538555627
2016-05-13,-0.015392737001356516,-0.01539825904806432,0.00552204670780458,5.52204670780458e-06,1.973225328893819,-0.06340003118839943
2016-05-20,0.001547192192326928,0.0015351114817110114,0.012080710615916684,1.2080710615916684e-05,1.976254449752207,-0.061962245822506534
2016-05-27,0.014014077672609591,0.013802603528388174,0.21147414422141694,0.00021147414422141694,2.00353190639335,-0.04901488260693476
2016-06-03,0.007694963365265139,0.007677102352656905,0.017861012608233723,1.7861012608233722e-05,2.0189132259055453,-0.04171407252485482
2016-06-10,0.006594760288826176,0.006579897623773269,0.01486266505290817,1.486266505290817e-05,2.0321974682432855,-0.035408649227765876
2016-06-17,0.002518817182782475,0.0025153030479554265,0.003514134827048397,3.514134827048397e-06,2.0373090607292053,-0.032982409663136925
2016-06-24,0.03185964317837101,0.031788373207010195,0.0712699713608143,7.126997136081429e-05,2.1020718014896884,-0.002242493603765161
2016-07-01,0.012296877607592302,0.012279371916450083,0.01750569114221928,1.7505691142219278e-05,2.127883922935262,0.0
2016-07-08,-0.010164252567322542,-0.010183223400265408,0.018970832942865144,1.8970832942865142e-05,2.106215205578179,-0.010183223400265451
2016-07-15,0.0061001028594731025,0.006075481492975098,0.024621366498004317,2.462136649800432e-05,2.119011477079892,-0.0041696098925975145
2016-07-22,0.009074689759944451,0.009048706690238915,0.02598306970553649,2.598306970553649e-05,2.138185790409238,0.0
2016-07-29,-0.014084572480041324,-0.014243963625000038,0.15939114495871326,0.00015939114495871327,2.107729549787157,-0.014243963624999911
2016-08-05,0.006375712684596657,0.006368555492801817,0.0071571917948398,7.1571917948398005e-06,2.121152742388795,-0.007966121604981447
2016-08-12,-0.005217284034607295,-0.005228478654427279,0.011194619819983157,1.1194619819983157e-05,2.110062340552435,-0.013152949562638572
2016-08-19,-0.006492121245666635,-0.006534614515950158,0.042493270283523274,4.249327028352327e-05,2.096273896552301,-0.019601614623449226
