,dual_momentum_topn,cta_trend_long_only,composite_selective_concentrated,composite_regime_conditioned,taa_10m_sma,cash::BIL
2010-01-15,0.1650198002491524,0.08018449578614938,0.2812647702165285,0.4098800776931272,0.04365085605504255,0.019999999999999907
2010-01-22,0.1650198002491524,0.08018449578614938,0.2812647702165285,0.4098800776931272,0.04365085605504255,0.019999999999999907
2010-01-29,0.15998383334536273,0.07672559994219348,0.29078926737875777,0.4098291914497195,0.04267210788396652,0.020000000000000018
2010-02-05,0.15998383334536273,0.07672559994219348,0.29078926737875777,0.4098291914497195,0.04267210788396652,0.020000000000000018
2010-02-12,0.15998383334536273,0.07672559994219348,0.29078926737875777,0.4098291914497195,0.04267210788396652,0.020000000000000018
2010-02-19,0.15998383334536273,0.07672559994219348,0.29078926737875777,0.4098291914497195,0.04267210788396652,0.020000000000000018
2010-02-26,0.16530167195130863,0.07849611954361307,0.2836056951855543,0.4098338970830889,0.04276261623643502,0.020000000000000018
2010-03-05,0.16530167195130863,0.07849611954361307,0.2836056951855543,0.4098338970830889,0.04276261623643502,0.020000000000000018
2010-03-12,0.16530167195130863,0.07849611954361307,0.2836056951855543,0.4098338970830889,0.04276261623643502,0.020000000000000018
2010-03-19,0.16530167195130863,0.07849611954361307,0.2836056951855543,0.4098338970830889,0.04276261623643502,0.020000000000000018
2010-03-26,0.16665140625102917,0.07896274435553917,0.28236783034666313,0.4098053069350139,0.042212712111754785,0.019999999999999796
2010-04-02,0.16665140625102917,0.07896274435553917,0.28236783034666313,0.4098053069350139,0.042212712111754785,0.019999999999999796
2010-04-09,0.16665140625102917,0.07896274435553917,0.28236783034666313,0.4098053069350139,0.042212712111754785,0.019999999999999796
2010-04-16,0.16665140625102917,0.07896274435553917,0.28236783034666313,0.4098053069350139,0.042212712111754785,0.019999999999999796
2010-04-23,0.16665140625102917,0.07896274435553917,0.28236783034666313,0.4098053069350139,0.042212712111754785,0.019999999999999796
2010-04-30,0.1691272945175261,0.08305199357155707,0.28168742637319316,0.4184103726816751,0.04772291285604865,0.0
2010-05-07,0.1691272945175261,0.08305199357155707,0.28168742637319316,0.4184103726816751,0.04772291285604865,0.0
2010-05-14,0.1691272945175261,0.08305199357155707,0.28168742637319316,0.4184103726816751,0.04772291285604865,0.0
2010-05-21,0.1691272945175261,0.08305199357155707,0.28168742637319316,0.4184103726816751,0.04772291285604865,0.0
2010-05-28,0.11349366524786109,0.06814494419803903,0.2231479106004759,0.337572277521467,0.05764120243215699,0.20000000000000007
2010-06-04,0.11349366524786109,0.06814494419803903,0.2231479106004759,0.337572277521467,0.05764120243215699,0.20000000000000007
2010-06-11,0.11349366524786109,0.06814494419803903,0.2231479106004759,0.337572277521467,0.05764120243215699,0.20000000000000007
2010-06-18,0.11349366524786109,0.06814494419803903,0.2231479106004759,0.337572277521467,0.05764120243215699,0.20000000000000007
2010-06-25,0.10101099154625076,0.0716375510707381,0.22583264522579422,0.3295064802079582,0.07201233194925881,0.19999999999999984
2010-07-02,0.10101099154625076,0.0716375510707381,0.22583264522579422,0.3295064802079582,0.07201233194925881,0.19999999999999984
2010-07-09,0.10101099154625076,0.0716375510707381,0.22583264522579422,0.3295064802079582,0.07201233194925881,0.19999999999999984
2010-07-16,0.10101099154625076,0.0716375510707381,0.22583264522579422,0.3295064802079582,0.07201233194925881,0.19999999999999984
2010-07-23,0.10101099154625076,0.0716375510707381,0.22583264522579422,0.3295064802079582,0.07201233194925881,0.19999999999999984
2010-07-30,0.11677699130085123,0.07296555054511804,0.23044824697353447,0.31729029798150177,0.06251891319899443,0.20000000000000007
2010-08-06,0.11677699130085123,0.07296555054511804,0.23044824697353447,0.31729029798150177,0.06251891319899443,0.20000000000000007
2010-08-13,0.11677699130085123,0.07296555054511804,0.23044824697353447,0.31729029798150177,0.06251891319899443,0.20000000000000007
2010-08-20,0.11677699130085123,0.07296555054511804,0.23044824697353447,0.31729029798150177,0.06251891319899443,0.20000000000000007
2010-08-27,0.127566032097453,0.07506748055224982,0.23297702740391016,0.307301635172839,0.057087824773548124,0.19999999999999984
2010-09-03,0.127566032097453,0.07506748055224982,0.23297702740391016,0.307301635172839,0.057087824773548124,0.19999999999999984
2010-09-10,0.127566032097453,0.07506748055224982,0.23297702740391016,0.307301635172839,0.057087824773548124,0.19999999999999984
2010-09-17,0.127566032097453,0.07506748055224982,0.23297702740391016,0.307301635172839,0.057087824773548124,0.19999999999999984
2010-09-24,0.14411004013280496,0.08222366676417915,0.2480475995711166,0.3184168571904427,0.05720183634145658,0.1499999999999999
2010-10-01,0.14411004013280496,0.08222366676417915,0.2480475995711166,0.3184168571904427,0.05720183634145658,0.1499999999999999
2010-10-08,0.14411004013280496,0.08222366676417915,0.2480475995711166,0.3184168571904427,0.05720183634145658,0.1499999999999999
2010-10-15,0.14411004013280496,0.08222366676417915,0.2480475995711166,0.3184168571904427,0.05720183634145658,0.1499999999999999
2010-10-22,0.14411004013280496,0.08222366676417915,0.2480475995711166,0.3184168571904427,0.05720183634145658,0.1499999999999999
2010-10-29,0.19938258115691093,0.10566048727487788,0.30032768122400366,0.3191168185920911,0.055512431752116315,0.020000000000000018
2010-11-05,0.19938258115691093,0.10566048727487788,0.30032768122400366,0.3191168185920911,0.055512431752116315,0.020000000000000018
2010-11-12,0.19938258115691093,0.10566048727487788,0.30032768122400366,0.3191168185920911,0.055512431752116315,0.020000000000000018
2010-11-19,0.19938258115691093,0.10566048727487788,0.30032768122400366,0.3191168185920911,0.055512431752116315,0.020000000000000018
2010-11-26,0.1698954318968908,0.08996814098690192,0.25635126356475285,0.2840342247564381,0.04975093879501633,0.15000000000000013
2010-12-03,0.1698954318968908,0.08996814098690192,0.25635126356475285,0.2840342247564381,0.04975093879501633,0.15000000000000013
2010-12-10,0.1698954318968908,0.08996814098690192,0.25635126356475285,0.2840342247564381,0.04975093879501633,0.15000000000000013
2010-12-17,0.1698954318968908,0.08996814098690192,0.25635126356475285,0.2840342247564381,0.04975093879501633,0.15000000000000013
2010-12-24,0.1698954318968908,0.08996814098690192,0.25635126356475285,0.2840342247564381,0.04975093879501633,0.15000000000000013
2010-12-31,0.1414088084235926,0.22029117455420621,0.31073120718355096,0.19668097650038507,0.1308878333382651,0.0
2011-01-07,0.1414088084235926,0.22029117455420621,0.31073120718355096,0.19668097650038507,0.1308878333382651,0.0
2011-01-14,0.1414088084235926,0.22029117455420621,0.31073120718355096,0.19668097650038507,0.1308878333382651,0.0
2011-01-21,0.1414088084235926,0.22029117455420621,0.31073120718355096,0.19668097650038507,0.1308878333382651,0.0
2011-01-28,0.12046401088772185,0.18355365851803584,0.2587857757750258,0.1725660687488433,0.11463048607037321,0.15000000000000002
2011-02-04,0.12046401088772185,0.18355365851803584,0.2587857757750258,0.1725660687488433,0.11463048607037321,0.15000000000000002
2011-02-11,0.12046401088772185,0.18355365851803584,0.2587857757750258,0.1725660687488433,0.11463048607037321,0.15000000000000002
2011-02-18,0.12046401088772185,0.18355365851803584,0.2587857757750258,0.1725660687488433,0.11463048607037321,0.15000000000000002
2011-02-25,0.15411047894297586,0.1440598129625818,0.26040191094755705,0.20266603199149258,0.08876176515539269,0.15000000000000002
2011-03-04,0.15411047894297586,0.1440598129625818,0.26040191094755705,0.20266603199149258,0.08876176515539269,0.15000000000000002
2011-03-11,0.15411047894297586,0.1440598129625818,0.26040191094755705,0.20266603199149258,0.08876176515539269,0.15000000000000002
2011-03-18,0.15411047894297586,0.1440598129625818,0.26040191094755705,0.20266603199149258,0.08876176515539269,0.15000000000000002
2011-03-25,0.17508858722322215,0.11997688237128526,0.2619513029155892,0.21942744106206893,0.0735557864278344,0.15000000000000002
2011-04-01,0.17508858722322215,0.11997688237128526,0.2619513029155892,0.21942744106206893,0.0735557864278344,0.15000000000000002
2011-04-08,0.17508858722322215,0.11997688237128526,0.2619513029155892,0.21942744106206893,0.0735557864278344,0.15000000000000002
2011-04-15,0.17508858722322215,0.11997688237128526,0.2619513029155892,0.21942744106206893,0.0735557864278344,0.15000000000000002
