state,n_weeks,ii_mean_wkly,prod_mean_wkly,delta_mean_wkly,ii_minus_prod_cumulative,candidate
calm_trend,295,0.0007551529560088793,0.0007552175162830647,-6.456027418536795e-08,-7.191471441680974e-05,improved_phaseii_good_state_participation_light
neutral_mixed,493,0.0020788040953329534,0.0020712148039303295,7.589291402623939e-06,0.009562182894272908,improved_phaseii_good_state_participation_light
recovery_confirmed,44,0.0005357588734514799,0.0005399585327544482,-4.199659302968318e-06,-0.0001973774575705356,improved_phaseii_good_state_participation_light
recovery_fragile,49,0.001326298709373955,0.0013236555558595474,2.643153514407656e-06,0.00013643687627795664,improved_phaseii_good_state_participation_light
stressed_panic,229,0.0006821925525669204,0.00068168964870096,5.029038659603658e-07,0.00011480833051646933,improved_phaseii_good_state_participation_light
calm_trend,295,0.0007558289768824529,0.0007552175162830647,6.114605993882451e-07,0.00021843002103549836,improved_phaseii_recovery_confirmed_participation_light
neutral_mixed,493,0.0020727097511598134,0.0020712148039303295,1.4949472294839734e-06,0.0019092277370096333,improved_phaseii_recovery_confirmed_participation_light
recovery_confirmed,44,0.0005332121443064805,0.0005399585327544482,-6.746388447967659e-06,-0.00032777092415647857,improved_phaseii_recovery_confirmed_participation_light
recovery_fragile,49,0.0013235959274100022,0.0013236555558595474,-5.962844954517793e-08,-3.0887980988492103e-06,improved_phaseii_recovery_confirmed_participation_light
stressed_panic,229,0.0006816933427398437,0.00068168964870096,3.694038883702948e-09,1.0138888131283608e-06,improved_phaseii_recovery_confirmed_participation_light
