,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,cash::BIL
2014-02-07,0.1136186422744707,0.19157378086524418,0.2668675533648509,0.06840649922358281,0.20953352427185148,0.15000000000000002
2014-02-14,0.1136186422744707,0.19157378086524418,0.2668675533648509,0.06840649922358281,0.20953352427185148,0.15000000000000002
2014-02-21,0.1136186422744707,0.19157378086524418,0.2668675533648509,0.06840649922358281,0.20953352427185148,0.15000000000000002
2014-02-28,0.11978855682065274,0.19045143967572126,0.2565936104893918,0.06926647253241931,0.2138999204818149,0.1499999999999999
2014-03-07,0.11978855682065274,0.19045143967572126,0.2565936104893918,0.06926647253241931,0.2138999204818149,0.1499999999999999
2014-03-14,0.11978855682065274,0.19045143967572126,0.2565936104893918,0.06926647253241931,0.2138999204818149,0.1499999999999999
2014-03-21,0.11978855682065274,0.19045143967572126,0.2565936104893918,0.06926647253241931,0.2138999204818149,0.1499999999999999
2014-03-28,0.12489767308582442,0.18934453961242342,0.24629515923108625,0.06882537998410333,0.2206372480865626,0.15000000000000002
2014-04-04,0.12489767308582442,0.18934453961242342,0.24629515923108625,0.06882537998410333,0.2206372480865626,0.15000000000000002
2014-04-11,0.12489767308582442,0.18934453961242342,0.24629515923108625,0.06882537998410333,0.2206372480865626,0.15000000000000002
2014-04-18,0.12489767308582442,0.18934453961242342,0.24629515923108625,0.06882537998410333,0.2206372480865626,0.15000000000000002
2014-04-25,0.15492221982315932,0.20603859964204949,0.2467655585631573,0.06561938746916111,0.24665423450247287,0.07999999999999985
2014-05-02,0.15492221982315932,0.20603859964204949,0.2467655585631573,0.06561938746916111,0.24665423450247287,0.07999999999999985
2014-05-09,0.15492221982315932,0.20603859964204949,0.2467655585631573,0.06561938746916111,0.24665423450247287,0.07999999999999985
2014-05-16,0.15492221982315932,0.20603859964204949,0.2467655585631573,0.06561938746916111,0.24665423450247287,0.07999999999999985
2014-05-23,0.15492221982315932,0.20603859964204949,0.2467655585631573,0.06561938746916111,0.24665423450247287,0.07999999999999985
2014-05-30,0.17626586659619795,0.21963228410035485,0.24624267910060618,0.04616803533988779,0.23169113486295337,0.07999999999999996
2014-06-06,0.17626586659619795,0.21963228410035485,0.24624267910060618,0.04616803533988779,0.23169113486295337,0.07999999999999996
2014-06-13,0.17626586659619795,0.21963228410035485,0.24624267910060618,0.04616803533988779,0.23169113486295337,0.07999999999999996
2014-06-20,0.17626586659619795,0.21963228410035485,0.24624267910060618,0.04616803533988779,0.23169113486295337,0.07999999999999996
2014-06-27,0.18458245628193853,0.24267235976183799,0.27282509576230196,0.0457874763472118,0.2541326118467097,0.0
2014-07-04,0.18458245628193853,0.24267235976183799,0.27282509576230196,0.0457874763472118,0.2541326118467097,0.0
2014-07-11,0.18458245628193853,0.24267235976183799,0.27282509576230196,0.0457874763472118,0.2541326118467097,0.0
2014-07-18,0.18458245628193853,0.24267235976183799,0.27282509576230196,0.0457874763472118,0.2541326118467097,0.0
2014-07-25,0.19365113999220315,0.22763217658913898,0.2503789173604811,0.07057662261781064,0.2577611434403661,0.0
2014-08-01,0.19365113999220315,0.22763217658913898,0.2503789173604811,0.07057662261781064,0.2577611434403661,0.0
2014-08-08,0.19365113999220315,0.22763217658913898,0.2503789173604811,0.07057662261781064,0.2577611434403661,0.0
2014-08-15,0.19365113999220315,0.22763217658913898,0.2503789173604811,0.07057662261781064,0.2577611434403661,0.0
2014-08-22,0.19365113999220315,0.22763217658913898,0.2503789173604811,0.07057662261781064,0.2577611434403661,0.0
2014-08-29,0.2213574480715627,0.24132004779104835,0.22703371626677274,0.06085146465168284,0.24943732321893333,0.0
2014-09-05,0.2213574480715627,0.24132004779104835,0.22703371626677274,0.06085146465168284,0.24943732321893333,0.0
2014-09-12,0.2213574480715627,0.24132004779104835,0.22703371626677274,0.06085146465168284,0.24943732321893333,0.0
2014-09-19,0.2213574480715627,0.24132004779104835,0.22703371626677274,0.06085146465168284,0.24943732321893333,0.0
2014-09-26,0.21864661759880466,0.2336977439838535,0.22273750829886657,0.09396462138594194,0.23095350873253334,0.0
2014-10-03,0.21864661759880466,0.2336977439838535,0.22273750829886657,0.09396462138594194,0.23095350873253334,0.0
2014-10-10,0.21864661759880466,0.2336977439838535,0.22273750829886657,0.09396462138594194,0.23095350873253334,0.0
2014-10-17,0.21864661759880466,0.2336977439838535,0.22273750829886657,0.09396462138594194,0.23095350873253334,0.0
2014-10-24,0.21864661759880466,0.2336977439838535,0.22273750829886657,0.09396462138594194,0.23095350873253334,0.0
2014-10-31,0.19219665741923744,0.22678589941966726,0.24647568746667017,0.09677873622585662,0.15776301946856852,0.07999999999999996
2014-11-07,0.19219665741923744,0.22678589941966726,0.24647568746667017,0.09677873622585662,0.15776301946856852,0.07999999999999996
2014-11-14,0.19219665741923744,0.22678589941966726,0.24647568746667017,0.09677873622585662,0.15776301946856852,0.07999999999999996
2014-11-21,0.19219665741923744,0.22678589941966726,0.24647568746667017,0.09677873622585662,0.15776301946856852,0.07999999999999996
2014-11-28,0.172509121475404,0.21083382688494307,0.23622441147213713,0.09442750439785946,0.13600513576965634,0.1499999999999999
2014-12-05,0.172509121475404,0.21083382688494307,0.23622441147213713,0.09442750439785946,0.13600513576965634,0.1499999999999999
2014-12-12,0.172509121475404,0.21083382688494307,0.23622441147213713,0.09442750439785946,0.13600513576965634,0.1499999999999999
2014-12-19,0.172509121475404,0.21083382688494307,0.23622441147213713,0.09442750439785946,0.13600513576965634,0.1499999999999999
2014-12-26,0.1572286868304189,0.19919041567247253,0.22929753454843727,0.09215579547669794,0.12212756747197347,0.19999999999999984
2015-01-02,0.1572286868304189,0.19919041567247253,0.22929753454843727,0.09215579547669794,0.12212756747197347,0.19999999999999984
2015-01-09,0.1572286868304189,0.19919041567247253,0.22929753454843727,0.09215579547669794,0.12212756747197347,0.19999999999999984
2015-01-16,0.1572286868304189,0.19919041567247253,0.22929753454843727,0.09215579547669794,0.12212756747197347,0.19999999999999984
2015-01-23,0.1572286868304189,0.19919041567247253,0.22929753454843727,0.09215579547669794,0.12212756747197347,0.19999999999999984
2015-01-30,0.17131465139501767,0.2542069802915286,0.29480116828531777,0.09860490335286644,0.10107229667526964,0.07999999999999996
2015-02-06,0.17131465139501767,0.2542069802915286,0.29480116828531777,0.09860490335286644,0.10107229667526964,0.07999999999999996
2015-02-13,0.17131465139501767,0.2542069802915286,0.29480116828531777,0.09860490335286644,0.10107229667526964,0.07999999999999996
2015-02-20,0.17131465139501767,0.2542069802915286,0.29480116828531777,0.09860490335286644,0.10107229667526964,0.07999999999999996
2015-02-27,0.1674265514531046,0.2757895761718002,0.3207733102227649,0.08288415228825499,0.07312640986407533,0.07999999999999996
2015-03-06,0.1674265514531046,0.2757895761718002,0.3207733102227649,0.08288415228825499,0.07312640986407533,0.07999999999999996
2015-03-13,0.1674265514531046,0.2757895761718002,0.3207733102227649,0.08288415228825499,0.07312640986407533,0.07999999999999996
2015-03-20,0.1674265514531046,0.2757895761718002,0.3207733102227649,0.08288415228825499,0.07312640986407533,0.07999999999999996
2015-03-27,0.15230567301977177,0.2481593819136102,0.2966315422727443,0.08361778704618976,0.06928561574768403,0.15000000000000002
2015-04-03,0.15230567301977177,0.2481593819136102,0.2966315422727443,0.08361778704618976,0.06928561574768403,0.15000000000000002
2015-04-10,0.15230567301977177,0.2481593819136102,0.2966315422727443,0.08361778704618976,0.06928561574768403,0.15000000000000002
2015-04-17,0.15230567301977177,0.2481593819136102,0.2966315422727443,0.08361778704618976,0.06928561574768403,0.15000000000000002
2015-04-24,0.15716982869801202,0.26339522033131746,0.3224344341844081,0.10146480141885769,0.07553571536740487,0.07999999999999985
2015-05-01,0.15716982869801202,0.26339522033131746,0.3224344341844081,0.10146480141885769,0.07553571536740487,0.07999999999999985
2015-05-08,0.15716982869801202,0.26339522033131746,0.3224344341844081,0.10146480141885769,0.07553571536740487,0.07999999999999985
2015-05-15,0.15716982869801202,0.26339522033131746,0.3224344341844081,0.10146480141885769,0.07553571536740487,0.07999999999999985
2015-05-22,0.15716982869801202,0.26339522033131746,0.3224344341844081,0.10146480141885769,0.07553571536740487,0.07999999999999985
2015-05-29,0.0871267528652023,0.24922808126431312,0.3134983439564079,0.11159050167295627,0.08855632024112035,0.15000000000000002
2015-06-05,0.0871267528652023,0.24922808126431312,0.3134983439564079,0.11159050167295627,0.08855632024112035,0.15000000000000002
