excluded_ticker,holdout_cagr,holdout_sharpe,holdout_sortino,holdout_drawdown,holdout_turnover,full_cagr,full_sharpe,full_drawdown,beats_xlk
NVDA,0.23637240051264308,1.162329847882018,1.763877202127747,-0.2759225689729625,1.448101265822785,0.13428565180656138,0.667634230827143,-0.42059975089840096,False
AMD,0.293094822084607,1.345664969763084,2.0842544580448035,-0.21618841371076924,1.3164556962025316,0.14925213080302324,0.7211039216165955,-0.5300561459420532,False
WMB,0.3205746922046231,1.3447368157937356,2.028618248602892,-0.2875986638475868,1.448101265822785,0.1626746638436498,0.7544965676952816,-0.42842813388784706,True
KMI,0.3226411193177816,1.3468584623299231,2.0464498625410767,-0.27667169393167756,1.2506329113924053,0.17391634533948896,0.7955683747739855,-0.45390531360648145,True
CRM,0.3315115434999589,1.438831941664803,2.16558989548663,-0.24435312999554082,1.2506329113924053,0.18054761985908585,0.8171327273586709,-0.5039466090842291,True
AVGO,0.3321092555641638,1.4395516302947797,2.1152888234155434,-0.24483884549467272,1.2506329113924053,0.16653501784107871,0.7731274794076776,-0.4539053136064817,True
MSFT,0.35624470705328504,1.4842550817382292,2.251973945086028,-0.2540600292982641,1.118987341772152,0.158276705069607,0.7287927012066908,-0.49513859260615356,True
COP,0.35766501374334925,1.4710753349386803,2.222164072217452,-0.23798624885195674,1.1848101265822786,0.1693600234138588,0.7849917496282915,-0.40409910512513325,True
EOG,0.3591535388880631,1.5113864031046318,2.281528073234592,-0.2443531299955406,1.1848101265822786,0.1815667261910987,0.8339476252471715,-0.42059975089840096,True
QCOM,0.3613542214847836,1.5124897175366194,2.2673271857436923,-0.2448388454946726,1.2506329113924053,0.19628949808186302,0.8728478001831672,-0.4400951700223156,True
PSX,0.3613542214847836,1.5124897175366194,2.2673271857436923,-0.2448388454946726,1.2506329113924053,0.18840029453467988,0.8548036848859445,-0.45390531360648145,True
ORCL,0.3613542214847836,1.5124897175366194,2.2673271857436923,-0.2448388454946726,1.2506329113924053,0.16800231721205994,0.7765563260992098,-0.45390531360648145,True
AAPL,0.3613542214847836,1.5124897175366194,2.2673271857436923,-0.2448388454946726,1.2506329113924053,0.1538623832898065,0.7075300666706839,-0.517282869215177,True
IBM,0.3613542214847836,1.5124897175366194,2.2673271857436923,-0.2448388454946726,1.2506329113924053,0.17370985205497536,0.7985517238086498,-0.46313615755120774,True
CVX,0.3613542214847836,1.5124897175366194,2.2673271857436923,-0.2448388454946726,1.2506329113924053,0.1687710804768363,0.781734739570198,-0.4507288639444271,True
CSCO,0.3613542214847836,1.5124897175366194,2.2673271857436923,-0.2448388454946726,1.2506329113924053,0.1588214891065698,0.731129518887666,-0.5106672796517426,True
XOM,0.3613542214847836,1.5124897175366194,2.2673271857436923,-0.2448388454946726,1.2506329113924053,0.17507431569985155,0.8041638722669494,-0.4539053136064817,True
MPC,0.3708244744413858,1.5620748094538761,2.3628782765744067,-0.24483884549467272,1.1848101265822786,0.15570961101552028,0.7342698932771263,-0.4834008775502453,True
OXY,0.37873456739126765,1.575621945512897,2.378555120566628,-0.2448388454946726,1.1848101265822786,0.18513309522494725,0.8489138065624919,-0.42059975089840107,True
SLB,0.3787603804029731,1.5706610034297779,2.488914933637279,-0.26727869964654505,1.2506329113924053,0.15917751708991812,0.7348060357141554,-0.49697370539383556,True
