permutation,holdout_cagr,holdout_sharpe,holdout_sortino,holdout_drawdown,holdout_turnover,full_cagr,full_sharpe,full_drawdown
0,0.12187810664269083,0.6404318969392899,0.8998750364621686,-0.19830309767631715,3.0936708860759494,0.13785141562285186,0.6792333280130778,-0.37704857463325603
1,0.2793822840993436,1.2541726211307527,1.8446456214750808,-0.24969440923538178,2.89620253164557,0.2062093516218635,0.9199911257628736,-0.3971905267426623
2,0.37846322264453214,1.759115681997159,2.827073370252956,-0.1655202484874242,2.8303797468354435,0.22555273918754137,0.9914142188464298,-0.44687537356476537
3,0.3781904670001601,1.6983613112646616,2.610117448471734,-0.24474160604894224,2.632911392405063,0.18841485113881706,0.8667791810882588,-0.46900962082649367
4,0.28139439634456664,1.2797960903082286,1.8829303762453915,-0.21640142161813836,2.962025316455696,0.21593176280471105,0.9611163678623339,-0.38052945209127775
5,0.3628667824112992,1.6000047836863196,2.423128705141632,-0.21903003357796091,2.89620253164557,0.18171067861433055,0.8565753836777757,-0.4044907518968631
6,0.18020471741646604,0.8885455690302255,1.2747404779137441,-0.1862939655539857,2.830379746835443,0.18397561588571731,0.8634500204188712,-0.4419075839131783
7,0.20191271004791034,1.0940688989040468,1.6552036582143117,-0.16015207992904412,2.632911392405063,0.20821891034294593,0.9637389336326126,-0.42268814928724874
8,0.1879508304343147,0.9675724347633453,1.3866091483408922,-0.20043815482988825,3.2911392405063293,0.15818650588481176,0.7621465807490477,-0.3961884727131857
9,0.2669752745137599,1.3533433096479466,2.018434353444819,-0.20823104169981477,2.5012658227848106,0.21766623497204818,1.0185992340478507,-0.42141711520987113
10,0.25684901974982166,1.2587441579294485,1.868232102315328,-0.20889945183407566,3.0936708860759494,0.17288592703417605,0.8312648272991617,-0.4316084454228958
11,0.18562585904915996,0.9664014848723127,1.388984732649081,-0.15620988304796657,3.09367088607595,0.151619779697032,0.7259189643743454,-0.5081722124918555
12,0.18741634382926176,1.0077321712935388,1.5126292641777739,-0.17564217714364738,2.962025316455696,0.2034012275484629,0.9337848246303371,-0.3715866538785497
13,0.234879209113541,1.1567283752448136,1.6511612954047348,-0.1892120809844322,2.8303797468354435,0.16023830053139498,0.7615112106808275,-0.3633082322641945
14,0.2162796185469753,1.0965846868728544,1.5964162575317684,-0.245920933294009,2.632911392405064,0.13998210188785443,0.7085197738665441,-0.43526405180517924
15,0.17240895830528946,0.8707488765964767,1.243546755918598,-0.1875045215303731,3.1594936708860764,0.16475776493648664,0.7978345968458123,-0.42482375391773275
16,0.29148265561002873,1.3238534110055515,1.9428498626153214,-0.20771108914976555,3.0278481012658225,0.1611939408963916,0.7800081054247842,-0.448519182877436
17,0.25063537017467197,1.2195960141113973,1.766135823101006,-0.14339844009692193,3.0278481012658225,0.16519307863744048,0.8053170592788871,-0.44432285903266056
18,0.1871391438698249,1.01602359332165,1.5621573941747262,-0.16337429877403287,2.8303797468354435,0.12446626310960074,0.6389576287354596,-0.4686892537578121
19,0.4230668439223175,1.787780279479881,2.9011729544749865,-0.15524881917213418,2.7645569620253165,0.22365245452370996,1.0192855436941013,-0.4465908164725131
20,0.19028027495067112,0.9346931406709889,1.4116237086618826,-0.30015195708608944,3.225316455696203,0.12265781859830849,0.620151364070606,-0.5146935286393284
21,0.14775562795399577,0.7596952544686877,1.0615387383087622,-0.20546648778097676,2.764556962025316,0.17220532404988287,0.8102108786035445,-0.4140906834278578
22,0.3156079605837212,1.5059057889757592,2.2881350333507537,-0.19297445989386475,2.7645569620253165,0.2233382693129582,1.009218440948436,-0.4140268811289576
