feature,missing_rate
asset_ret_4w,0.5152027027027027
asset_vol_4w,0.5327202202202203
asset_ret_13w,0.5165165165165165
asset_vol_13w,0.534034034034034
asset_ret_26w,0.5195820820820821
asset_vol_26w,0.5370995995995996
asset_ret_52w,0.5252752752752753
asset_vol_52w,0.5427927927927928
asset_mom_multi_avg,0.5152027027027027
asset_mom_agreement_count,0.5143268268268268
asset_trend_acceleration,0.5252752752752753
asset_ma_distance_26w,0.5366616616616616
asset_ma_distance_52w,0.5423548548548549
asset_downside_vol_13w,0.5165165165165165
asset_vol_change_13v26,0.5370995995995996
asset_drawdown_26w,0.5195820820820821
asset_cvar_proxy_26w,0.5195820820820821
asset_vol_adj_mom_26w,0.5370995995995996
asset_trend_consistency_13w,0.5349099099099099
l1_bab_bab_score_tradable,0.5375625625625625
l1_bab_bab_score_asset_class_neutral_tradable,0.5636011011011011
l1_bab_bab_score_observed,0.5371246246246246
l1_breadth_confirmation_breadth_confirmed_momentum_tradable,0.5432307307307307
l1_breadth_confirmation_breadth_confirmed_momentum_score_tradable,0.5432307307307307
l1_breadth_confirmation_breadth_confirmed_momentum_score_observed,0.5427927927927928
l1_carry_carry_yield_trailing_52w_tradable,0.5868368368368369
l1_carry_carry_score_tradable,0.5868368368368369
l1_carry_carry_score_asset_class_neutral_tradable,0.6182182182182182
l1_contained_recovery_contained_recovery_quality_tradable,0.5375375375375375
l1_contained_recovery_contained_recovery_quality_score_tradable,0.5375375375375375
l1_contained_recovery_contained_recovery_quality_score_observed,0.5370995995995996
l1_moving_average_distance_moving_average_distance_tradable,0.5427927927927928
l1_moving_average_distance_moving_average_distance_score_tradable,0.5427927927927928
l1_moving_average_distance_moving_average_distance_score_observed,0.5423548548548549
l1_multi_horizon_mom_multi_mom_equal_score_tradable,0.5546171171171171
l1_multi_horizon_mom_multi_mom_invvol_score_tradable,0.5655655655655656
l1_multi_horizon_mom_multi_mom_equal_score_observed,0.5541791791791791
l1_quality_quality_score_tradable,0.5537412412412412
l1_quality_quality_score_asset_class_neutral_tradable,0.5788538538538539
l1_quality_quality_score_observed,0.5533033033033034
l1_residual_momentum_residual_mom_score_tradable,0.555492992992993
l1_residual_momentum_residual_mom_score_observed,0.555055055055055
l1_reversal_reversal_1w_score_tradable,0.5322822822822822
l1_reversal_reversal_1w_asset_class_neutral_tradable,0.5586211211211212
l1_reversal_reversal_4w_score_tradable,0.5335960960960962
l1_trend_quality_trend_clarity_momentum_raw_tradable,0.5546171171171171
l1_trend_quality_trend_clarity_momentum_score_tradable,0.5546171171171171
l1_trend_quality_trend_clarity_momentum_score_observed,0.5541791791791791
l1_tsmom_tsmom_vol_scaled_tradable,0.5546171171171171
l1_tsmom_tsmom_score_tradable,0.5546171171171171
l1_tsmom_tsmom_score_observed,0.5541791791791791
l1_value_value_score_tradable,0.5769519519519519
l1_value_value_score_asset_class_neutral_tradable,0.6007382382382382
l1_value_value_gap_score_observed,0.576514014014014
l1_xsmom_xsmom_score_tradable,0.5546171171171171
l1_xsmom_xsmom_asset_class_neutral_tradable,0.5796796796796797
l1_xsmom_xsmom_score_observed,0.5541791791791791
regime_risk_regime_score,0.024324324324324326
regime_market_drawdown,0.0009009009009009009
regime_market_trend_positive,0.0009009009009009009
regime_breadth_sma_43,0.0009009009009009009
regime_breadth_26w_mom,0.0009009009009009009
regime_breadth_13w_mom,0.0009009009009009009
regime_breadth_change_4w,0.0045045045045045045
regime_canary_breadth_default,0.0009009009009009009
regime_canary_breadth_pair,0.0009009009009009009
regime_recent_stress_26w,0.0009009009009009009
regime_avg_corr_risk_off_z,0.036036036036036036
regime_google_fear_z_tradable,0.06846846846846846
regime_transition_persistence_prob,0.04594594594594595
regime_transition_good_state_prob,0.04594594594594595
regime_transition_non_stress_prob,0.04594594594594595
state_calm_trend,0.0009009009009009009
state_neutral_mixed,0.0009009009009009009
state_recovery_confirmed,0.0009009009009009009
state_recovery_fragile,0.0009009009009009009
state_stressed_panic,0.0009009009009009009
breadth_ret13_positive,0.0009009009009009009
breadth_ret26_positive,0.0009009009009009009
cross_asset_dispersion_13w,0.005405405405405406
cross_asset_vol_median_13w,0.008108108108108109
cross_asset_mom_spread_13w,0.005405405405405406
offensive_breadth_13w,0.0009009009009009009
defensive_breadth_13w,0.0009009009009009009
leadlag_HYG_minus_LQD_13w,0.005405405405405406
