target,model,state,feature,feature_family,mean_abs_importance
target_stress_transition_4w,decision_tree_depth3,stressed_panic,breadth_ret13_positive_x_state_stressed_panic,regime_state_interaction,0.8255009786000668
target_stress_transition_4w,logistic_l2_balanced,calm_trend,leadlag_HYG_minus_LQD_13w_x_state_calm_trend,regime_state_interaction,0.6723196416538042
target_sleeve_opportunity_top_quantile_4w,logistic_l2,neutral_mixed,breadth_ret13_positive_x_state_neutral_mixed,regime_state_interaction,0.6264908674997953
target_stress_transition_4w,logistic_l2,calm_trend,leadlag_HYG_minus_LQD_13w_x_state_calm_trend,regime_state_interaction,0.6157751083212717
target_sleeve_opportunity_top_quantile_4w,logistic_l2_balanced,neutral_mixed,breadth_ret13_positive_x_state_neutral_mixed,regime_state_interaction,0.5357310561385267
target_sleeve_opportunity_top_quantile_4w,logistic_l2,calm_trend,breadth_ret13_positive_x_state_calm_trend,regime_state_interaction,0.5035793801570666
target_stress_transition_4w,logistic_l2_balanced,neutral_mixed,breadth_ret13_positive_x_state_neutral_mixed,regime_state_interaction,0.46564830217722114
target_stress_transition_4w,logistic_l2,neutral_mixed,breadth_ret13_positive_x_state_neutral_mixed,regime_state_interaction,0.45401234428084647
target_sleeve_opportunity_top_quantile_4w,logistic_l2_balanced,calm_trend,breadth_ret13_positive_x_state_calm_trend,regime_state_interaction,0.41812334294071357
target_stress_transition_4w,logistic_l2_balanced,calm_trend,breadth_ret13_positive_x_state_calm_trend,regime_state_interaction,0.400969878962683
target_sleeve_opportunity_top_quantile_4w,logistic_l2,stressed_panic,sleeve_ret_13w_x_state_stressed_panic,regime_state_interaction,0.40039216229276764
target_etf_forward_top_quantile_4w,logistic_l2_balanced,neutral_mixed,asset_downside_vol_13w_x_state_neutral_mixed,regime_state_interaction,0.398829135229476
target_sleeve_opportunity_top_quantile_4w,logistic_l2,neutral_mixed,sleeve_ret_13w_x_state_neutral_mixed,regime_state_interaction,0.3876783652412837
target_etf_forward_top_quantile_4w,logistic_l2,neutral_mixed,asset_downside_vol_13w_x_state_neutral_mixed,regime_state_interaction,0.3808000384943626
target_stress_transition_4w,logistic_l2,calm_trend,breadth_ret13_positive_x_state_calm_trend,regime_state_interaction,0.3777585982789366
target_stress_transition_4w,logistic_l2,stressed_panic,breadth_ret13_positive_x_state_stressed_panic,regime_state_interaction,0.3743482240918159
target_sleeve_opportunity_top_quantile_4w,logistic_l2_balanced,stressed_panic,sleeve_ret_13w_x_state_stressed_panic,regime_state_interaction,0.32862005813841716
target_state_quality_good_4w,logistic_l2,stressed_panic,leadlag_HYG_minus_LQD_13w_x_state_stressed_panic,regime_state_interaction,0.327008289471409
target_stress_transition_4w,logistic_l2_balanced,stressed_panic,breadth_ret13_positive_x_state_stressed_panic,regime_state_interaction,0.3193636970425029
target_state_quality_good_4w,logistic_l2_balanced,stressed_panic,leadlag_HYG_minus_LQD_13w_x_state_stressed_panic,regime_state_interaction,0.3113851836514313
target_sleeve_opportunity_top_quantile_4w,logistic_l2_balanced,neutral_mixed,sleeve_ret_13w_x_state_neutral_mixed,regime_state_interaction,0.3107883075152585
target_state_quality_good_4w,logistic_l2,calm_trend,breadth_ret13_positive_x_state_calm_trend,regime_state_interaction,0.30228419303046017
target_state_quality_good_4w,logistic_l2,recovery_confirmed,breadth_ret13_positive_x_state_recovery_confirmed,regime_state_interaction,0.29856324531139955
target_stress_transition_4w,logistic_l2,stressed_panic,leadlag_HYG_minus_LQD_13w_x_state_stressed_panic,regime_state_interaction,0.29840398485204156
target_sleeve_opportunity_top_quantile_4w,logistic_l2,calm_trend,sleeve_ret_13w_x_state_calm_trend,regime_state_interaction,0.297418138813917
target_etf_forward_top_quantile_4w,logistic_l2_balanced,calm_trend,asset_downside_vol_13w_x_state_calm_trend,regime_state_interaction,0.2951905032466345
target_sleeve_opportunity_top_quantile_4w,logistic_l2,stressed_panic,breadth_ret13_positive_x_state_stressed_panic,regime_state_interaction,0.28795185866303113
target_stress_transition_4w,logistic_l2_balanced,stressed_panic,leadlag_HYG_minus_LQD_13w_x_state_stressed_panic,regime_state_interaction,0.2780859265179959
target_etf_forward_top_quantile_4w,logistic_l2,calm_trend,asset_downside_vol_13w_x_state_calm_trend,regime_state_interaction,0.27273154752528206
target_etf_forward_top_quantile_4w,logistic_l2_balanced,recovery_confirmed,asset_downside_vol_13w_x_state_recovery_confirmed,regime_state_interaction,0.2720949616355133
