target,model,status,n_oos,feature_count,brier,auc,log_loss,positive_rate,prediction_mean,top_decile_precision,top_decile_recall,calibration_mae,baseline_brier,baseline_auc,brier_delta_vs_baseline,auc_delta_vs_baseline
target_etf_forward_top_quantile_4w,hist_gradient_shallow,SKIPPED_CONTROLLED_RUNTIME_ON_LARGE_PANEL,0,50,,,,,,,,,,,,
target_etf_forward_top_quantile_4w,baseline_state_rate,OK,6768,50,0.18365164492706967,0.4856568975144212,0.5542259529737287,0.241725768321513,0.24269685067994207,0.22395833333333334,0.10513447432762836,0.016222327735329917,0.18365164492706967,0.4856568975144212,0.0,0.0
target_etf_forward_top_quantile_4w,logistic_l2,OK,6768,50,0.18789536702779977,0.5565103278341753,0.5827163700448531,0.241725768321513,0.2531076698345628,0.2880354505169867,0.11919315403422982,0.039637889628370296,0.18365164492706967,0.4856568975144212,0.004243722100730096,0.07085343031975411
target_etf_forward_top_quantile_4w,logistic_l2_balanced,OK,6768,50,0.25375644127900815,0.5598472930764731,0.7240407119796549,0.241725768321513,0.49485871738130877,0.29098966026587886,0.12041564792176039,0.2531292302175359,0.18365164492706967,0.4856568975144212,0.07010479635193848,0.07419039556205187
target_etf_forward_top_quantile_4w,decision_tree_depth3,OK,6768,50,0.18307627877295551,0.5721298787796786,0.5530213250873822,0.241725768321513,0.2448819543226126,0.271830985915493,0.11797066014669927,0.043593334632565685,0.18365164492706967,0.4856568975144212,-0.0005753661541141597,0.08647298126525738
target_etf_forward_top_quantile_4w,random_forest_small,OK,6768,50,0.18078530677098062,0.5770940567549695,0.5458000256698873,0.241725768321513,0.2429334750382224,0.28508124076809455,0.11797066014669927,0.026642100711799083,0.18365164492706967,0.4856568975144212,-0.0028663381560890544,0.0914371592405483
target_etf_forward_risk_adjusted_top_quantile_4w,hist_gradient_shallow,SKIPPED_CONTROLLED_RUNTIME_ON_LARGE_PANEL,0,50,,,,,,,,,,,,
target_etf_forward_risk_adjusted_top_quantile_4w,baseline_state_rate,OK,6768,50,0.20807951238244704,0.5187595504091819,0.6090171775453688,0.2895981087470449,0.2455619882932314,0.2916666666666667,0.125,0.043640582672417515,0.20807951238244704,0.5187595504091819,0.0,0.0
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2,OK,6768,50,0.20736406822560877,0.5593269296071175,0.6194595535093669,0.2895981087470449,0.268805462582831,0.4638109305760709,0.16020408163265307,0.04546730753951788,0.20807951238244704,0.5187595504091819,-0.0007154441568382741,0.04056737919793563
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_balanced,OK,6768,50,0.25867730719894944,0.5576902017046419,0.7258717805531614,0.2895981087470449,0.5085036470722712,0.42688330871491875,0.14744897959183673,0.21891239612164082,0.20807951238244704,0.5187595504091819,0.050597794816502395,0.03893065129546003
target_etf_forward_risk_adjusted_top_quantile_4w,decision_tree_depth3,OK,6768,50,0.1981745932976656,0.5474920094909844,0.6669001877897338,0.2895981087470449,0.27994481886302575,0.5208613728129206,0.19744897959183674,0.03787353932829897,0.20807951238244704,0.5187595504091819,-0.009904919084781444,0.028732459081802553
target_etf_forward_risk_adjusted_top_quantile_4w,random_forest_small,OK,6768,50,0.20182601763225663,0.5690184195558423,0.5932766516978051,0.2895981087470449,0.25957717605527564,0.5191740412979351,0.17959183673469387,0.03298278183294561,0.20807951238244704,0.5187595504091819,-0.006253494750190408,0.050258869146660445
target_sleeve_opportunity_top_quantile_4w,hist_gradient_shallow,SKIPPED_CONTROLLED_RUNTIME_ON_LARGE_PANEL,0,50,,,,,,,,,,,,
target_sleeve_opportunity_top_quantile_4w,baseline_state_rate,OK,5076,50,0.19332561544775498,0.5227876050277868,0.5753097518600107,0.2590622537431048,0.29487138702810356,0.2692307692307692,0.11178707224334601,0.036827101908093705,0.19332561544775498,0.5227876050277868,0.0,0.0
target_sleeve_opportunity_top_quantile_4w,logistic_l2,OK,5076,50,0.19798618005765234,0.519272946378835,0.5900369530411615,0.2590622537431048,0.27498751381323844,0.3484251968503937,0.13460076045627375,0.05961824029584837,0.19332561544775498,0.5227876050277868,0.004660564609897361,-0.0035146586489517295
target_sleeve_opportunity_top_quantile_4w,logistic_l2_balanced,OK,5076,50,0.24354069891033117,0.5212037086649757,0.6846718208924905,0.2590622537431048,0.4663183396280143,0.35039370078740156,0.13536121673003804,0.2072832780424017,0.19332561544775498,0.5227876050277868,0.05021508346257619,-0.001583896362811088
target_sleeve_opportunity_top_quantile_4w,decision_tree_depth3,OK,5076,50,0.19656883369404282,0.5183757050295054,0.5819953140953318,0.2590622537431048,0.29269279858807934,0.31282952548330406,0.13536121673003804,0.04224006649326776,0.19332561544775498,0.5227876050277868,0.0032432182462878434,-0.004411899998281399
target_sleeve_opportunity_top_quantile_4w,random_forest_small,OK,5076,50,0.19329320693556531,0.5147182965455955,0.5752631144870569,0.2590622537431048,0.2893086983274809,0.2829076620825147,0.10950570342205324,0.03229399424425934,0.19332561544775498,0.5227876050277868,-3.240851218966334e-05,-0.008069308482191229
target_state_quality_good_4w,baseline_state_rate,OK,850,50,0.26045138314156663,0.51986611962859,0.7179715407275099,0.49529411764705883,0.44153826680327013,0.4387755102040816,0.1021377672209026,0.10366322830051437,0.26045138314156663,0.51986611962859,0.0,0.0
target_state_quality_good_4w,logistic_l2,OK,850,50,0.29876031028116884,0.5287610251980798,0.8593663880435045,0.49529411764705883,0.4593821737203698,0.5176470588235295,0.10451306413301663,0.1921886110918429,0.26045138314156663,0.51986611962859,0.03830892713960221,0.008894905569489797
target_state_quality_good_4w,logistic_l2_balanced,OK,850,50,0.29350244118047425,0.5299680525333732,0.8348484819334511,0.49529411764705883,0.5143287246238373,0.5294117647058824,0.10688836104513064,0.17071926420580863,0.26045138314156663,0.51986611962859,0.03305105803890762,0.010101932904783228
target_state_quality_good_4w,decision_tree_depth3,OK,850,50,0.2911524232854833,0.5242097569888544,1.1001816507197115,0.49529411764705883,0.4548635927267381,0.4235294117647059,0.0855106888361045,0.15604669476451236,0.26045138314156663,0.51986611962859,0.03070104014391667,0.004343637360264441
target_state_quality_good_4w,random_forest_small,OK,850,50,0.2543769616503796,0.5049111616807579,0.7021239263527739,0.49529411764705883,0.44990237545210676,0.5294117647058824,0.10688836104513064,0.065135105401225,0.26045138314156663,0.51986611962859,-0.006074421491187032,-0.014954957947832082
target_state_quality_good_4w,hist_gradient_shallow,OK,850,50,0.25367573805716437,0.5310062067781782,0.7010559521462052,0.49529411764705883,0.4402551805957965,0.5730337078651685,0.12114014251781473,0.05436335411679721,0.26045138314156663,0.51986611962859,-0.00677564508440226,0.011140087149588251
