candidate_signal_name,feature_formula,feature_family,targets_where_it_worked,models_where_it_appeared,oos_evidence,stability_evidence,state_specific_evidence,redundancy_score,economic_interpretation,causal,suggested_next_test_phase,signal_category,discovery_score
ooo_candidate_state_recovery_confirmed,state_recovery_confirmed,regime_state,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.11846444757474328,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,HIGH_PRIORITY_TEST,3.2325000000000004
ooo_candidate_regime_market_drawdown,regime_market_drawdown,regime_state,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.2036146415671443,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,HIGH_PRIORITY_TEST,3.1950000000000003
ooo_candidate_breadth_ret13_positive_x_state_neutral_mixed,breadth_ret13_positive_x_state_neutral_mixed,regime_state_interaction,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,state interaction,0.179508772072735,state-specific feature gate,True,OOO5 triple-barrier/meta-label validation,STATE_SPECIFIC_ONLY,3.1025
ooo_candidate_regime_recent_stress_26w,regime_recent_stress_26w,regime_state,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.19989435246177148,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,HIGH_PRIORITY_TEST,3.0475000000000003
ooo_candidate_breadth_ret13_positive_x_state_stressed_panic,breadth_ret13_positive_x_state_stressed_panic,regime_state_interaction,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,state interaction,0.19053519780436232,state-specific feature gate,True,OOO5 triple-barrier/meta-label validation,STATE_SPECIFIC_ONLY,3.0425
ooo_candidate_state_stressed_panic,state_stressed_panic,regime_state,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.27819182581014457,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,HIGH_PRIORITY_TEST,2.9975000000000005
ooo_candidate_leadlag_EFA_minus_SPY_13w,leadlag_EFA_minus_SPY_13w,cross_asset_lead_lag,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.10342708840178082,cross-asset relative strength / lead-lag risk timing,True,OOO2 cross-asset signal expansion,HIGH_PRIORITY_TEST,2.9975
ooo_candidate_breadth_ret13_positive_x_state_calm_trend,breadth_ret13_positive_x_state_calm_trend,regime_state_interaction,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,state interaction,0.22351747516965229,state-specific feature gate,True,OOO5 triple-barrier/meta-label validation,STATE_SPECIFIC_ONLY,2.9425000000000003
ooo_candidate_regime_canary_breadth_pair,regime_canary_breadth_pair,regime_state,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.10281967843847051,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,HIGH_PRIORITY_TEST,2.9275
ooo_candidate_leadlag_DBA_minus_SPY_13w,leadlag_DBA_minus_SPY_13w,cross_asset_lead_lag,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.17846855971211556,cross-asset relative strength / lead-lag risk timing,True,OOO2 cross-asset signal expansion,HIGH_PRIORITY_TEST,2.92
ooo_candidate_leadlag_GLD_minus_SPY_13w,leadlag_GLD_minus_SPY_13w,cross_asset_lead_lag,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.24065991531019634,cross-asset relative strength / lead-lag risk timing,True,OOO2 cross-asset signal expansion,HIGH_PRIORITY_TEST,2.915
ooo_candidate_breadth_ret13_positive_x_state_recovery_confirmed,breadth_ret13_positive_x_state_recovery_confirmed,regime_state_interaction,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,state interaction,0.11865202571199945,state-specific feature gate,True,OOO5 triple-barrier/meta-label validation,STATE_SPECIFIC_ONLY,2.8775000000000004
ooo_candidate_breadth_ret26_positive,breadth_ret26_positive,breadth_dispersion,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.28823137479368904,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,HIGH_PRIORITY_TEST,2.8375
ooo_candidate_leadlag_HYG_minus_LQD_13w_x_state_calm_trend,leadlag_HYG_minus_LQD_13w_x_state_calm_trend,regime_state_interaction,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,state interaction,0.10835419611096282,state-specific feature gate,True,OOO5 triple-barrier/meta-label validation,STATE_SPECIFIC_ONLY,2.8175
ooo_candidate_regime_market_trend_positive,regime_market_trend_positive,regime_state,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.28407546667094624,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,HIGH_PRIORITY_TEST,2.805
ooo_candidate_defensive_breadth_13w,defensive_breadth_13w,breadth_dispersion,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.12256809838095313,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,HIGH_PRIORITY_TEST,2.805
ooo_candidate_regime_breadth_13w_mom,regime_breadth_13w_mom,regime_state,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.295340899449611,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,PROMISING_BUT_NEEDS_VALIDATION,2.8025
ooo_candidate_state_calm_trend,state_calm_trend,regime_state,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.22000927791895586,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,PROMISING_BUT_NEEDS_VALIDATION,2.8025
ooo_candidate_state_neutral_mixed,state_neutral_mixed,regime_state,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.16087243142436936,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,PROMISING_BUT_NEEDS_VALIDATION,2.79
ooo_candidate_regime_breadth_sma_43,regime_breadth_sma_43,regime_state,target_etf_forward_risk_adjusted_top_quantile_4w|target_etf_forward_top_quantile_4w|target_sleeve_opportunity_top_quantile_4w|target_state_quality_good_4w|target_stress_transition_4w,decision_tree_depth3|logistic_l2|logistic_l2_balanced|random_forest_small,best_auc_delta=0.0914; best_brier_delta=-0.0099,folds=33; targets=5; models=4,not explicitly state-specific,0.306829404714243,cross-asset feature candidate for Layer 1 research,True,OOO2 cross-asset signal expansion,PROMISING_BUT_NEEDS_VALIDATION,2.785
