feature,mean_abs_importance,max_abs_importance,fold_count,target_count,model_count,sign_consistency,feature_family,oos_auc_delta,oos_brier_delta,avg_abs_redundancy_top_features,max_abs_redundancy_top_features,discovery_score
state_recovery_confirmed,0.16757174081472093,0.8775000227694535,33,5,4,0.806060606060606,regime_state,0.0914371592405483,-0.009904919084781444,0.11846444757474328,0.9955534424224762,3.2325000000000004
regime_market_drawdown,0.20449258384953936,1.5132365539553452,33,5,4,0.03636363636363636,regime_state,0.0914371592405483,-0.009904919084781444,0.2036146415671443,0.712196234424613,3.1950000000000003
breadth_ret13_positive_x_state_neutral_mixed,0.15697686413340323,0.8362037067940534,33,5,4,0.3212121212121212,regime_state_interaction,0.0914371592405483,-0.009904919084781444,0.179508772072735,0.9044820092322436,3.1025
regime_recent_stress_26w,0.1537310481743654,1.3393333922883406,33,5,4,0.21212121212121213,regime_state,0.0914371592405483,-0.009904919084781444,0.19989435246177148,0.5185135308059564,3.0475000000000003
breadth_ret13_positive_x_state_stressed_panic,0.151358785751563,0.9322397590043899,33,5,4,0.37575757575757573,regime_state_interaction,0.0914371592405483,-0.009904919084781444,0.19053519780436232,0.8562468719547802,3.0425
state_stressed_panic,0.16139080211488774,0.9136084792606407,33,5,4,0.3939393939393939,regime_state,0.0914371592405483,-0.009904919084781444,0.27819182581014457,0.8562468719547802,2.9975000000000005
leadlag_EFA_minus_SPY_13w,0.11552416096415107,0.9603893667653518,33,5,4,0.006060606060606061,cross_asset_lead_lag,0.0914371592405483,-0.009904919084781444,0.10342708840178082,0.6772883639163564,2.9975
breadth_ret13_positive_x_state_calm_trend,0.14612247104370238,0.7276589618525972,33,5,4,0.18787878787878787,regime_state_interaction,0.0914371592405483,-0.009904919084781444,0.22351747516965229,0.9775156228947439,2.9425000000000003
regime_canary_breadth_pair,0.0989594039047873,1.1747185202018502,33,5,4,0.09090909090909091,regime_state,0.0914371592405483,-0.009904919084781444,0.10281967843847051,0.49480298549178126,2.9275
leadlag_DBA_minus_SPY_13w,0.13191462525241732,1.2985432273198878,33,5,4,0.0,cross_asset_lead_lag,0.0914371592405483,-0.009904919084781444,0.17846855971211556,0.6770697587925917,2.92
leadlag_GLD_minus_SPY_13w,0.14361466316980917,1.3235149169255533,33,5,4,0.24848484848484848,cross_asset_lead_lag,0.0914371592405483,-0.009904919084781444,0.24065991531019634,0.7342461307511403,2.915
