model_name,target,task,epoch,train_loss,validation_loss,best_epoch_so_far,early_stop_triggered
mlp_classifier_top_quintile_forward_4w,top_quintile_forward_4w,classification,1,1.0820039883255959,1.0645417372385662,1,False
mlp_classifier_top_quintile_forward_4w,top_quintile_forward_4w,classification,2,1.0552004426717758,1.0577627420425415,2,False
mlp_classifier_top_quintile_forward_4w,top_quintile_forward_4w,classification,3,1.0390565395355225,1.055851697921753,3,False
mlp_classifier_top_quintile_forward_4w,top_quintile_forward_4w,classification,4,1.0292054116725922,1.0559136470158894,3,False
mlp_classifier_top_quintile_forward_4w,top_quintile_forward_4w,classification,5,1.0191555209457874,1.0599583784739177,3,False
mlp_classifier_top_quintile_forward_4w,top_quintile_forward_4w,classification,6,1.011359814554453,1.061758557955424,3,False
mlp_classifier_top_quintile_forward_4w,top_quintile_forward_4w,classification,7,1.0031257793307304,1.0623703400293987,3,False
mlp_classifier_top_quintile_forward_4w,top_quintile_forward_4w,classification,8,0.9957326427102089,1.0734316905339558,3,False
mlp_classifier_top_quintile_forward_4w,top_quintile_forward_4w,classification,9,0.9869696907699108,1.075124462445577,3,True
mlp_classifier_beats_SPY_4w,beats_SPY_4w,classification,1,0.7286277525126934,0.7154125372568766,1,False
mlp_classifier_beats_SPY_4w,beats_SPY_4w,classification,2,0.7194966860115528,0.7160464326540629,1,False
mlp_classifier_beats_SPY_4w,beats_SPY_4w,classification,3,0.7137256823480129,0.7121514479319254,3,False
mlp_classifier_beats_SPY_4w,beats_SPY_4w,classification,4,0.707606878131628,0.7167797485987345,3,False
mlp_classifier_beats_SPY_4w,beats_SPY_4w,classification,5,0.7021625973284245,0.7206165989240011,3,False
mlp_classifier_beats_SPY_4w,beats_SPY_4w,classification,6,0.6963398084044456,0.7330562671025594,3,False
mlp_classifier_beats_SPY_4w,beats_SPY_4w,classification,7,0.6901426389813423,0.734617551167806,3,False
mlp_classifier_beats_SPY_4w,beats_SPY_4w,classification,8,0.6852256134152412,0.7391911745071411,3,False
mlp_classifier_beats_SPY_4w,beats_SPY_4w,classification,9,0.6795871295034885,0.7479985356330872,3,True
mlp_regressor_forward_return_4w,forward_return_4w,regression,1,0.3427011538296938,0.22356918454170227,1,False
mlp_regressor_forward_return_4w,forward_return_4w,regression,2,0.328834967687726,0.22976322968800864,1,False
mlp_regressor_forward_return_4w,forward_return_4w,regression,3,0.315053004771471,0.23332129418849945,1,False
mlp_regressor_forward_return_4w,forward_return_4w,regression,4,0.30094014294445515,0.24746994177500406,1,False
mlp_regressor_forward_return_4w,forward_return_4w,regression,5,0.28785475715994835,0.25058868527412415,1,False
mlp_regressor_forward_return_4w,forward_return_4w,regression,6,0.277742400765419,0.25036372741063434,1,False
mlp_regressor_forward_return_4w,forward_return_4w,regression,7,0.2666356982663274,0.26052113870779675,1,True
deep_dropout_mlp_classifier_top_quintile_forward_4w,top_quintile_forward_4w,classification,1,1.0853644013404846,1.0593580802281697,1,False
deep_dropout_mlp_classifier_top_quintile_forward_4w,top_quintile_forward_4w,classification,2,1.0596116557717323,1.0520727634429932,2,False
deep_dropout_mlp_classifier_top_quintile_forward_4w,top_quintile_forward_4w,classification,3,1.0433530882000923,1.0490366220474243,3,False
deep_dropout_mlp_classifier_top_quintile_forward_4w,top_quintile_forward_4w,classification,4,1.0308677107095718,1.0500088930130005,3,False
deep_dropout_mlp_classifier_top_quintile_forward_4w,top_quintile_forward_4w,classification,5,1.0218592956662178,1.0520205895105998,3,False
deep_dropout_mlp_classifier_top_quintile_forward_4w,top_quintile_forward_4w,classification,6,1.0115851610898972,1.0595021645228069,3,False
deep_dropout_mlp_classifier_top_quintile_forward_4w,top_quintile_forward_4w,classification,7,1.002272792160511,1.066206455230713,3,False
deep_dropout_mlp_classifier_top_quintile_forward_4w,top_quintile_forward_4w,classification,8,0.9966467060148716,1.0690184036890666,3,False
deep_dropout_mlp_classifier_top_quintile_forward_4w,top_quintile_forward_4w,classification,9,0.9904828704893589,1.0798064470291138,3,True
