source,trailing_3y_50bps_cagr,trailing_3y_50bps_sharpe,trailing_3y_100bps_cagr,full_50bps_cagr,recent_drawdown,full_correlation_to_ceiling,gate_recent_return,gate_cost_stress,gate_full_return,gate_correlation,gate_drawdown,qualified
trend_consistency_top3,0.26065458890315885,1.32131702986465,0.24077974467526286,0.08548796040711326,-0.19119359552828197,0.810147259458724,True,True,True,True,True,True
momentum_acceleration_top3,0.1357840687802585,0.824036742993301,0.09297801489988622,0.025279219860580904,-0.1701098289123023,0.48897864426338333,True,True,True,True,True,True
multi_horizon_strength_top6,0.13222769220873976,0.9412682705683845,0.10636231118150818,0.08257638870446704,-0.12946832635595806,0.8422649039343262,True,True,True,True,True,True
multi_horizon_strength_top3,0.12453687591706641,0.7245293634159357,0.09790393722435953,0.0764866565186737,-0.272424453772511,0.7610507271537325,True,True,True,True,True,True
residual_momentum_top3,0.11952034640601727,0.7587074853867314,0.0853630100315741,0.06057713950092336,-0.1806353526181812,0.6190621178120277,True,True,True,True,True,True
residual_momentum_top6,0.11669384764604396,0.9699557166378893,0.09293965025933071,0.06349099477812814,-0.12623657156087176,0.703542290299262,True,True,True,True,True,True
trend_consistency_top6,0.21120717771350028,1.3812672971808262,0.19127965225430854,0.0807870953990728,-0.1339694804211765,0.9256092309849969,True,True,True,False,True,False
downside_adjusted_momentum_top3,0.1009498879533508,0.8748898531679525,0.07901068874695727,0.03230537014414825,-0.14784427998072536,0.7831578797273667,True,False,True,True,True,False
downside_adjusted_momentum_top6,0.09270393116449704,0.9597452997374241,0.07039948209960323,0.04584987971420884,-0.07628191186590083,0.8678970613683518,False,False,True,True,True,False
momentum_acceleration_top6,0.07161053575823506,0.6065638117091263,0.03298820619290965,0.030627313708643245,-0.1369511399133715,0.5712907659790767,False,False,True,True,True,False
breakout_52w_top3,0.06102714352511063,0.528386889566705,0.016459917636751253,0.014706924433160129,-0.14800041457797053,0.6630186020019083,False,False,False,True,True,False
breakout_52w_top6,0.05168413576885156,0.5696219341558848,0.013147562789588285,0.03649966210170019,-0.08720663194896061,0.6938698042489694,False,False,True,True,True,False
reversal_4w_top6,0.036187661765464174,0.32390002341203056,-0.011217821180930843,-0.011717611524072025,-0.19139327799330064,0.5385458840134036,False,False,False,True,True,False
risk_adjusted_13w_top6,0.013608147529642345,0.18412122716299245,-0.020690231457412778,0.046614275994035115,-0.16302479158803307,0.7004892991626713,False,False,True,True,True,False
risk_adjusted_13w_top3,-0.0004460331116016292,0.0730754464059833,-0.039287386003083125,0.03541176971400639,-0.23681857169746012,0.6227180201462449,False,False,True,True,True,False
reversal_4w_top3,-0.015902040541147522,-0.010746191795530774,-0.06681780927014958,-0.028839278942723867,-0.2109799831513378,0.45939516291194815,False,False,False,True,True,False
