candidate,source,source_weight,trailing_1y_cagr,trailing_2y_cagr,trailing_3y_cagr,trailing_3y_cagr_vs_ceiling,trailing_3y_sharpe,trailing_3y_100bps_cagr,recent_drawdown,full_cagr,full_drawdown,rolling_win_share,rolling_median_cagr_difference,rolling_worst_cagr_difference,raw_pvalue,adjusted_pvalue_64_trials,gate_parent_source,gate_three_year_return,gate_one_year_guard,gate_two_year_guard,gate_cost_stress,gate_recent_drawdown,gate_full_drawdown,gate_rolling_win_share,gate_adjusted_pvalue,qualified
blend::trend_consistency_top3::0.6,trend_consistency_top3,0.6,0.3544630028876561,0.2871382916281191,0.2410225495464844,0.0355479435498991,1.4745188492840253,0.22267371534691804,-0.13396271044424823,0.0838710379419203,-0.3060956143214171,0.5526315789473685,0.008583910519659121,-0.09726211295455889,0.1773940868637712,1.0,True,True,True,True,True,True,True,True,False,False
blend::trend_consistency_top3::0.4,trend_consistency_top3,0.4,0.3317129466978419,0.2722966762066088,0.22996552450642205,0.024490918509836757,1.531365851651212,0.21228591536120156,-0.12606686205088347,0.08215028581468364,-0.2612628876427364,0.5526315789473685,0.0062375206030436114,-0.06483927497144415,0.1784273857538082,1.0,True,True,True,True,True,True,True,True,False,False
blend::trend_consistency_top3::0.2,trend_consistency_top3,0.2,0.3074454351111846,0.25655922639305473,0.21815541081844692,0.012680804821861624,1.5509088320363666,0.20112526984639123,-0.11957848925050696,0.0798145385495741,-0.2513480590609073,0.5526315789473685,0.0034240052834864088,-0.03238450516236302,0.17816072797573415,1.0,True,True,True,True,True,True,True,True,False,False
blend::trend_consistency_top6::0.6,trend_consistency_top6,0.6,0.2566852272881408,0.24904692076995816,0.20993412774456033,0.004459521747975037,1.468467751785512,0.19176052489795103,-0.12079926697974086,0.07987655698748575,-0.2694041340882519,0.618421052631579,0.006267758371344523,-0.04103324791298801,0.40771974267524413,1.0,False,False,False,True,True,True,True,True,False,False
blend::trend_consistency_top6::0.4,trend_consistency_top6,0.4,0.2655404242917965,0.24647913815208233,0.20884948390214642,0.0033748779055611244,1.4976863517200836,0.19141562014455293,-0.1182297434245122,0.0790816795725453,-0.26011013131926564,0.618421052631579,0.004442062832807903,-0.02728945481323919,0.4084863837872071,1.0,False,False,False,True,True,True,True,True,False,False
blend::trend_consistency_top6::0.2,trend_consistency_top6,0.2,0.2740704662936262,0.24352910455137655,0.2074611801145967,0.001986574118011397,1.5136883882037944,0.19066856489319028,-0.11565616402059498,0.07804272542987456,-0.25077391870892796,0.618421052631579,0.002391682008255014,-0.013581580250747516,0.3926869104363188,1.0,False,False,True,True,True,True,True,True,False,False
blend::momentum_acceleration_top3::0.2,momentum_acceleration_top3,0.2,0.3147266372539841,0.24497522721026743,0.19639367248170503,-0.009080933514880263,1.5673093332862507,0.17635015163156265,-0.09230911888989812,0.06937755840661253,-0.24101319513901065,0.3157894736842105,-0.007936357774565805,-0.047414421776265536,0.6438118729375687,1.0,True,False,True,True,False,True,True,False,False,False
blend::multi_horizon_strength_top6::0.2,multi_horizon_strength_top6,0.2,0.26372868526107185,0.22955655023732224,0.19251733977090346,-0.01295726622568183,1.4425243440551898,0.17540198024453102,-0.1117891008072548,0.07910576219694154,-0.2517555251139144,0.7763157894736842,0.004635362135183452,-0.013665367028150799,0.9385687143761875,1.0,True,False,False,False,False,True,True,True,False,False
blend::multi_horizon_strength_top3::0.2,multi_horizon_strength_top3,0.2,0.2516759555367787,0.22737903648519042,0.19120518459234925,-0.014269421404236038,1.395490458516893,0.17317065041672675,-0.11957848925050685,0.07837260556430126,-0.2513588611403297,0.6842105263157895,0.0037118328950557222,-0.01498547141698836,0.7608079730675644,1.0,True,False,False,False,False,True,True,True,False,False
blend::residual_momentum_top3::0.2,residual_momentum_top3,0.2,0.250178301135179,0.21347089359752314,0.19038789210453566,-0.01508671389204963,1.442119018220211,0.1709126357627624,-0.11726914770586061,0.07585187311339925,-0.22933821550758127,0.4868421052631579,-0.00020108367638738134,-0.03131038893940086,0.9238358721375954,1.0,True,False,False,False,False,True,True,True,False,False
blend::residual_momentum_top6::0.2,residual_momentum_top6,0.2,0.2550815588705826,0.21500550478017533,0.1884412270369391,-0.017033378959646184,1.4721126674732965,0.17083961473996712,-0.11570958153115096,0.07531560309505525,-0.22557434873715132,0.4473684210526316,-0.0004894549249073732,-0.01917305636247968,0.9875004166527782,1.0,True,False,False,False,False,True,True,False,False,False
