,weight
XLK,0.2511659884125179
XLE,0.24110876215124805
IWM,0.115892427070965
USO,0.10772524943623411
EWJ,0.07495399690172289
QQQ,0.06781739256161329
VEA,0.06571835648106786
PDBC,0.04590916157543197
GLD,0.029708665409199007
