source,first_hash,second_hash,deterministic
breakout_52w_top3,e5c8afdd702897ef58cbc6cc0f8fa478413aa2f59cb23a4b7c7bf1f5cb746e83,e5c8afdd702897ef58cbc6cc0f8fa478413aa2f59cb23a4b7c7bf1f5cb746e83,True
breakout_52w_top6,86f599d1c711ac934c9dea5f759f758f6a03dcd29f350f50cbc661553c19c3b0,86f599d1c711ac934c9dea5f759f758f6a03dcd29f350f50cbc661553c19c3b0,True
momentum_acceleration_top3,1776bfccf82171b3400ce48b18e2207ee54d21bd108fca7df8ffef1e906e5c60,1776bfccf82171b3400ce48b18e2207ee54d21bd108fca7df8ffef1e906e5c60,True
momentum_acceleration_top6,acfedd33cae21fa95af22a215a58015dedf08bfef70033415d2ed1cc2f3db46e,acfedd33cae21fa95af22a215a58015dedf08bfef70033415d2ed1cc2f3db46e,True
downside_adjusted_momentum_top3,4e6e56351944cac646d26093025b0cc090ebeabd3fd333d4d0c6e8065ac31b0f,4e6e56351944cac646d26093025b0cc090ebeabd3fd333d4d0c6e8065ac31b0f,True
downside_adjusted_momentum_top6,852e1802c221484f0f13c3e3e5359305bfd2dc60d0858673516e69f03b8303d0,852e1802c221484f0f13c3e3e5359305bfd2dc60d0858673516e69f03b8303d0,True
trend_consistency_top3,e78495efb6603d932eec4ee411eeeca2ed419367ca540677d7e6805266debae7,e78495efb6603d932eec4ee411eeeca2ed419367ca540677d7e6805266debae7,True
trend_consistency_top6,fff94c2719113220653082836bf454d5cf29b2ed31d50f5fe5ce1e046c6f9fdc,fff94c2719113220653082836bf454d5cf29b2ed31d50f5fe5ce1e046c6f9fdc,True
reversal_4w_top3,864778191b8b8ef2ee63aea3c9acec11870a5cc641c3f1c14dc8bc3d8c64527c,864778191b8b8ef2ee63aea3c9acec11870a5cc641c3f1c14dc8bc3d8c64527c,True
reversal_4w_top6,91caffb3af6e84b3d779f4e2436f60a2f2debc6ea687aba71ec58806717839b5,91caffb3af6e84b3d779f4e2436f60a2f2debc6ea687aba71ec58806717839b5,True
risk_adjusted_13w_top3,0e7804a133da30557a5fdd838d62d4841c9c56e2ffd82754f0b419e9693ce747,0e7804a133da30557a5fdd838d62d4841c9c56e2ffd82754f0b419e9693ce747,True
risk_adjusted_13w_top6,7bf888320d2b0fab69619d30f578256401972ff3df58ed0d86be7089e67928b5,7bf888320d2b0fab69619d30f578256401972ff3df58ed0d86be7089e67928b5,True
multi_horizon_strength_top3,5d1a3e46fb0d49da6d3a0a02e14896e2c778c688609c60aeede27dbf6cd2f5e1,5d1a3e46fb0d49da6d3a0a02e14896e2c778c688609c60aeede27dbf6cd2f5e1,True
multi_horizon_strength_top6,98c8e7dc06d92e71ddef3db7b29b08d09d1b6082e5a32e56be07e9c35d354aa4,98c8e7dc06d92e71ddef3db7b29b08d09d1b6082e5a32e56be07e9c35d354aa4,True
residual_momentum_top3,16ba208796ea1ec81d641443933868cc4781a524a26402c52c0df828af4cb8de,16ba208796ea1ec81d641443933868cc4781a524a26402c52c0df828af4cb8de,True
residual_momentum_top6,bb2bcdded89c51fe515a1fcdfd63f64975c498a9fd334fd84803079cdb5649df,bb2bcdded89c51fe515a1fcdfd63f64975c498a9fd334fd84803079cdb5649df,True
