candidate,cost_bps,window,weeks,start,end,cagr,sharpe_zero_rf,sortino_zero_target,max_drawdown,annual_one_way_turnover
aggressive_ceiling,50,full,1127,2005-01-07,2026-08-07,0.07664141402285574,0.6556850118256651,0.9352644932391769,-0.24139541504841755,2.7980462878776504
aggressive_ceiling,50,trailing_1y,53,2025-08-08,2026-08-07,0.28175793182776077,1.8353782357752615,2.830304831120242,-0.11307852627843595,2.1954702451742483
aggressive_ceiling,50,trailing_2y,105,2024-08-09,2026-08-07,0.23989188473499912,1.6565315479607763,2.559789962258897,-0.11307852627843595,2.5570923658991602
aggressive_ceiling,50,trailing_3y,157,2023-08-11,2026-08-07,0.2054746059965853,1.5128199384695533,2.3881103829364045,-0.11307852627843573,2.7633587009546767
aggressive_ceiling,50,post_2024,136,2024-01-05,2026-08-07,0.2213110206974942,1.6338039547599328,2.530968496956909,-0.11307852627843573,2.6869311697206775
aggressive_ceiling,100,full,1127,2005-01-07,2026-08-07,0.061705990962723334,0.5432337681369502,0.7674467982056219,-0.24312942325120923,2.7980462878776504
aggressive_ceiling,100,trailing_1y,53,2025-08-08,2026-08-07,0.2678436749043698,1.758806824192615,2.6911340233185266,-0.11366732979077687,2.1954702451742483
aggressive_ceiling,100,trailing_2y,105,2024-08-09,2026-08-07,0.2241103614733102,1.556088351647796,2.382311248124419,-0.11366732979077665,2.5570923658991602
aggressive_ceiling,100,trailing_3y,157,2023-08-11,2026-08-07,0.1889362067062963,1.402340539586256,2.1884065017015226,-0.11366732979077665,2.7633587009546767
aggressive_ceiling,100,post_2024,136,2024-01-05,2026-08-07,0.20500349251255323,1.5233365494301463,2.335248476583683,-0.11366732979077665,2.6869311697206775
standalone::breakout_52w_top3,50,full,1127,2005-01-07,2026-08-07,0.014706924433160129,0.18017074640653422,0.2441043579893805,-0.2725022121422669,8.348677266573574
standalone::breakout_52w_top3,50,trailing_1y,53,2025-08-08,2026-08-07,0.05205549817522792,0.4336793933778635,0.6047943235685665,-0.14800041457797075,7.0276325425717365
standalone::breakout_52w_top3,50,trailing_2y,105,2024-08-09,2026-08-07,0.05325173290339147,0.46015154414891496,0.6464143577986642,-0.14800041457797075,8.125682546594199
standalone::breakout_52w_top3,50,trailing_3y,157,2023-08-11,2026-08-07,0.06102714352511063,0.528386889566705,0.7453489966730025,-0.14800041457797053,8.500516971330333
standalone::breakout_52w_top3,50,post_2024,136,2024-01-05,2026-08-07,0.0975093597939285,0.7732310098323714,1.1086820083857565,-0.14800041457797064,8.26603198779284
standalone::breakout_52w_top3,100,full,1127,2005-01-07,2026-08-07,-0.026939228841671436,-0.15354523167371364,-0.20246433506556352,-0.5170620521127882,8.348677266573574
standalone::breakout_52w_top3,100,trailing_1y,53,2025-08-08,2026-08-07,0.015545758346781069,0.1792052893351918,0.2463138009593246,-0.15241020285221962,7.0276325425717365
standalone::breakout_52w_top3,100,trailing_2y,105,2024-08-09,2026-08-07,0.010875894708864742,0.14737258859825939,0.201699126316155,-0.15241020285221962,8.125682546594199
standalone::breakout_52w_top3,100,trailing_3y,157,2023-08-11,2026-08-07,0.016459917636751253,0.19015936736114464,0.2595321421825525,-0.15241020285221973,8.500516971330333
standalone::breakout_52w_top3,100,post_2024,136,2024-01-05,2026-08-07,0.05265190416915,0.4476972818994879,0.6225970260655664,-0.15241020285221973,8.26603198779284
blend::breakout_52w_top3::0.2,50,full,1127,2005-01-07,2026-08-07,0.067303785726323,0.6130595759412568,0.8638323226286287,-0.2325826413125971,3.4481361146552634
