source,cutoff,maximum_weight_difference,prefix_pass
breakout_52w_top3,2025-12-26,0.0,True
breakout_52w_top6,2025-12-26,0.0,True
momentum_acceleration_top3,2025-12-26,0.0,True
momentum_acceleration_top6,2025-12-26,0.0,True
downside_adjusted_momentum_top3,2025-12-26,0.0,True
downside_adjusted_momentum_top6,2025-12-26,0.0,True
trend_consistency_top3,2025-12-26,0.0,True
trend_consistency_top6,2025-12-26,0.0,True
reversal_4w_top3,2025-12-26,0.0,True
reversal_4w_top6,2025-12-26,0.0,True
risk_adjusted_13w_top3,2025-12-26,0.0,True
risk_adjusted_13w_top6,2025-12-26,0.0,True
multi_horizon_strength_top3,2025-12-26,0.0,True
multi_horizon_strength_top6,2025-12-26,0.0,True
residual_momentum_top3,2025-12-26,0.0,True
residual_momentum_top6,2025-12-26,0.0,True
breakout_52w_top3,2026-04-10,0.0,True
breakout_52w_top6,2026-04-10,0.0,True
momentum_acceleration_top3,2026-04-10,0.0,True
momentum_acceleration_top6,2026-04-10,0.0,True
downside_adjusted_momentum_top3,2026-04-10,0.0,True
downside_adjusted_momentum_top6,2026-04-10,0.0,True
trend_consistency_top3,2026-04-10,0.0,True
trend_consistency_top6,2026-04-10,0.0,True
reversal_4w_top3,2026-04-10,0.0,True
reversal_4w_top6,2026-04-10,0.0,True
risk_adjusted_13w_top3,2026-04-10,0.0,True
risk_adjusted_13w_top6,2026-04-10,0.0,True
multi_horizon_strength_top3,2026-04-10,0.0,True
multi_horizon_strength_top6,2026-04-10,0.0,True
residual_momentum_top3,2026-04-10,0.0,True
residual_momentum_top6,2026-04-10,0.0,True
breakout_52w_top3,2026-07-31,0.0,True
breakout_52w_top6,2026-07-31,0.0,True
momentum_acceleration_top3,2026-07-31,0.0,True
momentum_acceleration_top6,2026-07-31,0.0,True
downside_adjusted_momentum_top3,2026-07-31,0.0,True
downside_adjusted_momentum_top6,2026-07-31,0.0,True
trend_consistency_top3,2026-07-31,0.0,True
trend_consistency_top6,2026-07-31,0.0,True
reversal_4w_top3,2026-07-31,0.0,True
reversal_4w_top6,2026-07-31,0.0,True
risk_adjusted_13w_top3,2026-07-31,0.0,True
risk_adjusted_13w_top6,2026-07-31,0.0,True
multi_horizon_strength_top3,2026-07-31,0.0,True
multi_horizon_strength_top6,2026-07-31,0.0,True
residual_momentum_top3,2026-07-31,0.0,True
residual_momentum_top6,2026-07-31,0.0,True
