ticker,started_at_utc,status,rows,first_observed_date,last_observed_date,history_file,uncompressed_sha256,compressed_sha256,error_type,error_message,completed_at_utc
AATI,2026-08-13T10:04:49.485471+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:50.065833+00:00
ACIA,2026-08-13T10:04:50.065853+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:50.686348+00:00
ADNC,2026-08-13T10:04:51.319368+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:51.449815+00:00
AE,2026-08-13T10:04:51.449847+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:51.898356+00:00
AFOP,2026-08-13T10:04:51.898379+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:52.077683+00:00
ALTR,2026-08-13T10:04:52.776136+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:52.975709+00:00
ANAD,2026-08-13T10:04:52.975730+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:53.190430+00:00
ANSS,2026-08-13T10:04:53.190443+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:53.390131+00:00
AQ,2026-08-13T10:04:54.199605+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:54.396411+00:00
ARBA,2026-08-13T10:04:54.396437+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:54.526564+00:00
ARCH,2026-08-13T10:04:54.526587+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:54.761709+00:00
AREX,2026-08-13T10:04:54.918570+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:55.125533+00:00
ARUN,2026-08-13T10:04:55.661694+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:55.886754+00:00
ASEN,2026-08-13T10:04:56.028666+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:56.156951+00:00
ATLS,2026-08-13T10:04:56.374761+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:56.627806+00:00
ATNY,2026-08-13T10:04:56.627827+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:56.795311+00:00
ATVI,2026-08-13T10:04:56.795339+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:56.997314+00:00
AUTO,2026-08-13T10:04:57.218394+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:57.495009+00:00
AVDX,2026-08-13T10:04:57.495033+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:57.696761+00:00
AVID,2026-08-13T10:04:57.696781+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:57.980587+00:00
AVLR,2026-08-13T10:04:57.980623+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:58.183944+00:00
AVYA,2026-08-13T10:04:58.404201+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:58.650436+00:00
AXAS,2026-08-13T10:04:58.930731+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:59.133847+00:00
AXDX,2026-08-13T10:04:59.133870+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:59.417970+00:00
AYX,2026-08-13T10:04:59.417998+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:59.622097+00:00
AZPN,2026-08-13T10:04:59.622120+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:59.821531+00:00
BAS,2026-08-13T10:04:59.821556+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:00.076822+00:00
BASE,2026-08-13T10:05:00.076853+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:00.276161+00:00
BBG,2026-08-13T10:05:00.276185+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:00.466669+00:00
BCOV,2026-08-13T10:05:00.639232+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:00.834560+00:00
BIRT,2026-08-13T10:05:00.834589+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:01.057684+00:00
BLI,2026-08-13T10:05:01.057705+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:01.304736+00:00
BNFT,2026-08-13T10:05:01.304798+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:01.578967+00:00
BRY,2026-08-13T10:05:01.578990+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:01.785001+00:00
BTN,2026-08-13T10:05:01.785216+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:02.040009+00:00
BTRS,2026-08-13T10:05:02.040130+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:02.253366+00:00
CARB,2026-08-13T10:05:02.650716+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:02.850112+00:00
CASA,2026-08-13T10:05:02.850145+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:03.141840+00:00
CCLP,2026-08-13T10:05:03.375840+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:03.609494+00:00
CCMP,2026-08-13T10:05:03.609511+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:03.873748+00:00
CCR,2026-08-13T10:05:03.873768+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:04.135314+00:00
CERN,2026-08-13T10:05:04.135352+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:04.338759+00:00
CFLT,2026-08-13T10:05:04.338783+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:04.658412+00:00
CHAP,2026-08-13T10:05:04.658440+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:04.903999+00:00
CHNG,2026-08-13T10:05:04.904024+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:05.183058+00:00
CIE,2026-08-13T10:05:05.183091+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:05.313988+00:00
CISN,2026-08-13T10:05:05.314008+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:05.524709+00:00
CIVI,2026-08-13T10:05:05.524738+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:05.769878+00:00
CJ,2026-08-13T10:05:05.769897+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:05.982157+00:00
CLDR,2026-08-13T10:05:05.982176+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:06.233079+00:00
CLGX,2026-08-13T10:05:06.233121+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:06.477936+00:00
CLR,2026-08-13T10:05:06.477947+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:06.754548+00:00
CNIT,2026-08-13T10:05:06.754571+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:06.886596+00:00
COOL,2026-08-13T10:05:07.096100+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:07.280760+00:00
COUP,2026-08-13T10:05:07.280779+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:07.493208+00:00
CPE,2026-08-13T10:05:07.493241+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:07.698266+00:00
CPHD,2026-08-13T10:05:07.698285+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:07.866792+00:00
CRAY,2026-08-13T10:05:07.866824+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:08.077248+00:00
CRZO,2026-08-13T10:05:08.077283+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:08.327452+00:00
CSCD,2026-08-13T10:05:08.327474+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:08.463737+00:00
CSGS,2026-08-13T10:05:08.463752+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:08.662790+00:00
CSLT,2026-08-13T10:05:08.662811+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:08.993696+00:00
CSOD,2026-08-13T10:05:08.993728+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:09.374736+00:00
CTG,2026-08-13T10:05:09.374749+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:09.577720+00:00
CTLP,2026-08-13T10:05:09.577745+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:09.777963+00:00
CTRA,2026-08-13T10:05:09.777982+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:10.028184+00:00
CTXS,2026-08-13T10:05:10.028202+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:10.226650+00:00
CVT,2026-08-13T10:05:11.056300+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:11.254192+00:00
CXO,2026-08-13T10:05:11.479900+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:11.672188+00:00
CY,2026-08-13T10:05:11.672208+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:11.997312+00:00
CYXT,2026-08-13T10:05:11.997333+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:12.207608+00:00
DATA,2026-08-13T10:05:12.207630+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:12.406848+00:00
DAY,2026-08-13T10:05:12.406868+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:12.657269+00:00
DCT,2026-08-13T10:05:12.657293+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:12.871286+00:00
DO,2026-08-13T10:05:13.212924+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:13.453558+00:00
DSPG,2026-08-13T10:05:13.453584+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:13.713320+00:00
DWRE,2026-08-13T10:05:13.713343+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:13.850224+00:00
DZSI,2026-08-13T10:05:13.850251+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:14.093842+00:00
EB,2026-08-13T10:05:14.094009+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:14.301582+00:00
EBIX,2026-08-13T10:05:14.301610+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:14.501783+00:00
ECA,2026-08-13T10:05:14.501809+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:14.752780+00:00
ECOM,2026-08-13T10:05:14.752808+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:14.953084+00:00
EFII,2026-08-13T10:05:15.633950+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:15.861152+00:00
EIGI,2026-08-13T10:05:15.861175+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:16.062113+00:00
ELX,2026-08-13T10:05:16.062140+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:16.257988+00:00
EMKR,2026-08-13T10:05:16.438451+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:16.714576+00:00
ENFN,2026-08-13T10:05:16.714585+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:16.906059+00:00
ENOC,2026-08-13T10:05:16.906072+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:17.042061+00:00
EOPN,2026-08-13T10:05:17.299121+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:17.482374+00:00
EOPT,2026-08-13T10:05:17.482394+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:17.764560+00:00
EPAY,2026-08-13T10:05:17.764581+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:17.975171+00:00
EPL,2026-08-13T10:05:17.975199+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:18.109847+00:00
EQU,2026-08-13T10:05:18.109999+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:18.299386+00:00
ERN,2026-08-13T10:05:18.299406+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:18.439076+00:00
ESL,2026-08-13T10:05:18.439195+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:18.632869+00:00
ESMT,2026-08-13T10:05:18.632983+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:18.881083+00:00
ESTE,2026-08-13T10:05:18.881103+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:19.089808+00:00
