date,original_gross,before_max_single_issuer_weight,before_max_single_exchange_traded_weight,before_max_total_exchange_traded_weight,before_max_look_through_sector_weight,before_invested_weight,after_max_single_issuer_weight,after_max_single_exchange_traded_weight,after_max_total_exchange_traded_weight,after_max_look_through_sector_weight,after_invested_weight,cash_released,names_capped
2023-01-06,0.98,0.019999999999999997,0.5399999999999999,0.8999999999999999,0.6,0.98,0.019999999999999997,0.25,0.5,0.31000000000000005,0.5800000000000001,0.3999999999999999,2
2023-01-13,0.98,0.019999999999999997,0.5399999999999999,0.8999999999999999,0.6,0.98,0.019999999999999997,0.25,0.5,0.31000000000000005,0.5800000000000001,0.3999999999999999,2
2023-01-20,0.98,0.019999999999999997,0.5399999999999999,0.8999999999999999,0.6,0.98,0.019999999999999997,0.25,0.5,0.31000000000000005,0.5800000000000001,0.3999999999999999,2
2023-01-27,0.9800000000000002,0.02,0.54,0.9000000000000001,0.6432000000000001,0.9800000000000002,0.02,0.25,0.5,0.3400000000000001,0.5800000000000001,0.40000000000000013,2
2023-02-03,0.9800000000000002,0.02,0.54,0.9000000000000001,0.6432000000000001,0.9800000000000002,0.02,0.25,0.5,0.3400000000000001,0.5800000000000001,0.40000000000000013,2
2023-02-10,0.9800000000000002,0.02,0.54,0.9000000000000001,0.6432000000000001,0.9800000000000002,0.02,0.25,0.5,0.3400000000000001,0.5800000000000001,0.40000000000000013,2
2023-02-17,0.9800000000000002,0.02,0.54,0.9000000000000001,0.6432000000000001,0.9800000000000002,0.02,0.25,0.5,0.3400000000000001,0.5800000000000001,0.40000000000000013,2
2023-02-24,0.9800000000000002,0.02,0.54,0.9000000000000001,0.6432000000000001,0.9800000000000002,0.02,0.25,0.5,0.3400000000000001,0.5800000000000001,0.40000000000000013,2
2023-03-03,0.9800000000000002,0.02,0.54,0.9000000000000001,0.6432000000000001,0.9800000000000002,0.02,0.25,0.5,0.3400000000000001,0.5800000000000001,0.40000000000000013,2
2023-03-10,0.9800000000000002,0.02,0.54,0.9000000000000001,0.6432000000000001,0.9800000000000002,0.02,0.25,0.5,0.3400000000000001,0.5800000000000001,0.40000000000000013,2
