date,original_gross,before_max_single_issuer_weight,before_max_single_exchange_traded_weight,before_max_total_exchange_traded_weight,before_max_look_through_sector_weight,before_invested_weight,after_max_single_issuer_weight,after_max_single_exchange_traded_weight,after_max_total_exchange_traded_weight,after_max_look_through_sector_weight,after_invested_weight,cash_released,names_capped
2023-03-10,0.9800000000000002,0.02,0.54,0.9000000000000001,0.6432000000000001,0.9800000000000002,0.02,0.25,0.5,0.3400000000000001,0.5800000000000001,0.40000000000000013,2
2023-03-17,0.9800000000000002,0.02,0.54,0.9000000000000001,0.6432000000000001,0.9800000000000002,0.02,0.25,0.5,0.3400000000000001,0.5800000000000001,0.40000000000000013,2
2023-03-24,0.8274999999999997,0.024999999999999994,0.26999999999999996,0.44999999999999996,0.5591,0.8274999999999997,0.024999999999999994,0.17201542975586492,0.33112564645023557,0.35000000012805094,0.6113735783132125,0.2161264216867872,17
2023-03-31,0.8274999999999996,0.024999999999999994,0.4049999999999999,0.4499999999999999,0.6724999999999999,0.8274999999999996,0.024999999999999994,0.16908212560386465,0.21408212560386464,0.34999999999999964,0.5049999999999997,0.3224999999999999,16
2023-04-07,0.9800000000000001,0.02,0.81,0.9,0.8700000000000001,0.9800000000000001,0.02,0.25,0.34,0.31000000000000005,0.4200000000000001,0.56,1
2023-04-14,0.9800000000000001,0.02,0.81,0.9,0.8700000000000001,0.9800000000000001,0.02,0.25,0.34,0.31000000000000005,0.4200000000000001,0.56,1
2023-04-21,0.9800000000000001,0.02,0.81,0.9,0.8700000000000001,0.9800000000000001,0.02,0.25,0.34,0.31000000000000005,0.4200000000000001,0.56,1
2023-04-28,0.9800000000000001,0.041326001352768975,0.6594075545143995,0.858673998647231,0.7242188050537611,0.9800000000000001,0.041326001352768975,0.25,0.4492664441328315,0.31481125053936165,0.5705924454856006,0.4094075545143995,1
2023-05-05,0.9800000000000001,0.041326001352768975,0.6594075545143995,0.858673998647231,0.7242188050537611,0.9800000000000001,0.041326001352768975,0.25,0.4492664441328315,0.31481125053936165,0.5705924454856006,0.4094075545143995,1
2023-05-12,0.9800000000000001,0.041326001352768975,0.6594075545143995,0.858673998647231,0.7242188050537611,0.9800000000000001,0.041326001352768975,0.25,0.4492664441328315,0.31481125053936165,0.5705924454856006,0.4094075545143995,1
2023-05-19,0.9800000000000001,0.041326001352768975,0.6594075545143995,0.858673998647231,0.7242188050537611,0.9800000000000001,0.041326001352768975,0.25,0.4492664441328315,0.31481125053936165,0.5705924454856006,0.4094075545143995,1
2023-05-26,0.9799999999999999,0.020000000000000004,0.668888646641512,0.8999999999999998,0.7994135110559472,0.9799999999999999,0.020000000000000004,0.22788544019345902,0.45273246999294287,0.3500000002379972,0.5274249756393731,0.4525750243606268,9
2023-06-02,0.9799999999999999,0.020000000000000004,0.668888646641512,0.8999999999999998,0.7994135110559472,0.9799999999999999,0.020000000000000004,0.22788544019345902,0.45273246999294287,0.3500000002379972,0.5274249756393731,0.4525750243606268,9
2023-06-09,0.9799999999999999,0.020000000000000004,0.668888646641512,0.8999999999999998,0.7994135110559472,0.9799999999999999,0.020000000000000004,0.22788544019345902,0.45273246999294287,0.3500000002379972,0.5274249756393731,0.4525750243606268,9
2023-06-16,0.9799999999999999,0.020000000000000004,0.668888646641512,0.8999999999999998,0.7994135110559472,0.9799999999999999,0.020000000000000004,0.22788544019345902,0.45273246999294287,0.3500000002379972,0.5274249756393731,0.4525750243606268,9
2023-06-23,0.9799999999999999,0.020000000000000004,0.668888646641512,0.8999999999999998,0.7994135110559472,0.9799999999999999,0.020000000000000004,0.22788544019345902,0.45273246999294287,0.3500000002379972,0.5274249756393731,0.4525750243606268,9
2023-06-30,0.9800000000000001,0.020000000000000004,0.43123385477148385,0.9,0.7490552346471678,0.9800000000000001,0.020000000000000004,0.20579583553283437,0.42103797795527476,0.35000000056694336,0.4822307128045069,0.4977692871954932,6
2023-07-07,1.0,0.02,0.4312338547714838,0.9,0.7290552346471677,1.0,0.02,0.21092450673402163,0.43614340182991024,0.35000000063920084,0.5250276325532546,0.4749723674467454,5
2023-07-14,0.8749999999999996,0.025,0.2156169273857419,0.45,0.6395276173235835,0.8749999999999996,0.025,0.14933037351748746,0.27704868765555724,0.35000000012224886,0.5557597679155705,0.3192402320844291,20
2023-07-21,0.8749999999999996,0.025,0.2156169273857419,0.45,0.6395276173235835,0.8749999999999996,0.025,0.14933037351748746,0.27704868765555724,0.35000000012224886,0.5557597679155705,0.3192402320844291,20
2023-07-28,0.8749999999999996,0.025,0.21543928106331944,0.44999999999999996,0.6394476764784934,0.8749999999999996,0.025,0.14927611481646083,0.27709745509971145,0.35000000012317956,0.5558186784786394,0.31918132152136014,20
2023-08-04,0.8749999999999996,0.025,0.21543928106331944,0.44999999999999996,0.6394476764784934,0.8749999999999996,0.025,0.14927611481646083,0.27709745509971145,0.35000000012317956,0.5558186784786394,0.31918132152136014,20
2023-08-11,0.8749999999999996,0.025,0.21543928106331944,0.44999999999999996,0.6394476764784934,0.8749999999999996,0.025,0.14927611481646083,0.27709745509971145,0.35000000012317956,0.5558186784786394,0.31918132152136014,20
2023-08-18,1.0,0.02,0.4308785621266389,0.8999999999999999,0.7288953529569875,1.0,0.02,0.2108346155121245,0.4363143023392976,0.3500000006497478,0.5251738785656934,0.4748261214343066,5
2023-08-25,1.0,0.020000000000000004,0.6724429789416794,0.8893655157751128,0.7916531414736993,1.0,0.020000000000000004,0.2354882985540182,0.4478001208765842,0.3500000003100532,0.5561127328701144,0.4438872671298856,7
2023-09-01,0.8749999999999994,0.025000000000000005,0.3362214894708397,0.4446827578875564,0.6708265707368493,0.8749999999999994,0.025000000000000005,0.14630649279118535,0.238167043957321,0.35000000005248316,0.5461259475633633,0.32887405243663614,22
2023-09-08,0.8749999999999994,0.025000000000000005,0.3362214894708397,0.4446827578875564,0.6708265707368493,0.8749999999999994,0.025000000000000005,0.14630649279118535,0.238167043957321,0.35000000005248316,0.5461259475633633,0.32887405243663614,22
2023-09-15,1.0,0.020000000000000004,0.6724429789416794,0.8893655157751128,0.7916531414736993,1.0,0.020000000000000004,0.2354882985540182,0.4478001208765842,0.3500000003100532,0.5561127328701144,0.4438872671298856,7
