family_left,family_right,full_return_correlation
trend_v4,defensive,0.7191828817380427
trend_v4,carry_proxy,0.5811311541674359
trend_v4,mean_reversion,0.628207238869822
defensive,carry_proxy,0.557834592555689
defensive,mean_reversion,0.4125251783684987
carry_proxy,mean_reversion,0.7432620212530497
