implementation,cost_bps,window,start,end,weeks,cagr,arithmetic_ann_return,ann_vol,sharpe_zero_rf,max_drawdown
saved_fallback_exact,10,full,2005-01-07,2026-04-10,1110,0.07195071843083656,0.07276061441440518,0.08035397465294362,0.9055011246010557,-0.1218710956475425
saved_fallback_exact,10,recent_3y,2023-04-14,2026-04-10,157,0.1263075224015775,0.12190860854901121,0.0754484917409713,1.6157858922819308,-0.06827276686394468
saved_fallback_exact,50,full,2005-01-07,2026-04-10,1110,0.05567102867208784,0.057462776576567336,0.08062978226693611,0.7126743364669995,-0.1259968785388732
saved_fallback_exact,50,recent_3y,2023-04-14,2026-04-10,157,0.1080285253144273,0.10551370409041248,0.07547027318068057,1.398082975502236,-0.06918935833113848
saved_fallback_exact,100,full,2005-01-07,2026-04-10,1110,0.03562630270552769,0.03834047927927004,0.08139690019394415,0.4710311963713151,-0.1406335719182752
saved_fallback_exact,100,recent_3y,2023-04-14,2026-04-10,157,0.08554867088872364,0.0850200735171641,0.07598574635440532,1.1188950243460367,-0.07033509766513035
current_layer2b_diagnostic,10,full,2005-01-07,2026-04-10,1110,0.05851518826461266,0.059858734038716714,0.0767789457439694,0.7796243287622677,-0.15877354386185938
current_layer2b_diagnostic,10,recent_3y,2023-04-14,2026-04-10,157,0.11520657916276433,0.11196545146992201,0.07520415907985095,1.4888199381504728,-0.07558530056283441
current_layer2b_diagnostic,50,full,2005-01-07,2026-04-10,1110,0.04519799403344238,0.04718956473379887,0.07681424980262856,0.6143334713943149,-0.16157704900160696
current_layer2b_diagnostic,50,recent_3y,2023-04-14,2026-04-10,157,0.10034306105523316,0.09852673573430003,0.07526419989539415,1.309078364896422,-0.07593448153757243
current_layer2b_diagnostic,100,full,2005-01-07,2026-04-10,1110,0.028756808552487634,0.03135310310265159,0.07718123863016552,0.4062270010058836,-0.16508143042629164
current_layer2b_diagnostic,100,recent_3y,2023-04-14,2026-04-10,157,0.08201074051889856,0.08172834106477249,0.0756588802248199,1.0802213939978655,-0.0763709123830476
