cutoff,baseline_rows,prefix_rows,index_equal,columns_equal,maximum_absolute_difference,passed
2023-12-29,991,991,True,True,0.0,True
2024-12-27,1043,1043,True,True,0.0,True
2025-12-26,1095,1095,True,True,0.0,True
