,weight
BIL,0.17487237863167338
PDBC,0.1427424365225473
IWM,0.1317541406575846
EWJ,0.08929536469229292
QQQ,0.06545331010244337
HYG,0.06002414868158704
VEA,0.05787743994966645
VNQ,0.04922914256137352
VWO,0.047457443227070406
GLD,0.04650425320035732
LQD,0.04005603994037084
TLT,0.04005603994037084
SPY,0.028746681616975703
EFA,0.025931180275686257
