implementation,kind,candidate_id,candidate_weight,cost_bps,window,weeks,start,end,cagr,sharpe_zero_rf,sortino_zero_target,max_drawdown,annual_one_way_turnover
baseline,baseline,,0.0,10,full,1127,2005-01-07,2026-08-07,0.06886710967296628,0.9144158902884777,1.343377131869277,-0.1164553441283337,3.2231739239537602
baseline,baseline,,0.0,10,trailing_1y,53,2025-08-08,2026-08-07,0.15304539375324588,1.6054475986042622,2.5834734462709044,-0.07268334294791334,3.913379588955296
baseline,baseline,,0.0,10,trailing_2y,105,2024-08-09,2026-08-07,0.14400492657178932,1.623370556624418,2.5988326246598805,-0.07268334294791357,3.9024299032726018
baseline,baseline,,0.0,10,trailing_3y,157,2023-08-11,2026-08-07,0.13939010663474227,1.66029927719266,2.7004217540191737,-0.07268334294791334,3.5994971413391292
baseline,baseline,,0.0,10,post_2024,136,2024-01-05,2026-08-07,0.14129389001544967,1.7104140576915563,2.7736583911242088,-0.07268334294791357,3.7538540614862796
baseline,baseline,,0.0,100,full,1127,2005-01-07,2026-08-07,0.038334240746891846,0.5309713293527374,0.7495232122600577,-0.13244359481282275,3.2231739239537602
baseline,baseline,,0.0,100,trailing_1y,53,2025-08-08,2026-08-07,0.11328379823306789,1.2271313648212074,1.8885128046995887,-0.08449042283657948,3.913379588955296
baseline,baseline,,0.0,100,trailing_2y,105,2024-08-09,2026-08-07,0.10453041377807581,1.1996593797290753,1.83178278989975,-0.08449042283657926,3.9024299032726018
baseline,baseline,,0.0,100,trailing_3y,157,2023-08-11,2026-08-07,0.10311063137880194,1.25234042688778,1.941922890726688,-0.08449042283657904,3.5994971413391292
baseline,baseline,,0.0,100,post_2024,136,2024-01-05,2026-08-07,0.10338446781241584,1.2699550643797046,1.9615078066078455,-0.08449042283657959,3.7538540614862796
baseline,baseline,,0.0,50,full,1127,2005-01-07,2026-08-07,0.055196624765595725,0.7444178295536926,1.0742702306762142,-0.11872732854822432,3.2231739239537602
baseline,baseline,,0.0,50,trailing_1y,53,2025-08-08,2026-08-07,0.13521173016813615,1.4389807969755553,2.2695228145089943,-0.07709418907424204,3.913379588955296
baseline,baseline,,0.0,50,trailing_2y,105,2024-08-09,2026-08-07,0.12630146875692239,1.4355749303502374,2.249573180401143,-0.07709418907424204,3.9024299032726018
baseline,baseline,,0.0,50,trailing_3y,157,2023-08-11,2026-08-07,0.12313150740436418,1.4800760914513293,2.3560446865832336,-0.07709418907424193,3.5994971413391292
baseline,baseline,,0.0,50,post_2024,136,2024-01-05,2026-08-07,0.12429827798857618,1.5152063623469152,2.4037880770642412,-0.07709418907424193,3.7538540614862796
standalone::candidate-052f66f29b9fafbe,standalone,candidate-052f66f29b9fafbe,1.0,10,full,1127,2005-01-07,2026-08-07,0.08872230438893114,0.7450354060819842,1.0709766180001805,-0.24000820848618454,2.798046287877651
standalone::candidate-052f66f29b9fafbe,standalone,candidate-052f66f29b9fafbe,1.0,10,trailing_1y,53,2025-08-08,2026-08-07,0.29298499104984055,1.8956275035614225,2.942662109210191,-0.11260748346856309,2.195470245174249
standalone::candidate-052f66f29b9fafbe,standalone,candidate-052f66f29b9fafbe,1.0,10,trailing_2y,105,2024-08-09,2026-08-07,0.2526453403332882,1.7363053035615168,2.7041726186779917,-0.11260748346856297,2.5570923658991616
standalone::candidate-052f66f29b9fafbe,standalone,candidate-052f66f29b9fafbe,1.0,10,trailing_3y,157,2023-08-11,2026-08-07,0.21885197042553584,1.600371736783013,2.5504809957255747,-0.1126074834685632,2.7633587009546767
standalone::candidate-052f66f29b9fafbe,standalone,candidate-052f66f29b9fafbe,1.0,10,post_2024,136,2024-01-05,2026-08-07,0.23449726671212212,1.7213856888932748,2.69017941238511,-0.11260748346856309,2.686931169720678
standalone::candidate-052f66f29b9fafbe,standalone,candidate-052f66f29b9fafbe,1.0,100,full,1127,2005-01-07,2026-08-07,0.061705990962723334,0.5432337681369501,0.7674467982056218,-0.24312942325120923,2.798046287877651
standalone::candidate-052f66f29b9fafbe,standalone,candidate-052f66f29b9fafbe,1.0,100,trailing_1y,53,2025-08-08,2026-08-07,0.2678436749043691,1.7588068241926145,2.6911340233185252,-0.11366732979077676,2.195470245174249
standalone::candidate-052f66f29b9fafbe,standalone,candidate-052f66f29b9fafbe,1.0,100,trailing_2y,105,2024-08-09,2026-08-07,0.22411036147330998,1.556088351647795,2.3823112481244184,-0.11366732979077665,2.5570923658991616
standalone::candidate-052f66f29b9fafbe,standalone,candidate-052f66f29b9fafbe,1.0,100,trailing_3y,157,2023-08-11,2026-08-07,0.18893620670629607,1.402340539586256,2.188406501701522,-0.11366732979077665,2.7633587009546767
standalone::candidate-052f66f29b9fafbe,standalone,candidate-052f66f29b9fafbe,1.0,100,post_2024,136,2024-01-05,2026-08-07,0.20500349251255323,1.5233365494301463,2.3352484765836836,-0.11366732979077665,2.686931169720678
standalone::candidate-052f66f29b9fafbe,standalone,candidate-052f66f29b9fafbe,1.0,50,full,1127,2005-01-07,2026-08-07,0.07664141402285574,0.655685011825665,0.935264493239177,-0.24139541504841777,2.798046287877651
standalone::candidate-052f66f29b9fafbe,standalone,candidate-052f66f29b9fafbe,1.0,50,trailing_1y,53,2025-08-08,2026-08-07,0.2817579318277603,1.8353782357752615,2.8303048311202414,-0.11307852627843584,2.195470245174249
standalone::candidate-052f66f29b9fafbe,standalone,candidate-052f66f29b9fafbe,1.0,50,trailing_2y,105,2024-08-09,2026-08-07,0.2398918847349989,1.6565315479607756,2.559789962258897,-0.11307852627843595,2.5570923658991616
standalone::candidate-052f66f29b9fafbe,standalone,candidate-052f66f29b9fafbe,1.0,50,trailing_3y,157,2023-08-11,2026-08-07,0.2054746059965853,1.5128199384695535,2.388110382936405,-0.11307852627843584,2.7633587009546767
standalone::candidate-052f66f29b9fafbe,standalone,candidate-052f66f29b9fafbe,1.0,50,post_2024,136,2024-01-05,2026-08-07,0.22131102069749398,1.6338039547599328,2.5309684969569086,-0.11307852627843573,2.686931169720678
blend::candidate-052f66f29b9fafbe::0.1,blend,candidate-052f66f29b9fafbe,0.1,10,full,1127,2005-01-07,2026-08-07,0.07122850752363408,0.9085256563884444,1.3333233558896307,-0.12840882420773014,3.0566138753964607
blend::candidate-052f66f29b9fafbe::0.1,blend,candidate-052f66f29b9fafbe,0.1,10,trailing_1y,53,2025-08-08,2026-08-07,0.16663415007130755,1.6619955857709432,2.6592414452249793,-0.07656694359746341,3.6747651357376885
blend::candidate-052f66f29b9fafbe::0.1,blend,candidate-052f66f29b9fafbe,0.1,10,trailing_2y,105,2024-08-09,2026-08-07,0.15481419908440275,1.663112540627016,2.654369576788386,-0.0765669435974633,3.659394306135933
blend::candidate-052f66f29b9fafbe::0.1,blend,candidate-052f66f29b9fafbe,0.1,10,trailing_3y,157,2023-08-11,2026-08-07,0.14748905868992424,1.6806417357238752,2.729056875555326,-0.0765669435974633,3.4025748876501973
blend::candidate-052f66f29b9fafbe::0.1,blend,candidate-052f66f29b9fafbe,0.1,10,post_2024,136,2024-01-05,2026-08-07,0.15066626827833285,1.7389642139819022,2.8075340751394333,-0.07656694359746352,3.52989986837207
blend::candidate-052f66f29b9fafbe::0.1,blend,candidate-052f66f29b9fafbe,0.1,100,full,1127,2005-01-07,2026-08-07,0.042190938487403074,0.559688698650881,0.7923316764830677,-0.13359230929191146,3.0566138753964607
blend::candidate-052f66f29b9fafbe::0.1,blend,candidate-052f66f29b9fafbe,0.1,100,trailing_1y,53,2025-08-08,2026-08-07,0.12883300603499448,1.3235522152242052,2.035854544154003,-0.0806563370980995,3.6747651357376885
blend::candidate-052f66f29b9fafbe::0.1,blend,candidate-052f66f29b9fafbe,0.1,100,trailing_2y,105,2024-08-09,2026-08-07,0.11740778396711726,1.28168265751109,1.9604307500986466,-0.08065633709809905,3.659394306135933
blend::candidate-052f66f29b9fafbe::0.1,blend,candidate-052f66f29b9fafbe,0.1,100,trailing_3y,157,2023-08-11,2026-08-07,0.11292284073218961,1.3102948706317539,2.0377551405063317,-0.08065633709809916,3.4025748876501973
blend::candidate-052f66f29b9fafbe::0.1,blend,candidate-052f66f29b9fafbe,0.1,100,post_2024,136,2024-01-05,2026-08-07,0.11469222496060416,1.3419731617306772,2.0749924727601123,-0.08065633709809916,3.52989986837207
blend::candidate-052f66f29b9fafbe::0.1,blend,candidate-052f66f29b9fafbe,0.1,50,full,1127,2005-01-07,2026-08-07,0.058232338007245144,0.7538671818696048,1.0886628859312786,-0.13047614442445732,3.0566138753964607
blend::candidate-052f66f29b9fafbe::0.1,blend,candidate-052f66f29b9fafbe,0.1,50,trailing_1y,53,2025-08-08,2026-08-07,0.14968953169938737,1.5130605020593835,2.3779586150787857,-0.07749760385646065,3.6747651357376885
blend::candidate-052f66f29b9fafbe::0.1,blend,candidate-052f66f29b9fafbe,0.1,50,trailing_2y,105,2024-08-09,2026-08-07,0.13804774406373466,1.494032637355813,2.338900725456742,-0.07749760385646065,3.659394306135933
blend::candidate-052f66f29b9fafbe::0.1,blend,candidate-052f66f29b9fafbe,0.1,50,trailing_3y,157,2023-08-11,2026-08-07,0.13200530934415866,1.5169721823142737,2.4156881637071517,-0.07749760385646065,3.4025748876501973
blend::candidate-052f66f29b9fafbe::0.1,blend,candidate-052f66f29b9fafbe,0.1,50,post_2024,136,2024-01-05,2026-08-07,0.13454674429617275,1.5630274483352014,2.4747165426834568,-0.07749760385646065,3.52989986837207
blend::candidate-052f66f29b9fafbe::0.2,blend,candidate-052f66f29b9fafbe,0.2,10,full,1127,2005-01-07,2026-08-07,0.07348542815893966,0.8968535754938279,1.3140466990521062,-0.14027506453303273,2.938777584473074
blend::candidate-052f66f29b9fafbe::0.2,blend,candidate-052f66f29b9fafbe,0.2,10,trailing_1y,53,2025-08-08,2026-08-07,0.18029330395363985,1.709412400113222,2.7203299844047244,-0.08044609978227146,3.4689515660983217
blend::candidate-052f66f29b9fafbe::0.2,blend,candidate-052f66f29b9fafbe,0.2,10,trailing_2y,105,2024-08-09,2026-08-07,0.16561698944734182,1.692529306658998,2.692355301563759,-0.08044609978227157,3.4600404533666174
blend::candidate-052f66f29b9fafbe::0.2,blend,candidate-052f66f29b9fafbe,0.2,10,trailing_3y,157,2023-08-11,2026-08-07,0.15551478334431423,1.6901864501410044,2.739704474525685,-0.08044609978227135,3.268328410628139
blend::candidate-052f66f29b9fafbe::0.2,blend,candidate-052f66f29b9fafbe,0.2,10,post_2024,136,2024-01-05,2026-08-07,0.15998785166449636,1.756660582709066,2.8231487841325023,-0.08044609978227146,3.36943187803018
blend::candidate-052f66f29b9fafbe::0.2,blend,candidate-052f66f29b9fafbe,0.2,100,full,1127,2005-01-07,2026-08-07,0.045497365935190937,0.5767167029001267,0.8178934034043764,-0.14447694070597827,2.938777584473074
blend::candidate-052f66f29b9fafbe::0.2,blend,candidate-052f66f29b9fafbe,0.2,100,trailing_1y,53,2025-08-08,2026-08-07,0.1441727174352625,1.4049803400375502,2.158752503626507,-0.08238609925561036,3.4689515660983217
blend::candidate-052f66f29b9fafbe::0.2,blend,candidate-052f66f29b9fafbe,0.2,100,trailing_2y,105,2024-08-09,2026-08-07,0.12988610984563032,1.3472516767263965,2.062891799145251,-0.08238609925561036,3.4600404533666174
blend::candidate-052f66f29b9fafbe::0.2,blend,candidate-052f66f29b9fafbe,0.2,100,trailing_3y,157,2023-08-11,2026-08-07,0.12206314685218933,1.3499337354348022,2.1036549621532443,-0.08238609925561036,3.268328410628139
blend::candidate-052f66f29b9fafbe::0.2,blend,candidate-052f66f29b9fafbe,0.2,100,post_2024,136,2024-01-05,2026-08-07,0.1253499552501891,1.3948703646794522,2.1566979128490873,-0.08238609925561025,3.36943187803018
blend::candidate-052f66f29b9fafbe::0.2,blend,candidate-052f66f29b9fafbe,0.2,50,full,1127,2005-01-07,2026-08-07,0.06096227428548451,0.7549217181494006,1.090088786649681,-0.14214281287536368,2.938777584473074
blend::candidate-052f66f29b9fafbe::0.2,blend,candidate-052f66f29b9fafbe,0.2,50,trailing_1y,53,2025-08-08,2026-08-07,0.1641101386128596,1.575425789514633,2.467260048006259,-0.08130845509792894,3.4689515660983217
blend::candidate-052f66f29b9fafbe::0.2,blend,candidate-052f66f29b9fafbe,0.2,50,trailing_2y,105,2024-08-09,2026-08-07,0.1496090016792413,1.5394582496600198,2.4066970617222023,-0.08130845509792917,3.4600404533666174
blend::candidate-052f66f29b9fafbe::0.2,blend,candidate-052f66f29b9fafbe,0.2,50,trailing_3y,157,2023-08-11,2026-08-07,0.1405349432953047,1.5397680390676158,2.451909537739675,-0.08130845509792906,3.268328410628139
